"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.697","0.000","-318.300","14000.3","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.056","0.000","-257.700","13992.9","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.513","0.010","-317.400","14000.4","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.860","0.018","-262.800","13992.9","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.359","0.023","-319.200","14000.5","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.668","0.028","-292.500","13993.5","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.137","0.033","-276.600","14000.0","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.454","0.037","-244.200","13996.6","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.587","0.041","-139.800","14001.0","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.882","0.045","-120.300","13998.8","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.170","0.048","-234.600","13997.8","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.188","0.052","-136.800","13999.9","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.399","0.055","-168.300","13996.1","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.521","0.058","-162.600","14002.0","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.621","0.061","-147.900","13996.6","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.712","0.064","-153.300","13995.6","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.754","0.067","-139.200","13953.3","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.812","0.069","-140.400","13906.6","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.795","0.073","-129.000","13842.4","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.825","0.077","-152.400","13787.2","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.727","0.081","-106.200","13717.6","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.758","0.085","-152.400","13653.8","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.672","0.089","-139.500","13582.9","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.709","0.092","-206.400","13511.1","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.527","0.095","-124.800","13438.0","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.540","0.099","-149.700","13354.0","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.420","0.102","-149.100","13279.8","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.286","0.105","-122.700","13194.3","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.198","0.108","-141.600","13125.8","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.018","0.111","-113.400","13048.2","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.958","0.114","-129.900","12983.7","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.740","0.116","-95.400","12919.9","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.710","0.119","-135.000","12861.1","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.450","0.122","-89.100","12814.1","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.399","0.125","-104.100","12758.5","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.225","0.127","-109.200","12717.1","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.064","0.130","-81.000","12664.7","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.980","0.133","-110.100","12620.2","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.774","0.136","-71.100","12570.5","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.734","0.139","-114.300","12516.4","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.474","0.141","-64.800","12468.4","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.488","0.144","-97.500","12404.7","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.276","0.147","-95.400","12350.8","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.162","0.150","-60.000","12284.6","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.106","0.152","-112.500","12218.2","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.890","0.155","-61.800","12154.4","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.877","0.158","-91.800","12078.5","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.680","0.161","-79.500","12014.0","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.625","0.163","-75.900","11938.7","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.501","0.166","-94.500","11865.9","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.371","0.169","-65.400","11797.4","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.324","0.171","-86.400","11718.3","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.171","0.174","-77.100","11652.3","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.104","0.176","-72.600","11578.3","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","7.004","0.179","-79.200","11506.5","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.893","0.181","-65.700","11443.8","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.837","0.184","-71.400","11372.2","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.746","0.186","-80.400","11312.4","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.630","0.188","-57.000","11250.8","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.600","0.191","-75.300","11185.5","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.472","0.194","-67.500","11130.9","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.404","0.196","-56.400","11067.0","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.344","0.199","-77.700","11003.6","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.246","0.202","-66.000","10946.0","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.222","0.205","-78.600","10876.3","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","6.125","0.209","-84.300","10811.8","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","6.074","0.212","-75.000","10746.8","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","6.040","0.216","-90.600","10671.3","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.980","0.220","-92.700","10604.8","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.953","0.223","-89.400","10532.6","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.925","0.227","-102.600","10455.2","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.902","0.231","-92.700","10387.3","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.894","0.235","-102.900","10312.4","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.876","0.239","-112.200","10234.9","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.849","0.244","-99.900","10167.2","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.858","0.248","-119.700","10091.8","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.836","0.252","-114.300","10015.3","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.849","0.256","-112.200","9947.9","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.838","0.261","-124.200","9873.1","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.836","0.265","-113.700","9796.7","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.847","0.269","-116.700","9728.9","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.851","0.274","-126.300","9653.5","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.864","0.278","-123.600","9575.5","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.860","0.282","-123.000","9505.6","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.862","0.287","-128.100","9429.9","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.860","0.291","-121.800","9349.4","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.870","0.295","-128.700","9275.9","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.858","0.299","-123.900","9200.6","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.879","0.304","-129.300","9117.9","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.876","0.308","-127.800","9040.2","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.882","0.312","-126.300","8965.1","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.884","0.317","-131.700","8882.2","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.885","0.321","-123.000","8800.2","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.887","0.325","-132.000","8724.1","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.886","0.330","-132.300","8642.4","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.875","0.334","-126.000","8556.7","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.874","0.338","-124.200","8476.8","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.883","0.343","-133.800","8396.5","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.884","0.347","-129.900","8309.7","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.887","0.351","-125.400","8223.0","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.877","0.356","-134.700","8141.6","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.880","0.360","-127.800","8055.8","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.871","0.364","-130.800","7965.3","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.865","0.369","-130.200","7877.7","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.862","0.373","-129.000","7792.7","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.860","0.377","-133.200","7702.1","8.000","9.000","6.465","4.329","0.210"
"106","2","6.000","5.866","0.382","-126.000","7608.8","8.000","9.000","6.464","4.327","0.212"
"107","2","6.000","5.862","0.386","-135.300","7519.8","8.000","9.000","6.462","4.325","0.214"
"108","2","6.000","5.844","0.390","-132.000","7434.3","8.000","9.000","6.461","4.322","0.216"
"109","2","6.000","5.843","0.395","-131.400","7350.9","8.000","9.000","6.460","4.320","0.218"
"110","2","6.000","5.837","0.399","-134.700","7262.4","8.000","9.000","6.459","4.318","0.220"
"111","2","6.000","5.819","0.404","-134.700","7180.0","8.000","9.000","6.458","4.315","0.222"
"112","2","6.000","5.805","0.408","-132.300","7103.2","8.000","9.000","6.456","4.313","0.224"
"113","2","6.000","5.790","0.413","-131.400","7023.9","8.000","9.000","6.455","4.311","0.226"
"114","2","6.000","5.791","0.417","-131.100","6948.1","8.000","9.000","6.454","4.308","0.228"
"115","2","6.000","5.794","0.422","-139.500","6876.6","8.000","9.000","6.453","4.306","0.230"
"116","2","6.000","5.765","0.426","-138.300","6807.3","8.000","9.000","6.452","4.304","0.232"
"117","2","6.000","5.729","0.431","-128.100","6732.8","8.000","9.000","6.451","4.301","0.234"
"118","2","6.000","5.752","0.435","-136.800","6657.7","8.000","9.000","6.449","4.299","0.236"
"119","2","6.000","5.755","0.440","-141.300","6584.5","8.000","9.000","6.448","4.296","0.238"
