"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.778","0.000","-298.500","13992.4","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.176","0.000","-282.300","14000.2","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.604","0.010","-266.700","13993.5","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","8.092","0.018","-322.200","13999.8","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.396","0.023","-273.600","13995.9","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.886","0.028","-307.800","13999.7","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.247","0.032","-286.200","13997.8","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.551","0.037","-250.800","13997.1","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.679","0.041","-106.200","13999.1","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","10.095","0.044","-157.500","13995.9","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.236","0.048","-204.000","14001.2","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.336","0.051","-164.100","13995.7","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.489","0.054","-149.100","14003.0","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.645","0.058","-166.800","13995.7","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.695","0.061","-162.000","14003.8","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.760","0.063","-141.300","13987.3","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.798","0.066","-162.000","13959.7","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.774","0.069","-123.600","13900.1","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.798","0.072","-167.100","13845.4","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.673","0.077","-123.000","13780.6","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.670","0.081","-143.100","13716.4","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.544","0.084","-123.000","13649.9","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.538","0.088","-185.700","13578.7","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.398","0.092","-162.600","13512.2","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.333","0.096","-164.400","13430.6","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.191","0.099","-138.300","13357.5","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.117","0.103","-148.200","13270.8","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","9.948","0.106","-145.500","13198.6","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.822","0.109","-124.800","13119.8","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.709","0.113","-152.700","13050.3","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.498","0.116","-97.200","12984.0","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.454","0.119","-149.100","12919.3","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.193","0.123","-108.900","12869.1","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.133","0.126","-118.200","12810.9","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","8.936","0.129","-112.800","12768.1","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.849","0.133","-112.500","12715.7","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.669","0.136","-124.200","12670.5","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.533","0.140","-75.300","12623.0","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.488","0.143","-141.900","12569.6","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.225","0.147","-84.900","12524.3","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.245","0.150","-108.300","12463.5","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.035","0.154","-114.600","12412.1","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","7.972","0.157","-88.800","12349.5","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.849","0.161","-122.700","12284.7","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.722","0.164","-79.500","12223.9","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.687","0.168","-125.400","12149.3","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.480","0.171","-87.900","12086.4","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.498","0.175","-98.700","12012.0","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.332","0.178","-119.700","11940.0","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.267","0.182","-79.200","11872.0","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.209","0.185","-114.900","11793.6","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.066","0.188","-88.200","11727.1","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.052","0.192","-96.900","11652.6","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.918","0.195","-112.500","11580.1","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.832","0.198","-79.800","11515.5","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.784","0.201","-105.300","11441.8","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.655","0.204","-97.200","11380.5","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.588","0.207","-77.100","11317.3","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.511","0.210","-103.800","11251.3","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.387","0.213","-81.900","11196.3","7.000","8.000","8.420","4.976","0.118"
