"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.652","0.000","-307.200","13995.4","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.100","0.000","-263.400","13997.1","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.510","0.010","-303.900","13993.2","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.918","0.018","-279.300","13999.7","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.327","0.023","-313.800","13994.4","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.660","0.028","-305.400","14001.9","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.024","0.032","-302.100","13993.9","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.227","0.037","-206.100","14001.9","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.523","0.041","-127.200","13994.3","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.756","0.044","-162.000","14001.6","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.994","0.048","-148.200","13995.4","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.032","0.052","-211.500","14001.6","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.312","0.055","-108.900","13997.7","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.392","0.058","-185.100","14000.4","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.528","0.061","-136.200","13999.4","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.579","0.064","-164.400","13990.7","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.653","0.067","-126.600","13958.6","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.754","0.070","-140.400","13901.0","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.705","0.073","-144.000","13849.0","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.724","0.078","-137.100","13782.4","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.700","0.082","-120.900","13725.8","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.756","0.086","-122.400","13652.1","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.663","0.089","-185.400","13590.1","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.667","0.093","-166.200","13514.2","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.524","0.096","-166.200","13444.9","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.560","0.100","-122.400","13364.5","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.367","0.103","-174.900","13283.5","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.300","0.106","-117.600","13206.8","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.185","0.109","-142.800","13124.8","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.009","0.112","-126.900","13057.6","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.953","0.114","-115.500","12981.1","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.738","0.117","-130.200","12923.3","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.675","0.120","-102.300","12860.5","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.429","0.123","-126.000","12808.4","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.398","0.126","-83.400","12758.3","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.145","0.128","-129.300","12705.9","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.046","0.131","-78.300","12664.7","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.927","0.134","-100.500","12610.3","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.708","0.137","-106.200","12567.5","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.679","0.139","-72.300","12513.7","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.425","0.142","-115.200","12460.6","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.417","0.145","-62.400","12408.4","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.203","0.148","-108.000","12344.1","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.115","0.151","-77.700","12288.8","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.018","0.154","-83.100","12219.1","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.847","0.157","-96.900","12153.9","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.814","0.159","-66.300","12086.2","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.623","0.162","-99.900","12011.1","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.596","0.165","-66.900","11946.0","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.459","0.168","-92.400","11868.9","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.355","0.171","-82.500","11798.3","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.305","0.173","-65.400","11727.7","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.155","0.176","-97.200","11649.8","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.091","0.178","-72.000","11584.6","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","7.012","0.181","-68.400","11510.0","7.000","8.000","9.020","5.156","0.108"
