"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.440","0.000","-238.200","13998.2","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.898","0.000","-351.600","13994.3","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.070","0.010","-284.400","13999.1","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.554","0.018","-276.300","13994.1","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","7.850","0.023","-317.400","14001.3","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.204","0.028","-286.200","13993.5","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.588","0.033","-292.200","14000.9","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","8.836","0.037","-227.700","13993.7","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","8.981","0.041","-124.800","14001.5","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.334","0.045","-122.700","13994.5","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.553","0.049","-226.200","14000.9","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.564","0.053","-138.900","13996.3","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","9.788","0.056","-170.700","14000.6","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","9.929","0.060","-144.000","13998.6","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.045","0.063","-181.200","13999.4","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.100","0.066","-112.800","13991.6","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.270","0.069","-171.000","13954.6","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.240","0.072","-117.000","13904.9","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.331","0.076","-169.500","13839.5","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.232","0.081","-130.200","13783.2","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.311","0.085","-122.100","13711.1","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.290","0.090","-135.300","13650.4","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.393","0.094","-149.100","13574.1","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.401","0.098","-207.300","13505.8","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.344","0.102","-120.300","13424.1","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.410","0.105","-171.000","13345.1","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.327","0.109","-132.300","13266.2","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.319","0.112","-171.600","13185.4","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.159","0.115","-114.000","13117.4","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.189","0.118","-154.800","13041.0","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.947","0.121","-127.500","12982.3","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.941","0.124","-107.700","12917.0","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.758","0.126","-155.700","12865.2","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.587","0.129","-74.700","12812.4","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.550","0.132","-140.100","12761.1","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.271","0.134","-84.000","12718.5","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.254","0.137","-111.600","12663.8","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.969","0.139","-88.200","12621.6","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.965","0.142","-84.900","12566.4","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.712","0.144","-121.200","12516.5","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.588","0.147","-46.500","12461.8","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.529","0.149","-123.300","12399.8","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.239","0.152","-65.100","12344.3","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.254","0.155","-85.500","12274.2","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.988","0.157","-91.800","12212.1","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.949","0.160","-58.800","12142.1","7.000","7.000","10.056","5.522","0.090"
