"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.601","0.000","-331.500","13992.5","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.935","0.000","-267.000","13998.6","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.539","0.010","-260.100","13993.3","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.828","0.018","-329.100","14001.8","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.270","0.023","-275.100","13994.3","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.647","0.028","-302.700","14002.3","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.052","0.032","-276.300","13993.2","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.266","0.037","-237.300","14000.3","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.469","0.041","-117.600","13995.0","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.847","0.044","-128.400","14001.3","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.989","0.048","-203.100","13997.9","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.096","0.051","-174.600","14000.0","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.281","0.055","-125.400","13999.1","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.485","0.058","-170.700","13997.9","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.533","0.061","-147.900","14001.1","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.633","0.064","-162.300","13989.4","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.667","0.067","-118.500","13961.1","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.771","0.069","-152.400","13901.8","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.715","0.073","-140.400","13851.8","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.740","0.077","-126.600","13783.2","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.724","0.081","-124.800","13726.3","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.736","0.085","-137.100","13654.4","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.665","0.089","-175.200","13590.6","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.667","0.092","-150.600","13517.1","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.560","0.095","-189.600","13443.6","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.457","0.099","-111.600","13366.2","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.430","0.102","-165.000","13282.1","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.232","0.105","-118.500","13208.2","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.199","0.108","-145.800","13125.3","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.947","0.111","-121.800","13058.8","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.938","0.113","-105.000","12983.9","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.720","0.116","-144.600","12923.4","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.584","0.119","-85.800","12862.9","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.449","0.122","-128.700","12806.9","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.288","0.124","-76.200","12761.2","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.191","0.127","-131.400","12706.7","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.931","0.130","-78.300","12665.5","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.945","0.133","-91.500","12612.7","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.654","0.135","-119.100","12567.0","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.612","0.138","-54.000","12516.9","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.455","0.141","-122.700","12460.3","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.301","0.144","-61.800","12410.9","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.233","0.147","-106.500","12345.6","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.011","0.150","-75.600","12289.6","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.030","0.153","-77.700","12222.1","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.781","0.155","-113.400","12153.4","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.759","0.158","-44.700","12089.4","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.636","0.161","-114.300","12012.4","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.479","0.164","-72.600","11946.9","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.464","0.167","-74.400","11871.7","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.275","0.170","-103.200","11798.1","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.261","0.172","-48.600","11730.2","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.144","0.175","-104.400","11651.5","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.020","0.178","-70.800","11585.1","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","7.003","0.180","-60.900","11513.1","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.854","0.183","-106.800","11441.3","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.783","0.185","-51.300","11380.5","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.747","0.188","-81.900","11310.8","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.588","0.190","-86.100","11249.9","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.565","0.193","-39.000","11191.1","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.471","0.195","-96.600","11124.5","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.347","0.198","-56.700","11069.4","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.375","0.201","-51.000","11005.9","7.000","8.000","8.060","4.868","0.124"
