"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.807","0.000","-310.800","14000.0","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.144","0.000","-250.500","13996.5","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.708","0.010","-308.400","13998.1","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","8.011","0.018","-305.100","13997.1","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.411","0.023","-283.500","13995.9","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.806","0.028","-304.500","13999.0","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.179","0.032","-303.300","13994.9","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.436","0.037","-234.600","14001.4","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.577","0.041","-120.000","13995.1","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.905","0.045","-151.800","14002.7","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.111","0.048","-189.600","13994.4","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.211","0.052","-172.200","14002.7","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.348","0.055","-124.500","13995.2","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.579","0.058","-183.000","14002.9","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.593","0.061","-141.300","13997.0","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.709","0.064","-160.800","13994.3","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.730","0.067","-123.900","13956.6","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.828","0.070","-161.400","13904.3","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.766","0.073","-131.400","13848.7","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.773","0.078","-137.400","13786.3","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.739","0.082","-125.400","13726.8","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.729","0.086","-134.400","13655.0","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.682","0.090","-163.500","13592.7","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.648","0.093","-170.700","13515.6","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.585","0.097","-176.100","13448.2","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.444","0.100","-113.400","13364.2","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.460","0.103","-174.000","13288.1","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.240","0.106","-118.500","13206.7","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.205","0.110","-151.500","13129.6","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.990","0.113","-115.500","13058.8","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.942","0.116","-122.700","12984.3","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.766","0.118","-128.100","12926.3","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.612","0.121","-107.400","12860.9","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.473","0.124","-114.600","12813.5","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.306","0.127","-94.200","12759.5","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.227","0.130","-126.000","12711.9","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.964","0.133","-78.900","12667.6","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.951","0.136","-111.000","12615.2","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.710","0.139","-99.300","12573.3","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.608","0.142","-86.700","12516.8","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.452","0.145","-99.300","12468.8","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.322","0.148","-83.400","12411.8","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.236","0.151","-103.800","12350.8","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.045","0.154","-62.100","12294.5","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.066","0.157","-105.300","12223.2","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.850","0.160","-79.800","12162.2","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.818","0.163","-80.400","12090.2","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.704","0.166","-97.800","12018.8","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.594","0.169","-68.100","11952.0","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.549","0.171","-103.500","11873.2","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.377","0.174","-72.900","11806.6","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.369","0.177","-87.000","11731.1","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.229","0.180","-89.700","11656.9","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.148","0.182","-66.900","11590.6","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","7.086","0.185","-92.400","11514.2","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.952","0.187","-73.800","11449.7","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.883","0.190","-78.000","11383.1","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.782","0.192","-84.900","11314.9","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.663","0.194","-64.800","11258.5","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.595","0.197","-78.600","11193.4","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.467","0.200","-75.600","11132.9","7.000","8.000","8.300","4.940","0.120"
