"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.494","0.000","-285.300","13991.3","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.916","0.000","-283.500","13999.4","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.346","0.010","-286.200","13993.3","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.735","0.018","-312.300","13999.8","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.119","0.023","-273.000","13996.0","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.556","0.028","-311.700","13999.2","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.859","0.032","-294.600","13997.8","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.162","0.037","-223.800","13996.7","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.312","0.041","-112.800","13998.8","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.702","0.045","-152.100","13995.8","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.839","0.048","-194.100","14001.9","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.934","0.052","-166.800","13995.7","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.095","0.055","-142.200","14002.5","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.265","0.058","-161.700","13994.7","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.328","0.061","-163.800","14003.2","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.409","0.064","-135.600","13987.0","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.476","0.067","-147.900","13959.6","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.514","0.070","-130.200","13900.0","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.562","0.074","-151.800","13845.5","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.503","0.078","-116.400","13780.9","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.576","0.082","-137.400","13716.7","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.499","0.086","-127.200","13650.1","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.550","0.090","-163.800","13579.2","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.491","0.094","-177.300","13512.6","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.459","0.097","-160.800","13431.0","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.369","0.101","-138.600","13357.8","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.346","0.104","-143.400","13270.9","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.207","0.107","-146.700","13198.4","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.104","0.110","-126.000","13119.2","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.002","0.113","-145.800","13048.7","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.829","0.116","-100.500","12981.7","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.792","0.118","-139.500","12916.7","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.539","0.121","-103.200","12866.2","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.501","0.124","-104.400","12807.6","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.292","0.127","-108.900","12765.1","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.208","0.129","-97.500","12712.4","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.013","0.132","-112.500","12666.8","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.879","0.135","-69.600","12619.7","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.816","0.138","-124.200","12565.8","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.535","0.140","-69.300","12520.8","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.562","0.143","-88.500","12459.9","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.321","0.146","-100.200","12408.2","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.255","0.149","-66.000","12345.7","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.128","0.151","-101.700","12280.7","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.993","0.154","-63.300","12219.9","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.951","0.157","-99.300","12145.1","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.735","0.160","-70.200","12081.8","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.743","0.162","-79.500","12007.4","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.564","0.165","-96.000","11935.3","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.489","0.168","-61.500","11867.1","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.420","0.170","-92.400","11788.6","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.267","0.173","-71.400","11721.8","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.229","0.175","-74.700","11647.1","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.097","0.178","-84.000","11574.3","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","7.007","0.180","-63.000","11510.3","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.951","0.183","-78.900","11435.9","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.813","0.185","-75.000","11374.8","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.752","0.187","-58.200","11311.4","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.675","0.189","-78.600","11245.2","7.000","8.000","8.540","5.012","0.116"
