"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.573","0.000","-313.800","13993.4","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.865","0.000","-283.200","14001.0","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.285","0.010","-274.200","13993.0","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.790","0.018","-304.800","14001.3","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.106","0.023","-304.200","13993.1","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.515","0.028","-297.900","14000.7","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.912","0.033","-287.400","13994.7","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.158","0.037","-266.700","14000.8","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.279","0.041","-72.000","13996.5","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.696","0.045","-195.300","13999.4","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.807","0.049","-172.800","13998.9","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.965","0.052","-180.600","13997.8","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.076","0.055","-136.500","14000.1","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.302","0.059","-181.200","13996.5","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.312","0.062","-141.000","14002.4","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.450","0.065","-160.500","13988.5","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.457","0.068","-144.900","13961.4","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.508","0.071","-124.200","13901.6","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.570","0.074","-155.100","13851.4","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.516","0.079","-126.900","13784.0","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.520","0.083","-137.100","13725.8","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.489","0.087","-114.600","13655.4","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.538","0.091","-195.300","13589.8","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.423","0.095","-156.000","13518.7","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.430","0.099","-180.300","13443.1","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.293","0.102","-126.900","13368.2","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.305","0.105","-171.600","13282.7","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.093","0.109","-130.200","13210.1","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.045","0.112","-134.400","13126.8","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.872","0.115","-153.600","13060.3","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.694","0.118","-97.800","12986.8","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.652","0.121","-152.100","12924.4","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.402","0.124","-99.600","12865.8","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.352","0.127","-134.700","12808.1","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.104","0.130","-85.800","12763.7","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.084","0.133","-122.700","12708.3","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.815","0.136","-105.000","12667.2","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.726","0.139","-76.500","12615.4","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.629","0.142","-141.300","12567.8","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.379","0.145","-64.200","12519.5","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.380","0.148","-121.800","12461.8","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.120","0.151","-83.100","12412.6","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.093","0.155","-95.400","12348.2","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.872","0.158","-109.500","12290.9","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.792","0.161","-70.200","12225.2","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.710","0.164","-131.100","12155.2","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.504","0.167","-63.300","12092.3","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.516","0.171","-103.800","12015.4","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.294","0.174","-99.600","11949.2","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.250","0.177","-70.200","11876.1","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.150","0.180","-118.200","11800.7","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.018","0.183","-69.600","11734.0","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.988","0.186","-96.600","11656.0","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.840","0.189","-104.100","11588.0","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.763","0.192","-71.700","11517.8","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.698","0.195","-102.000","11444.6","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.579","0.198","-84.600","11384.1","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.516","0.201","-77.400","11315.3","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.431","0.204","-108.300","11252.3","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.316","0.207","-57.300","11195.2","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.306","0.210","-98.100","11127.8","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.145","0.214","-90.000","11071.4","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.102","0.217","-60.900","11009.4","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.062","0.221","-114.000","10942.5","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","5.933","0.225","-82.500","10884.2","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.930","0.229","-89.100","10815.1","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.857","0.233","-123.300","10745.2","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.781","0.237","-84.900","10681.6","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.788","0.241","-112.200","10606.5","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.733","0.246","-132.300","10534.6","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.677","0.250","-84.000","10466.2","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.712","0.255","-129.600","10387.8","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.653","0.260","-136.800","10315.8","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.635","0.264","-93.300","10245.5","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.680","0.269","-145.500","10166.4","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.619","0.274","-140.100","10095.8","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.625","0.279","-109.800","10025.3","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.651","0.284","-149.100","9947.1","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.618","0.289","-149.100","9877.0","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.605","0.294","-117.300","9806.2","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.665","0.299","-153.000","9727.4","8.000","9.000","6.494","4.388","0.160"
