"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.725","0.000","-324.900","13999.0","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.005","0.000","-299.700","13994.0","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.454","0.010","-273.600","13998.9","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.840","0.018","-309.900","13996.5","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.209","0.023","-309.600","13997.5","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.510","0.028","-297.900","13997.9","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.905","0.033","-295.200","13995.0","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.027","0.037","-233.700","14000.1","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.199","0.041","-139.200","13995.0","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.560","0.045","-110.700","14002.2","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.674","0.049","-235.200","13994.9","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.698","0.053","-150.000","14003.2","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","9.959","0.056","-142.500","13994.7","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.028","0.059","-176.400","14002.3","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.095","0.063","-161.700","13995.0","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.007","0.066","-200.700","13993.6","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","9.948","0.069","-140.400","13954.6","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.078","0.072","-134.700","13904.2","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.140","0.077","-125.700","13846.0","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.122","0.082","-154.500","13785.1","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.215","0.087","-69.000","13724.3","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.334","0.092","-147.900","13654.2","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.367","0.096","-141.300","13591.0","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.484","0.101","-203.700","13512.9","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.399","0.105","-157.800","13444.9","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.553","0.109","-136.500","13359.9","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.481","0.112","-178.200","13284.8","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.487","0.116","-132.000","13201.1","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.388","0.119","-168.600","13125.3","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.366","0.122","-105.900","13052.6","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.256","0.125","-175.500","12979.4","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","10.133","0.127","-93.300","12920.7","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","10.089","0.130","-146.700","12854.7","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.836","0.133","-111.900","12806.5","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.853","0.135","-99.300","12750.9","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.566","0.137","-137.100","12704.4","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.498","0.140","-64.800","12657.6","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","9.308","0.142","-131.700","12606.0","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","9.144","0.144","-69.600","12563.4","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","9.027","0.147","-108.900","12506.2","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.792","0.149","-78.900","12459.0","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.775","0.151","-74.700","12400.7","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.478","0.154","-109.800","12340.9","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.450","0.156","-37.800","12283.4","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.257","0.159","-116.700","12212.1","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","8.089","0.161","-55.800","12151.5","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","8.015","0.163","-79.800","12078.0","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.770","0.166","-90.300","12008.0","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.751","0.168","-48.600","11939.6","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.533","0.171","-105.600","11861.4","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.456","0.173","-46.200","11794.9","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.358","0.176","-78.300","11718.4","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.183","0.178","-84.600","11645.4","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.138","0.181","-49.800","11577.9","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.979","0.183","-89.700","11501.3","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.887","0.186","-66.900","11437.7","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.810","0.188","-60.000","11369.0","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.658","0.190","-87.900","11301.2","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.604","0.193","-44.400","11244.2","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.504","0.195","-82.500","11177.7","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.373","0.198","-64.800","11117.8","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.351","0.201","-48.900","11059.9","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.221","0.204","-88.500","10992.5","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.173","0.207","-59.100","10934.3","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.147","0.211","-79.800","10869.6","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.997","0.214","-100.800","10799.7","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","6.033","0.218","-55.800","10737.7","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.964","0.222","-111.300","10665.1","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.890","0.226","-93.900","10592.3","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.948","0.230","-77.700","10525.3","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.857","0.234","-128.400","10448.5","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.829","0.238","-94.800","10374.1","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.879","0.242","-96.000","10305.4","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.773","0.247","-143.100","10226.9","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.789","0.251","-87.600","10153.7","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.838","0.255","-120.900","10084.5","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.724","0.260","-141.000","10006.2","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.797","0.264","-89.700","9933.6","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.805","0.269","-136.200","9864.7","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.727","0.273","-138.000","9786.7","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.786","0.278","-105.600","9713.1","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.797","0.282","-140.100","9643.3","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.726","0.287","-139.800","9564.9","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.778","0.291","-111.300","9488.4","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.791","0.296","-142.800","9417.5","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.721","0.301","-135.900","9337.8","8.000","9.000","6.488","4.376","0.170"
