"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.744","0.000","-308.700","13993.5","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.091","0.000","-288.000","13998.2","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.481","0.010","-278.700","13996.1","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.938","0.018","-312.600","13998.0","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.302","0.023","-271.200","13997.8","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.761","0.028","-318.300","13995.7","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.128","0.033","-274.500","13999.0","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.418","0.037","-245.400","13994.0","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.543","0.041","-111.300","14001.2","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.933","0.045","-152.400","13995.5","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.075","0.048","-212.400","14003.7","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.137","0.052","-149.100","13994.8","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.349","0.055","-153.600","14002.9","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.494","0.058","-167.700","13995.4","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.561","0.061","-161.100","14002.3","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.627","0.064","-136.200","13988.8","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.693","0.067","-164.700","13959.0","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.685","0.070","-117.600","13903.8","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.743","0.074","-168.900","13845.1","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.638","0.078","-120.000","13783.8","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.663","0.082","-135.900","13716.3","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.561","0.086","-131.400","13654.4","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.578","0.090","-169.800","13579.2","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.492","0.094","-182.400","13513.9","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.412","0.097","-149.100","13430.3","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.339","0.101","-147.000","13356.8","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.259","0.104","-143.100","13271.8","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.149","0.107","-153.600","13196.4","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.006","0.111","-115.500","13120.9","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.949","0.114","-158.100","13047.4","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.711","0.117","-101.400","12985.2","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.709","0.120","-131.100","12917.0","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.466","0.123","-124.800","12866.6","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.370","0.126","-99.600","12808.0","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.217","0.129","-123.600","12762.7","7.000","7.000","11.278","6.011","0.068"
