"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.829","0.000","-311.700","13999.6","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.156","0.000","-292.500","13993.2","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.589","0.010","-256.800","14000.9","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","8.069","0.018","-325.200","13993.2","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.378","0.023","-293.400","14000.9","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.822","0.028","-261.000","13993.0","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.284","0.033","-346.200","14000.9","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.429","0.037","-188.400","13994.8","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.703","0.041","-139.800","14001.1","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.972","0.045","-132.000","13997.4","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.241","0.048","-220.500","14000.0","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.248","0.052","-144.300","13999.0","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.530","0.055","-158.400","13998.1","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.602","0.058","-171.600","14000.5","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.701","0.061","-147.600","13996.7","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.767","0.064","-164.100","13994.5","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.777","0.067","-150.300","13953.9","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.778","0.070","-139.800","13907.0","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.790","0.073","-147.000","13841.5","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.708","0.077","-156.000","13786.7","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.601","0.081","-115.200","13716.2","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.597","0.085","-147.000","13653.8","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.476","0.089","-163.500","13580.5","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.458","0.093","-191.700","13510.2","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.265","0.097","-146.100","13434.7","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.235","0.100","-150.300","13352.0","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.081","0.104","-148.200","13276.7","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","9.982","0.107","-144.300","13191.9","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.821","0.111","-140.400","13122.8","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.685","0.114","-132.000","13044.4","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.542","0.118","-131.100","12982.0","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.380","0.121","-113.400","12917.6","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.296","0.124","-147.600","12861.1","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.030","0.128","-93.000","12812.3","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.018","0.131","-129.300","12757.3","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.776","0.135","-113.100","12716.0","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.685","0.138","-111.900","12662.3","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.525","0.142","-113.400","12618.9","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.401","0.145","-99.900","12567.2","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.306","0.149","-126.300","12514.1","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.102","0.153","-78.900","12464.7","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.121","0.156","-135.600","12400.9","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","7.867","0.160","-92.100","12347.3","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.866","0.163","-101.100","12279.4","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.716","0.167","-122.700","12214.7","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.591","0.171","-81.000","12148.7","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.553","0.174","-127.200","12073.6","7.000","7.000","9.944","5.478","0.092"
