"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.569","0.000","-304.200","13999.4","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.960","0.000","-284.700","13992.4","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.442","0.010","-267.300","13999.3","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.869","0.018","-291.900","13995.1","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.271","0.023","-315.000","13999.4","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.685","0.028","-257.100","13996.9","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.127","0.032","-332.700","13998.3","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.311","0.037","-197.700","13999.0","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.593","0.041","-145.200","13995.7","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.887","0.044","-128.100","14000.2","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.146","0.048","-210.000","13995.4","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.181","0.051","-161.100","14002.7","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.418","0.054","-151.800","13995.9","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.526","0.057","-159.900","14003.6","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.635","0.060","-156.900","13995.6","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.694","0.063","-158.100","13995.3","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.744","0.066","-134.100","13954.0","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.786","0.069","-151.200","13905.4","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.780","0.072","-127.200","13844.4","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.727","0.076","-165.900","13785.2","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.667","0.080","-95.100","13721.1","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.683","0.084","-165.000","13652.3","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.544","0.087","-139.500","13586.3","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.552","0.091","-195.600","13509.8","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.358","0.094","-138.600","13440.6","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.344","0.097","-148.800","13354.5","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.157","0.101","-145.500","13280.4","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.067","0.104","-127.800","13196.0","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.910","0.107","-153.900","13123.6","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.744","0.110","-102.300","13049.1","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.631","0.113","-145.800","12979.3","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.424","0.116","-91.200","12920.3","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.358","0.119","-141.600","12857.4","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.063","0.122","-95.400","12810.8","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.058","0.125","-103.800","12754.7","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.792","0.128","-133.200","12711.3","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.679","0.132","-71.100","12662.4","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.556","0.135","-134.100","12612.5","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.357","0.138","-74.100","12568.4","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.304","0.141","-122.700","12510.8","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.050","0.145","-82.200","12464.0","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.076","0.148","-99.000","12402.8","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","7.810","0.152","-124.500","12345.1","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.763","0.155","-60.000","12283.9","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.664","0.158","-133.500","12214.0","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.464","0.162","-75.900","12152.5","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.480","0.165","-105.000","12077.3","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.251","0.169","-112.800","12010.2","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.243","0.172","-75.300","11938.7","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.108","0.176","-125.100","11862.4","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","6.997","0.179","-74.400","11795.8","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","6.976","0.182","-106.500","11718.0","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.803","0.186","-108.900","11648.0","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.771","0.189","-75.000","11578.5","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.670","0.192","-118.200","11503.1","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.558","0.196","-87.000","11441.0","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.525","0.199","-84.900","11371.3","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.402","0.202","-118.800","11306.3","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.317","0.205","-63.600","11249.2","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.291","0.208","-107.700","11182.2","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.126","0.212","-96.900","11125.2","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.116","0.215","-59.100","11065.0","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.041","0.219","-122.100","10998.4","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","5.928","0.223","-76.500","10941.5","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","5.953","0.227","-95.400","10874.2","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.831","0.231","-125.100","10805.8","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.802","0.235","-78.600","10743.3","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.814","0.239","-125.400","10669.3","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.702","0.244","-127.500","10598.4","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.726","0.248","-83.100","10530.8","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.734","0.253","-144.300","10452.3","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.632","0.258","-126.900","10380.9","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.691","0.263","-94.200","10310.6","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.682","0.267","-167.100","10231.7","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.586","0.272","-117.300","10161.1","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.669","0.277","-112.800","10090.0","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.632","0.282","-172.200","10011.7","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.576","0.287","-120.600","9942.0","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.645","0.292","-126.300","9871.4","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.619","0.297","-175.500","9793.3","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.552","0.302","-126.000","9722.8","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.642","0.307","-126.900","9651.9","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.633","0.312","-179.700","9572.6","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.550","0.317","-132.000","9499.1","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.638","0.322","-130.800","9427.7","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.628","0.328","-180.900","9347.3","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.543","0.333","-142.500","9270.0","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.617","0.338","-125.700","9197.0","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.644","0.343","-175.800","9116.1","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.537","0.348","-156.300","9035.0","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.598","0.353","-127.500","8960.8","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.649","0.359","-174.300","8880.5","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.545","0.364","-162.900","8796.5","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.542","0.369","-139.500","8718.7","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.608","0.374","-158.700","8640.4","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.551","0.380","-170.100","8555.5","8.000","9.000","6.476","4.353","0.190"
