"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.663","0.000","-296.700","13993.1","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.025","0.000","-295.500","13999.5","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.448","0.010","-286.500","13994.5","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.861","0.018","-285.600","13998.4","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.221","0.023","-309.300","13996.5","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.597","0.028","-305.100","13997.7","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.911","0.033","-290.700","13998.1","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.073","0.037","-240.600","13995.7","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.276","0.041","-123.300","14000.6","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.553","0.045","-156.000","13995.5","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.585","0.048","-195.600","14002.7","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.723","0.052","-173.700","13994.7","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","9.826","0.056","-153.300","14002.6","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","9.962","0.059","-161.100","13994.4","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.050","0.062","-148.200","14002.5","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.099","0.066","-162.600","13987.6","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.147","0.069","-134.100","13959.3","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.236","0.072","-135.000","13901.9","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.154","0.076","-175.500","13845.1","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","9.950","0.081","-168.600","13782.6","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","9.939","0.086","-133.200","13716.3","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.054","0.090","-88.200","13652.4","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.133","0.095","-189.600","13579.2","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.153","0.099","-154.800","13514.3","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.257","0.104","-147.000","13431.5","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.307","0.108","-124.200","13358.8","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.384","0.112","-156.300","13272.5","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.307","0.116","-156.900","13198.6","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.404","0.119","-121.800","13120.9","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.286","0.122","-162.900","13048.5","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.299","0.125","-104.700","12983.5","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","10.185","0.128","-160.200","12915.8","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","10.073","0.131","-108.300","12865.8","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","10.032","0.133","-123.900","12806.5","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.829","0.135","-120.300","12762.9","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.779","0.138","-99.900","12711.6","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.555","0.140","-114.600","12663.8","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","9.530","0.142","-69.300","12618.8","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","9.286","0.144","-124.800","12563.6","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","9.178","0.146","-64.800","12518.6","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","9.082","0.148","-88.200","12458.9","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.841","0.150","-94.500","12405.3","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.794","0.153","-61.800","12344.4","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.562","0.155","-93.000","12278.6","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.507","0.157","-51.000","12218.5","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","8.293","0.159","-93.900","12143.9","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","8.165","0.161","-58.800","12079.3","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","8.069","0.163","-60.900","12006.9","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.867","0.165","-81.300","11932.7","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.805","0.167","-46.200","11866.1","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.611","0.169","-81.600","11787.1","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.529","0.171","-49.800","11719.5","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.399","0.173","-64.500","11646.6","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.251","0.175","-71.400","11572.4","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","7.176","0.177","-45.900","11508.5","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","7.031","0.179","-69.300","11435.3","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.936","0.181","-54.000","11371.6","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.830","0.183","-52.800","11310.5","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.696","0.185","-71.100","11242.7","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.614","0.187","-38.700","11187.6","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.514","0.189","-59.700","11124.5","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.376","0.192","-62.700","11061.2","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.362","0.195","-36.000","11005.2","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.221","0.198","-87.000","10937.4","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.164","0.201","-54.900","10873.8","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","6.142","0.204","-61.800","10811.4","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","6.011","0.207","-99.300","10737.6","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","6.024","0.211","-54.600","10672.0","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.980","0.214","-92.400","10602.0","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.893","0.218","-107.400","10524.6","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.933","0.222","-66.000","10457.7","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.876","0.226","-112.800","10383.3","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.812","0.230","-109.200","10306.0","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.877","0.234","-74.400","10238.2","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.807","0.238","-128.100","10163.1","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.810","0.242","-101.700","10086.6","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.881","0.247","-92.400","10019.1","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.800","0.251","-135.600","9944.0","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.843","0.255","-98.400","9868.0","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.874","0.259","-114.000","9800.4","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.828","0.264","-135.000","9725.5","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.856","0.268","-107.700","9648.0","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.897","0.272","-121.500","9579.0","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.845","0.276","-134.700","9503.6","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.873","0.280","-110.100","9423.6","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.894","0.285","-122.700","9351.7","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.861","0.289","-131.400","9276.0","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.865","0.293","-118.200","9193.6","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.879","0.297","-122.100","9117.7","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.866","0.302","-130.500","9042.5","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.845","0.306","-125.400","8959.4","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.873","0.310","-120.900","8878.8","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.860","0.314","-129.300","8803.2","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.835","0.318","-125.100","8720.7","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.843","0.323","-126.300","8636.1","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.849","0.327","-128.700","8558.1","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.816","0.331","-130.200","8477.4","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.804","0.336","-131.100","8390.6","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.813","0.340","-123.300","8306.1","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.792","0.344","-135.600","8225.8","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.775","0.349","-129.900","8139.3","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.785","0.353","-122.400","8049.4","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.806","0.357","-122.100","7964.3","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.769","0.362","-145.200","7880.2","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.753","0.366","-124.200","7788.7","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.781","0.371","-125.100","7696.0","8.000","9.000","6.465","4.329","0.210"
"106","2","6.000","5.793","0.375","-136.500","7608.6","8.000","9.000","6.464","4.327","0.212"
"107","2","6.000","5.751","0.380","-140.100","7521.3","8.000","9.000","6.462","4.325","0.214"
"108","2","6.000","5.765","0.384","-121.800","7428.6","8.000","9.000","6.461","4.322","0.216"
"109","2","6.000","5.793","0.389","-128.400","7336.3","8.000","9.000","6.460","4.320","0.218"
"110","2","6.000","5.799","0.393","-135.900","7248.5","8.000","9.000","6.459","4.318","0.220"
"111","2","6.000","5.771","0.398","-145.500","7160.7","8.000","9.000","6.458","4.315","0.222"
"112","2","6.000","5.776","0.402","-122.400","7068.2","8.000","9.000","6.456","4.313","0.224"
"113","2","6.000","5.815","0.407","-128.400","6974.9","8.000","9.000","6.455","4.311","0.226"
"114","2","6.000","5.802","0.411","-144.600","6885.4","8.000","9.000","6.454","4.308","0.228"
"115","2","6.000","5.762","0.416","-144.900","6797.4","8.000","9.000","6.453","4.306","0.230"
"116","2","6.000","5.767","0.420","-121.200","6705.9","8.000","9.000","6.452","4.304","0.232"
"117","2","6.000","5.797","0.425","-131.400","6619.0","8.000","9.000","6.451","4.301","0.234"
"118","2","6.000","5.764","0.429","-150.000","6540.5","8.000","9.000","6.449","4.299","0.236"
"119","2","6.000","5.742","0.434","-140.400","6464.1","8.000","9.000","6.448","4.296","0.238"
"120","2","6.000","5.734","0.438","-131.700","6385.6","9.000","9.000","6.447","4.294","0.240"
"121","2","6.000","5.739","0.443","-130.800","6306.8","9.000","9.000","6.446","4.292","0.242"
"122","2","6.000","5.750","0.447","-137.400","6230.6","9.000","9.000","6.445","4.289","0.244"
"123","2","6.000","5.751","0.452","-140.700","6156.5","9.000","9.000","6.444","4.287","0.246"
"124","2","6.000","5.729","0.457","-140.400","6082.8","9.000","9.000","6.442","4.285","0.248"
"125","2","6.000","5.724","0.461","-132.000","6005.0","9.000","9.000","6.441","4.282","0.250"
"126","2","6.000","5.749","0.466","-133.800","5926.8","9.000","9.000","6.440","4.280","0.252"
"127","2","6.000","5.749","0.471","-139.800","5849.4","9.000","9.000","6.439","4.278","0.254"
"128","2","6.000","5.759","0.475","-143.400","5772.9","9.000","9.000","6.438","4.275","0.256"
"129","2","6.000","5.736","0.480","-143.100","5696.4","9.000","9.000","6.436","4.273","0.258"
"130","2","6.000","5.726","0.485","-135.900","5616.1","9.000","9.000","6.435","4.271","0.260"
"131","2","6.000","5.715","0.490","-139.200","5534.7","9.000","9.000","6.434","4.268","0.262"
"132","2","6.000","5.733","0.494","-143.100","5453.7","9.000","9.000","6.433","4.266","0.264"
"133","2","6.000","5.728","0.499","-143.700","5374.0","9.000","9.000","6.432","4.264","0.266"
"134","2","6.000","5.710","0.504","-143.400","5294.8","9.000","9.000","6.431","4.261","0.268"
"135","2","6.000","5.698","0.508","-144.600","5214.1","9.000","9.000","6.429","4.259","0.270"
"136","2","6.000","5.676","0.513","-139.800","5130.9","9.000","9.000","6.428","4.256","0.272"
"137","2","6.000","5.680","0.518","-139.500","5048.5","9.000","9.000","6.427","4.254","0.274"
"138","2","6.000","5.685","0.523","-139.500","4966.4","9.000","9.000","6.426","4.252","0.276"
"139","2","6.000","5.679","0.528","-151.800","4885.8","9.000","9.000","6.425","4.249","0.278"
"140","2","6.000","5.654","0.533","-147.600","4805.8","9.000","9.000","6.424","4.247","0.280"
"141","2","6.000","5.658","0.537","-141.900","4723.7","9.000","9.000","6.422","4.245","0.282"
"142","2","6.000","5.635","0.542","-149.400","4640.3","9.000","9.000","6.421","4.242","0.284"
"143","2","6.000","5.635","0.547","-140.700","4557.7","9.000","9.000","6.420","4.240","0.286"
"144","2","6.000","5.656","0.552","-138.000","4475.0","9.000","9.000","6.419","4.238","0.288"
"145","2","6.000","5.639","0.557","-152.100","4393.2","9.000","9.000","6.418","4.235","0.290"
"146","2","6.000","5.602","0.562","-160.200","4312.5","9.000","9.000","6.416","4.233","0.292"
"147","2","6.000","5.597","0.567","-146.700","4230.4","9.000","9.000","6.415","4.231","0.294"
"148","2","6.000","5.587","0.572","-153.600","4147.6","9.000","9.000","6.414","4.228","0.296"
"149","2","6.000","5.545","0.577","-154.200","4063.6","9.000","9.000","6.413","4.226","0.298"
"150","2","6.000","5.546","0.583","-143.400","3980.7","9.000","9.000","6.412","4.224","0.300"
"151","2","6.000","5.553","0.588","-146.400","3897.5","9.000","9.000","6.411","4.221","0.302"
"152","2","6.000","5.545","0.593","-151.800","3815.2","9.000","9.000","6.409","4.219","0.304"
"153","2","6.000","5.495","0.598","-167.700","3733.2","9.000","9.000","6.408","4.216","0.306"
"154","2","6.000","5.459","0.604","-159.300","3651.8","9.000","9.000","6.407","4.214","0.308"
"155","2","6.000","5.439","0.609","-161.100","3568.8","9.000","9.000","6.406","4.212","0.310"
"156","2","6.000","5.406","0.614","-165.600","3485.6","9.000","9.000","6.405","4.209","0.312"
"157","2","6.000","5.371","0.620","-161.100","3401.5","9.000","9.000","6.404","4.207","0.314"
"158","2","6.000","5.354","0.625","-151.200","3318.4","9.000","9.000","6.402","4.205","0.316"
"159","2","6.000","5.367","0.631","-152.100","3234.6","9.000","9.000","6.401","4.202","0.318"
