"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.457","0.000","-268.800","13991.4","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.785","0.000","-339.000","13999.1","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.034","0.010","-273.000","13991.7","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.546","0.018","-274.500","13999.0","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","7.890","0.023","-314.400","13994.2","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.288","0.028","-282.000","13999.7","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.679","0.033","-284.700","13996.8","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","8.937","0.037","-242.400","13998.2","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.127","0.041","-79.500","13998.7","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.503","0.045","-190.200","13996.3","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.633","0.049","-159.300","14000.6","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.803","0.053","-175.200","13995.9","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","9.953","0.056","-144.300","14002.8","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.142","0.059","-174.600","13996.4","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.210","0.063","-140.400","14004.1","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.352","0.066","-146.100","13987.6","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.453","0.069","-157.200","13960.3","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.483","0.072","-114.900","13900.0","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.598","0.075","-157.200","13845.9","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.555","0.080","-123.900","13780.3","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.612","0.084","-135.600","13718.5","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.580","0.088","-117.900","13651.4","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.652","0.092","-185.700","13580.8","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.575","0.095","-169.500","13512.4","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.560","0.099","-162.600","13431.3","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.490","0.102","-135.300","13358.5","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.456","0.105","-160.800","13271.2","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.309","0.108","-131.400","13199.7","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.209","0.111","-137.400","13119.2","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.092","0.114","-143.400","13051.8","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.909","0.117","-105.000","12985.2","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.836","0.119","-139.500","12922.8","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.608","0.122","-97.800","12872.2","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.514","0.125","-120.300","12814.1","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.308","0.127","-85.200","12771.1","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.229","0.130","-111.900","12717.9","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.005","0.133","-101.100","12673.6","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.887","0.135","-70.200","12624.6","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.780","0.138","-126.600","12572.5","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.535","0.141","-58.800","12526.5","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.497","0.143","-111.300","12465.6","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.253","0.146","-74.100","12414.8","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.210","0.149","-90.300","12350.9","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.997","0.152","-97.800","12288.1","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.914","0.155","-53.400","12225.7","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.819","0.158","-123.900","12152.1","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.604","0.160","-44.400","12089.6","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.636","0.163","-100.200","12014.3","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.406","0.166","-85.500","11944.4","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.386","0.169","-58.500","11875.1","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.261","0.172","-117.000","11797.3","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.122","0.175","-50.100","11731.5","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.100","0.177","-101.100","11655.8","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.909","0.180","-85.500","11584.8","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.886","0.183","-58.500","11520.0","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.774","0.185","-105.300","11445.8","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.643","0.188","-58.800","11386.1","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.636","0.191","-76.200","11321.6","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.480","0.193","-94.800","11256.5","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.418","0.196","-38.400","11201.5","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.392","0.199","-101.100","11136.4","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.214","0.202","-63.000","11076.5","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.222","0.205","-45.300","11018.5","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.164","0.208","-120.600","10949.7","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.018","0.212","-54.000","10889.7","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","6.081","0.215","-86.100","10823.5","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.947","0.219","-119.400","10751.1","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.923","0.223","-53.100","10687.5","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.954","0.227","-117.600","10614.0","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.832","0.231","-112.200","10539.3","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.860","0.235","-67.200","10472.4","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.881","0.239","-141.000","10395.7","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.764","0.243","-103.200","10321.3","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.821","0.247","-85.500","10253.2","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.819","0.252","-161.400","10176.2","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.698","0.256","-95.100","10102.7","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.805","0.260","-104.100","10035.2","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.768","0.265","-161.400","9958.3","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.691","0.269","-91.200","9885.3","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.798","0.274","-115.800","9817.2","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.775","0.278","-160.200","9740.6","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.705","0.283","-96.900","9666.2","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.819","0.287","-115.200","9597.0","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.817","0.292","-166.800","9518.8","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.720","0.296","-103.500","9441.5","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.841","0.301","-124.200","9370.4","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.838","0.305","-163.200","9291.5","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.750","0.310","-116.700","9210.8","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.838","0.314","-119.400","9137.6","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.877","0.319","-156.300","9059.4","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.764","0.323","-126.300","8975.8","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.841","0.328","-110.400","8898.9","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.906","0.332","-155.700","8822.1","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.805","0.337","-136.500","8738.0","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.839","0.341","-109.800","8655.8","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.911","0.346","-148.200","8578.6","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.849","0.350","-136.800","8494.7","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.841","0.354","-120.900","8407.9","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.903","0.359","-138.000","8326.5","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.885","0.363","-135.900","8244.7","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.878","0.368","-131.400","8155.8","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.882","0.372","-130.800","8067.3","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.901","0.376","-135.300","7984.4","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.899","0.381","-129.000","7897.1","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.884","0.385","-144.300","7805.1","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.864","0.390","-123.300","7715.9","8.000","9.000","6.465","4.329","0.210"
"106","2","6.000","5.906","0.394","-126.300","7630.2","8.000","9.000","6.464","4.327","0.212"
"107","2","6.000","5.914","0.398","-142.800","7539.7","8.000","9.000","6.462","4.325","0.214"
"108","2","6.000","5.857","0.403","-133.800","7446.6","8.000","9.000","6.461","4.322","0.216"
"109","2","6.000","5.870","0.407","-116.400","7356.1","8.000","9.000","6.460","4.320","0.218"
"110","2","6.000","5.931","0.412","-132.900","7269.7","8.000","9.000","6.459","4.318","0.220"
"111","2","6.000","5.910","0.416","-154.200","7179.3","8.000","9.000","6.458","4.315","0.222"
"112","2","6.000","5.828","0.420","-125.700","7085.7","8.000","9.000","6.456","4.313","0.224"
"113","2","6.000","5.869","0.425","-116.400","6993.9","8.000","9.000","6.455","4.311","0.226"
"114","2","6.000","5.917","0.429","-145.500","6906.4","8.000","9.000","6.454","4.308","0.228"
"115","2","6.000","5.871","0.434","-144.300","6816.7","8.000","9.000","6.453","4.306","0.230"
"116","2","6.000","5.814","0.438","-122.400","6723.5","8.000","9.000","6.452","4.304","0.232"
"117","2","6.000","5.842","0.442","-123.300","6630.3","8.000","9.000","6.451","4.301","0.234"
"118","2","6.000","5.875","0.447","-138.600","6540.8","8.000","9.000","6.449","4.299","0.236"
"119","2","6.000","5.855","0.451","-141.600","6452.5","8.000","9.000","6.448","4.296","0.238"
"120","2","6.000","5.837","0.456","-130.800","6361.2","9.000","9.000","6.447","4.294","0.240"
"121","2","6.000","5.807","0.460","-133.800","6275.7","9.000","9.000","6.446","4.292","0.242"
"122","2","6.000","5.816","0.465","-127.500","6196.7","9.000","9.000","6.445","4.289","0.244"
"123","2","6.000","5.854","0.469","-140.100","6119.9","9.000","9.000","6.444","4.287","0.246"
"124","2","6.000","5.835","0.474","-151.500","6042.1","9.000","9.000","6.442","4.285","0.248"
"125","2","6.000","5.779","0.479","-123.300","5962.7","9.000","9.000","6.441","4.282","0.250"
"126","2","6.000","5.797","0.483","-132.300","5885.5","9.000","9.000","6.440","4.280","0.252"
"127","2","6.000","5.797","0.488","-138.000","5810.1","9.000","9.000","6.439","4.278","0.254"
"128","2","6.000","5.802","0.492","-144.900","5735.6","9.000","9.000","6.438","4.275","0.256"
"129","2","6.000","5.786","0.497","-140.700","5658.6","9.000","9.000","6.436","4.273","0.258"
"130","2","6.000","5.768","0.502","-132.300","5578.7","9.000","9.000","6.435","4.271","0.260"
"131","2","6.000","5.739","0.506","-135.900","5499.3","9.000","9.000","6.434","4.268","0.262"
"132","2","6.000","5.748","0.511","-134.400","5420.8","9.000","9.000","6.433","4.266","0.264"
"133","2","6.000","5.780","0.516","-147.600","5343.0","9.000","9.000","6.432","4.264","0.266"
"134","2","6.000","5.739","0.520","-146.700","5263.6","9.000","9.000","6.431","4.261","0.268"
"135","2","6.000","5.732","0.525","-135.300","5181.6","9.000","9.000","6.429","4.259","0.270"
"136","2","6.000","5.705","0.530","-146.700","5098.8","9.000","9.000","6.428","4.256","0.272"
"137","2","6.000","5.665","0.535","-141.300","5016.5","9.000","9.000","6.427","4.254","0.274"
"138","2","6.000","5.685","0.540","-135.300","4935.2","9.000","9.000","6.426","4.252","0.276"
"139","2","6.000","5.711","0.544","-151.800","4855.1","9.000","9.000","6.425","4.249","0.278"
"140","2","6.000","5.674","0.549","-144.300","4773.5","9.000","9.000","6.424","4.247","0.280"
"141","2","6.000","5.675","0.554","-135.000","4690.1","9.000","9.000","6.422","4.245","0.282"
"142","2","6.000","5.674","0.559","-152.400","4606.4","9.000","9.000","6.421","4.242","0.284"
"143","2","6.000","5.623","0.564","-139.800","4523.0","9.000","9.000","6.420","4.240","0.286"
"144","2","6.000","5.661","0.569","-137.700","4440.5","9.000","9.000","6.419","4.238","0.288"
"145","2","6.000","5.696","0.574","-156.300","4358.6","9.000","9.000","6.418","4.235","0.290"
"146","2","6.000","5.672","0.579","-150.000","4276.7","9.000","9.000","6.416","4.233","0.292"
"147","2","6.000","5.668","0.584","-142.500","4193.7","9.000","9.000","6.415","4.231","0.294"
"148","2","6.000","5.684","0.589","-157.800","4109.4","9.000","9.000","6.414","4.228","0.296"
"149","2","6.000","5.632","0.594","-149.700","4025.6","9.000","9.000","6.413","4.226","0.298"
"150","2","6.000","5.619","0.599","-147.600","3941.6","9.000","9.000","6.412","4.224","0.300"
"151","2","6.000","5.625","0.604","-154.500","3858.5","9.000","9.000","6.411","4.221","0.302"
"152","2","6.000","5.613","0.609","-149.700","3775.4","9.000","9.000","6.409","4.219","0.304"
"153","2","6.000","5.611","0.615","-150.900","3692.8","9.000","9.000","6.408","4.216","0.306"
"154","2","6.000","5.622","0.620","-158.400","3609.8","9.000","9.000","6.407","4.214","0.308"
"155","2","6.000","5.589","0.625","-158.400","3526.1","9.000","9.000","6.406","4.212","0.310"
"156","2","6.000","5.556","0.630","-152.100","3441.5","9.000","9.000","6.405","4.209","0.312"
"157","2","6.000","5.535","0.635","-163.500","3357.7","9.000","9.000","6.404","4.207","0.314"
"158","2","6.000","5.484","0.641","-157.500","3273.4","9.000","9.000","6.402","4.205","0.316"
"159","2","6.000","5.456","0.646","-159.900","3189.5","9.000","9.000","6.401","4.202","0.318"
"160","2","6.000","5.441","0.651","-160.200","3106.6","9.000","10.000","6.400","4.200","0.320"
"161","2","6.000","5.398","0.657","-166.800","3022.4","9.000","10.000","6.400","4.200","0.322"
"162","2","6.000","5.345","0.662","-163.500","2939.9","9.000","10.000","6.400","4.200","0.324"
"163","2","6.000","5.330","0.668","-163.200","2856.2","9.000","10.000","6.400","4.200","0.326"
"164","2","6.000","5.288","0.674","-167.700","2772.4","9.000","10.000","6.400","4.200","0.328"
"165","2","6.000","5.262","0.680","-165.600","2688.1","9.000","10.000","6.400","4.200","0.330"
"166","2","6.000","5.242","0.685","-172.800","2603.8","10.000","10.000","6.400","4.200","0.332"
"167","2","6.000","5.194","0.691","-174.300","2519.6","10.000","10.000","6.400","4.200","0.334"
"168","2","6.000","5.148","0.697","-177.000","2436.0","10.000","10.000","6.400","4.200","0.336"
"169","2","6.000","5.112","0.703","-181.500","2351.2","10.000","10.000","6.400","4.200","0.338"
"170","2","6.000","5.077","0.710","-179.700","2267.7","10.000","10.000","6.400","4.200","0.340"
"171","2","6.000","5.021","0.716","-186.000","2184.9","10.000","10.000","6.400","4.200","0.342"
"172","2","6.000","4.951","0.722","-200.400","2100.7","10.000","10.000","6.400","4.200","0.344"
"173","2","6.000","4.876","0.729","-192.000","2016.8","10.000","10.000","6.400","4.200","0.346"
"174","3","6.160","4.795","0.735","-200.700","1932.9","11.000","11.000","6.400","4.200","0.348"
"175","3","6.320","4.710","0.742","-202.500","1848.2","11.000","11.000","6.317","4.000","0.350"
"176","3","6.480","4.641","0.749","-205.800","1763.0","11.000","11.000","6.233","3.800","0.352"
"177","3","6.640","4.546","0.758","-205.800","1678.9","11.000","11.000","6.150","3.600","0.354"
"178","3","6.800","4.453","0.771","-211.200","1595.0","11.000","11.000","6.067","3.400","0.356"
"179","3","6.960","4.346","0.788","-218.400","1510.7","11.000","11.000","5.983","3.200","0.358"
"180","3","7.120","4.217","0.808","-231.600","1424.3","12.000","12.000","5.900","3.000","0.360"
"181","3","7.280","4.218","0.828","-308.700","1338.8","12.000","12.000","5.800","2.833","0.362"
"182","3","7.440","4.296","0.848","-528.600","1253.2","12.000","12.000","5.700","2.667","0.364"
"183","3","7.600","4.193","0.868","-630.900","1167.0","12.000","13.000","5.600","2.500","0.366"
"184","3","7.760","4.036","0.888","-642.300","1082.3","12.000","13.000","5.417","2.417","0.368"
"185","3","7.920","3.890","0.908","-632.400","997.4","13.000","13.000","5.233","2.333","0.370"
"186","3","8.080","3.705","0.928","-623.700","913.0","13.000","13.000","5.050","2.250","0.372"
"187","3","8.240","3.496","0.948","-636.900","830.1","13.000","13.000","4.867","2.167","0.374"
"188","3","8.400","3.245","0.968","-609.300","748.5","13.000","13.000","4.683","2.083","0.376"
"189","3","8.560","3.113","0.988","-583.800","668.0","13.000","14.000","4.500","2.000","0.378"
"190","3","8.720","3.046","1.008","-587.400","588.3","13.000","14.000","4.750","2.000","0.380"
"191","3","8.880","2.989","1.028","-576.600","507.9","13.000","14.000","5.000","2.000","0.382"
"192","3","9.040","2.980","1.048","-549.300","427.4","13.000","14.000","5.250","2.000","0.384"
"193","3","9.200","3.071","1.068","-536.400","346.3","14.000","15.000","5.500","2.000","0.386"
"194","4","10.000","3.230","1.088","-528.000","265.3","16.000","16.000","5.500","2.000","0.388"
"195","4","10.000","3.441","1.108","-504.900","184.6","16.000","16.000","6.083","2.333","0.390"
"196","4","10.000","3.779","1.128","-481.800","109.9","16.000","16.000","6.667","2.667","0.392"
"197","4","10.000","4.239","1.146","-466.800","57.6","16.000","16.000","7.250","3.000","0.394"
"198","4","10.000","4.806","1.160","-461.700","37.5","16.000","16.000","7.833","3.333","0.396"
"199","4","10.000","5.422","1.170","-468.600","36.6","16.000","16.000","8.417","3.667","0.398"
"200","4","10.000","6.047","1.179","-499.200","33.1","16.000","17.000","9.000","4.000","0.400"
"201","4","10.000","6.488","1.187","-428.700","26.9","16.000","17.000","9.188","4.375","0.402"
"202","4","10.000","6.792","1.195","-259.200","22.8","16.000","17.000","9.375","4.750","0.404"
"203","4","10.000","7.212","1.201","-194.700","19.8","16.000","17.000","9.563","5.125","0.406"
"204","4","10.000","7.605","1.207","-250.800","17.1","16.000","17.000","9.750","5.500","0.408"
"205","4","10.000","7.781","1.213","-245.400","15.0","16.000","17.000","9.938","5.875","0.410"
"206","4","10.000","8.010","1.217","-206.400","13.2","16.000","17.000","10.125","6.250","0.412"
"207","4","10.000","8.272","1.221","-198.600","11.7","16.000","17.000","10.313","6.625","0.414"
"208","4","10.000","8.488","1.225","-189.900","10.5","17.000","18.000","10.500","7.000","0.416"
"209","4","10.000","8.679","1.229","-177.300","8.9","17.000","18.000","10.521","7.085","0.418"
"210","4","10.000","8.852","1.232","-154.800","7.3","17.000","18.000","10.543","7.170","0.420"
"211","4","10.000","9.039","1.235","-138.900","5.8","17.000","18.000","10.564","7.255","0.422"
"212","4","10.000","9.216","1.237","-135.600","4.8","17.000","18.000","10.585","7.340","0.424"
"213","4","10.000","9.363","1.239","-128.100","4.2","17.000","18.000","10.606","7.426","0.426"
