"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.626","0.000","-293.100","13996.7","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.048","0.000","-258.000","13994.6","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.465","0.010","-311.400","13997.8","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.810","0.018","-302.400","13997.1","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.238","0.023","-291.900","13995.6","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.586","0.028","-296.700","13998.7","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.967","0.032","-297.900","13993.9","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.100","0.037","-225.600","14001.2","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.384","0.041","-118.500","13994.9","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.681","0.045","-136.500","14002.8","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.852","0.048","-190.200","13994.4","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.941","0.052","-171.600","14002.3","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.178","0.055","-130.500","13994.8","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.288","0.058","-177.900","14001.6","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.388","0.062","-147.300","13996.6","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.455","0.065","-162.600","13993.9","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.527","0.068","-126.000","13956.7","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.623","0.071","-140.400","13904.0","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.604","0.074","-137.700","13848.7","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.622","0.079","-139.800","13786.0","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.618","0.083","-111.000","13727.0","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.664","0.087","-137.100","13654.7","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.613","0.091","-169.200","13592.5","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.646","0.094","-176.100","13514.8","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.509","0.098","-166.500","13447.4","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.541","0.101","-125.400","13363.2","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.398","0.104","-174.000","13286.8","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.318","0.108","-119.700","13205.5","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.210","0.111","-150.600","13127.7","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.048","0.113","-123.600","13057.4","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.959","0.116","-125.700","12982.5","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.755","0.119","-125.400","12924.3","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.684","0.122","-110.400","12858.7","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.405","0.125","-127.500","12810.5","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.379","0.127","-80.400","12756.7","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.134","0.130","-133.800","12708.6","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.978","0.133","-86.100","12664.2","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.873","0.136","-97.200","12611.5","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.651","0.138","-103.800","12569.5","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.584","0.141","-84.600","12513.0","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.343","0.144","-104.100","12464.5","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.318","0.147","-75.300","12407.7","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.084","0.150","-111.600","12346.6","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.997","0.153","-73.800","12289.9","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.890","0.156","-91.800","12218.5","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.688","0.159","-97.500","12156.8","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.660","0.162","-76.500","12084.8","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.457","0.165","-100.500","12013.0","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.419","0.168","-75.600","11946.6","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.289","0.171","-88.800","11867.3","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.176","0.175","-90.000","11800.4","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.123","0.178","-81.600","11725.1","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.980","0.181","-91.800","11650.6","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.918","0.184","-83.100","11584.3","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.827","0.186","-84.300","11507.6","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.722","0.189","-84.300","11442.6","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.656","0.192","-83.100","11375.6","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.554","0.195","-81.900","11306.8","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.463","0.198","-84.900","11250.1","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.424","0.200","-72.600","11184.7","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.281","0.204","-90.900","11123.4","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.251","0.207","-62.100","11067.3","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.185","0.210","-87.600","11000.0","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.076","0.214","-82.200","10941.3","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.072","0.217","-85.500","10878.1","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.966","0.221","-104.100","10807.3","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.938","0.225","-82.200","10745.7","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.914","0.229","-107.700","10674.3","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.830","0.233","-106.200","10600.9","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.846","0.237","-93.900","10534.6","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.808","0.241","-120.300","10458.3","8.000","8.000","7.100","4.580","0.140"
