"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.402","0.000","-246.600","13993.8","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.790","0.000","-319.800","13998.2","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.155","0.010","-275.700","13995.1","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.634","0.018","-285.900","13995.8","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","7.967","0.023","-296.700","13996.6","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.422","0.028","-303.000","13995.1","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.744","0.033","-286.800","13999.6","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","8.942","0.037","-246.300","13994.7","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.191","0.041","-89.700","14002.0","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.527","0.045","-181.200","13994.8","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.619","0.048","-171.600","14002.9","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.808","0.052","-156.900","13994.8","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","9.938","0.055","-168.000","14002.8","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.131","0.059","-135.300","13994.9","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.221","0.062","-166.200","14001.4","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.352","0.065","-128.100","13988.6","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.409","0.068","-162.000","13958.5","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.496","0.071","-99.300","13903.6","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.549","0.074","-178.500","13845.4","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.504","0.079","-104.700","13785.3","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.594","0.083","-141.600","13717.4","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.553","0.087","-112.800","13656.2","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.650","0.091","-175.500","13581.8","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.560","0.094","-174.000","13517.6","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.604","0.098","-141.300","13434.7","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.514","0.101","-156.000","13361.5","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.522","0.104","-127.200","13276.5","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.393","0.107","-159.600","13200.8","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.319","0.110","-103.500","13124.9","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.223","0.112","-160.200","13050.9","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.043","0.115","-85.800","12987.6","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","10.032","0.117","-137.100","12918.9","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.744","0.120","-112.800","12868.0","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.736","0.122","-85.500","12809.8","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.490","0.124","-121.800","12764.2","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.416","0.127","-67.800","12714.9","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.197","0.129","-129.900","12664.9","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","9.063","0.131","-48.300","12621.9","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","9.004","0.134","-111.900","12565.9","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.698","0.136","-77.700","12521.1","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.750","0.139","-60.300","12462.9","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.451","0.141","-114.000","12407.9","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.412","0.143","-34.200","12349.7","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.266","0.146","-109.800","12282.3","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.077","0.148","-57.900","12223.2","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","8.077","0.150","-69.900","12149.7","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.807","0.153","-93.900","12083.7","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.820","0.155","-42.000","12013.2","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.627","0.158","-102.000","11938.0","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.515","0.160","-51.600","11871.8","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.483","0.162","-66.600","11793.8","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.275","0.165","-84.300","11724.3","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.262","0.167","-41.100","11653.3","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.133","0.169","-88.500","11577.3","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.996","0.171","-60.000","11513.5","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.992","0.174","-52.200","11440.9","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.803","0.176","-96.900","11375.0","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.736","0.178","-32.100","11315.4","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.696","0.180","-69.600","11247.0","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.492","0.182","-76.800","11191.0","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.504","0.184","-23.100","11129.2","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.383","0.187","-92.400","11064.7","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.249","0.190","-39.900","11008.9","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.295","0.192","-55.200","10942.5","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.106","0.195","-105.300","10877.1","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","6.095","0.199","-33.900","10816.3","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","6.085","0.202","-90.600","10742.7","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.939","0.205","-100.500","10675.7","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.961","0.209","-46.800","10607.1","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.931","0.212","-115.200","10529.5","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.812","0.216","-92.400","10461.1","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.892","0.220","-65.700","10388.5","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.829","0.224","-141.600","10310.2","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.751","0.228","-79.800","10241.8","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.865","0.232","-90.300","10168.1","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.763","0.236","-145.800","10090.9","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.741","0.240","-76.200","10023.0","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.838","0.244","-111.300","9949.5","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.747","0.249","-144.600","9872.4","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.732","0.253","-85.500","9804.6","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.847","0.257","-118.200","9730.9","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.748","0.261","-150.300","9652.7","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.733","0.266","-86.400","9583.0","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.849","0.270","-123.900","9508.6","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.739","0.274","-148.500","9428.3","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.720","0.278","-95.700","9355.2","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.828","0.283","-121.800","9280.8","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.752","0.287","-156.300","9198.7","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.697","0.291","-106.500","9121.4","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.827","0.296","-111.000","9046.8","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.767","0.300","-157.800","8964.7","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.688","0.304","-112.500","8882.8","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.801","0.309","-110.400","8807.5","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.783","0.313","-154.500","8726.2","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.704","0.317","-124.500","8641.2","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.764","0.322","-111.300","8562.1","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.800","0.326","-141.900","8482.4","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.742","0.330","-133.800","8396.0","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.758","0.335","-120.900","8310.5","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.780","0.339","-129.900","8230.1","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.792","0.344","-129.600","8144.0","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.767","0.348","-139.200","8054.0","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.751","0.352","-132.000","7967.5","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.789","0.357","-116.700","7883.5","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.792","0.361","-141.300","7793.3","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.745","0.366","-144.900","7700.9","8.000","9.000","6.465","4.329","0.210"
"106","2","6.000","5.728","0.370","-117.600","7613.1","8.000","9.000","6.464","4.327","0.212"
"107","2","6.000","5.785","0.374","-129.900","7526.7","8.000","9.000","6.462","4.325","0.214"
"108","2","6.000","5.755","0.379","-144.900","7435.1","8.000","9.000","6.461","4.322","0.216"
"109","2","6.000","5.695","0.383","-142.500","7342.3","8.000","9.000","6.460","4.320","0.218"
"110","2","6.000","5.701","0.388","-115.500","7253.9","8.000","9.000","6.459","4.318","0.220"
"111","2","6.000","5.771","0.392","-130.500","7167.2","8.000","9.000","6.458","4.315","0.222"
"112","2","6.000","5.728","0.397","-153.300","7075.2","8.000","9.000","6.456","4.313","0.224"
"113","2","6.000","5.660","0.401","-140.100","6982.0","8.000","9.000","6.455","4.311","0.226"
"114","2","6.000","5.679","0.406","-115.500","6891.9","8.000","9.000","6.454","4.308","0.228"
"115","2","6.000","5.740","0.411","-130.800","6805.1","8.000","9.000","6.453","4.306","0.230"
"116","2","6.000","5.704","0.415","-158.700","6714.1","8.000","9.000","6.452","4.304","0.232"
"117","2","6.000","5.657","0.420","-132.600","6622.3","8.000","9.000","6.451","4.301","0.234"
"118","2","6.000","5.680","0.424","-122.400","6540.6","8.000","9.000","6.449","4.299","0.236"
