"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.697","0.000","-305.700","13999.5","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.198","0.000","-272.400","13991.6","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.517","0.010","-315.900","13999.3","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.933","0.018","-291.300","13993.9","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.280","0.023","-300.900","13999.0","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.685","0.028","-288.300","13996.2","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.030","0.032","-310.800","13998.2","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.206","0.037","-204.300","13997.8","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.462","0.041","-146.100","13996.0","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.833","0.044","-97.800","13999.6","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.926","0.048","-242.100","13995.9","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.070","0.052","-120.000","14002.0","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.343","0.055","-166.800","13995.4","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.422","0.058","-147.300","14002.9","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.595","0.061","-152.400","13995.1","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.638","0.064","-151.200","13995.3","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.774","0.067","-127.800","13953.8","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.772","0.070","-148.200","13906.4","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.858","0.074","-125.100","13844.7","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.781","0.078","-165.900","13786.3","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.844","0.082","-83.700","13720.6","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.804","0.086","-171.900","13654.0","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.813","0.089","-130.500","13587.1","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.782","0.093","-210.900","13511.1","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.678","0.096","-123.900","13441.0","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.708","0.099","-156.900","13354.5","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.508","0.102","-143.100","13280.6","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.494","0.105","-131.400","13195.3","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.277","0.108","-147.300","13124.2","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.229","0.111","-105.900","13049.1","6.000","7.000","11.833","6.233","0.058"
