"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.714","0.000","-325.500","13998.8","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.020","0.000","-257.700","13995.4","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.525","0.010","-302.700","13997.1","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.896","0.018","-319.800","13996.6","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.234","0.023","-275.100","13995.8","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.687","0.028","-300.000","13999.0","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.026","0.033","-322.800","13995.0","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.330","0.037","-201.600","14001.8","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.492","0.041","-149.700","13995.6","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.753","0.045","-119.400","14003.3","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.036","0.048","-233.100","13994.4","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.050","0.052","-159.600","14002.8","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.147","0.055","-137.100","13995.5","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.390","0.058","-194.400","14002.5","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.367","0.062","-142.500","13997.0","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.472","0.065","-150.000","13994.3","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.523","0.068","-129.300","13957.1","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.606","0.071","-159.300","13904.9","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.580","0.074","-111.600","13849.3","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.631","0.079","-149.400","13786.9","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.618","0.083","-108.300","13727.8","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.610","0.087","-149.100","13656.3","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.577","0.091","-147.000","13593.6","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.613","0.095","-187.800","13516.0","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.577","0.098","-165.900","13448.9","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.448","0.102","-115.800","13365.2","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.521","0.105","-176.700","13289.3","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.325","0.108","-116.400","13208.0","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.308","0.111","-159.900","13130.5","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.129","0.114","-108.300","13060.3","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.074","0.117","-137.400","12985.5","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.905","0.120","-114.000","12927.4","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.771","0.123","-115.200","12862.4","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.652","0.125","-117.000","12813.9","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.446","0.128","-81.000","12760.3","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.419","0.131","-134.700","12712.1","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.117","0.133","-65.100","12668.2","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","9.119","0.136","-111.900","12615.6","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.885","0.138","-90.900","12573.4","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.755","0.141","-81.300","12517.1","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.631","0.144","-97.200","12468.9","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.451","0.146","-71.100","12412.3","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.406","0.149","-108.900","12351.3","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.154","0.152","-51.000","12295.0","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.170","0.154","-100.800","12223.8","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.958","0.157","-79.200","12162.6","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.855","0.160","-68.700","12090.8","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.774","0.162","-96.600","12019.3","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.601","0.165","-60.900","11953.0","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.568","0.168","-93.300","11874.7","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.375","0.170","-63.600","11807.9","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.348","0.173","-82.500","11732.6","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.219","0.176","-81.900","11658.3","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.097","0.178","-58.500","11592.1","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","7.056","0.181","-90.900","11515.3","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.908","0.183","-63.600","11450.4","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.833","0.185","-73.500","11383.6","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.750","0.188","-75.900","11315.1","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.629","0.190","-58.200","11258.8","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.583","0.192","-71.700","11193.6","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.478","0.195","-70.500","11132.6","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.381","0.198","-45.000","11077.1","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.345","0.201","-90.900","11009.8","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.211","0.204","-57.600","10951.4","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.185","0.207","-81.900","10888.7","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","6.115","0.210","-94.200","10818.2","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","6.004","0.214","-59.400","10757.0","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","6.035","0.218","-105.900","10685.9","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.927","0.221","-87.300","10611.9","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.919","0.225","-73.200","10545.6","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.935","0.229","-123.900","10469.6","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.838","0.233","-93.900","10394.8","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.843","0.237","-90.600","10326.6","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.859","0.242","-138.900","10248.9","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.774","0.246","-92.100","10174.8","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.824","0.250","-107.100","10106.3","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.830","0.255","-143.100","10029.0","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.758","0.259","-88.800","9955.8","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.842","0.263","-123.300","9888.0","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.823","0.268","-143.100","9810.9","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.780","0.272","-97.500","9737.1","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.851","0.277","-128.700","9668.1","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.848","0.281","-146.700","9590.5","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.791","0.285","-98.700","9513.9","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.860","0.290","-134.400","9443.3","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.865","0.294","-150.600","9364.4","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.799","0.299","-106.800","9284.9","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.853","0.303","-137.100","9212.5","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.854","0.307","-153.300","9133.6","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.784","0.312","-117.000","9051.3","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.799","0.316","-123.000","8975.8","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.841","0.321","-155.400","8898.6","8.000","9.000","6.481","4.362","0.182"
