"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.615","0.000","-280.800","13994.2","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.009","0.000","-323.700","13999.8","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.291","0.010","-283.200","13995.9","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.760","0.018","-283.200","13997.0","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.094","0.023","-316.500","13997.3","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.469","0.028","-298.200","13994.9","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.762","0.033","-300.900","13998.9","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","8.992","0.037","-261.000","13994.2","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.019","0.041","-140.700","14001.3","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.204","0.045","-174.300","13993.9","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.433","0.049","-145.200","14002.8","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.542","0.052","-200.100","13994.8","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","9.604","0.056","-143.700","14003.2","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","9.825","0.060","-143.700","13995.6","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","9.902","0.063","-165.600","14002.1","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","9.996","0.067","-135.600","13988.7","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.098","0.070","-160.500","13958.7","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.123","0.073","-118.500","13903.6","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.240","0.077","-156.000","13845.0","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.227","0.082","-117.000","13784.1","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.284","0.087","-153.600","13716.8","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.274","0.092","-96.600","13654.7","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.429","0.096","-192.300","13580.2","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.385","0.100","-179.100","13514.6","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.407","0.104","-165.600","13431.2","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.407","0.108","-138.900","13357.3","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.420","0.112","-173.100","13272.6","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.311","0.115","-154.500","13197.2","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.267","0.118","-124.500","13121.9","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.223","0.121","-171.000","13048.1","6.000","7.000","11.833","6.233","0.058"
