"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.495","0.000","-314.400","13991.6","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.834","0.000","-289.800","13999.1","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.308","0.010","-261.300","13993.2","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.721","0.018","-330.900","13999.4","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.076","0.023","-253.800","13995.8","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.606","0.028","-323.100","13999.4","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.901","0.033","-302.400","13998.3","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.223","0.037","-208.500","13997.1","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.423","0.041","-139.200","13999.7","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.722","0.045","-157.200","13995.2","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.953","0.048","-179.100","14001.5","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.018","0.052","-194.700","13995.6","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.185","0.055","-122.100","14003.4","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.369","0.058","-184.500","13995.7","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.441","0.061","-136.800","14003.4","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.557","0.064","-157.200","13987.0","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.607","0.067","-135.600","13960.0","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.661","0.070","-128.100","13900.5","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.726","0.073","-153.900","13845.4","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.669","0.077","-118.500","13781.1","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.699","0.081","-138.900","13716.8","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.653","0.085","-113.400","13650.8","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.672","0.089","-186.600","13578.7","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.612","0.092","-148.800","13512.9","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.586","0.096","-182.100","13431.2","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.457","0.099","-120.900","13358.5","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.420","0.102","-155.700","13272.2","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.255","0.105","-132.600","13200.3","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.158","0.108","-125.100","13121.5","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.035","0.110","-147.000","13051.8","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.835","0.113","-86.700","12986.1","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.788","0.116","-149.400","12921.4","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.528","0.118","-83.400","12871.9","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.468","0.121","-123.300","12813.6","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.238","0.124","-86.400","12771.2","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.158","0.127","-103.800","12718.6","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.951","0.129","-109.500","12673.3","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.801","0.132","-56.100","12625.8","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.742","0.135","-138.900","12571.9","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.447","0.138","-54.300","12526.3","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.466","0.140","-109.800","12465.4","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.194","0.143","-87.000","12413.3","7.000","7.000","10.500","5.700","0.082"
