"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.446","0.000","-300.600","13995.5","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.802","0.000","-300.300","13996.0","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.250","0.010","-267.600","13996.4","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.626","0.018","-318.600","13993.7","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","7.975","0.023","-282.600","13998.8","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.351","0.028","-324.300","13993.6","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.574","0.033","-304.200","14000.5","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","8.668","0.037","-256.500","13993.0","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","8.858","0.041","-120.300","14000.3","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.285","0.045","-114.600","13993.3","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.243","0.049","-235.500","14002.0","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.360","0.053","-155.700","13995.1","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","9.495","0.056","-155.100","14000.9","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","9.638","0.060","-154.800","13995.9","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","9.681","0.063","-173.100","14000.3","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","9.858","0.067","-114.600","13990.2","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","9.939","0.070","-149.700","13955.9","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.070","0.073","-112.500","13903.5","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.156","0.077","-138.900","13840.3","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.147","0.082","-143.400","13783.2","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.285","0.087","-98.700","13712.4","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.303","0.092","-150.300","13651.3","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.451","0.096","-153.000","13573.7","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.382","0.100","-214.800","13507.5","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.478","0.104","-134.400","13425.4","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.478","0.108","-167.100","13349.2","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.478","0.111","-145.200","13266.9","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.397","0.114","-161.700","13188.0","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.368","0.117","-128.100","13116.1","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.294","0.120","-144.000","13039.8","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.133","0.123","-136.500","12980.0","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","10.158","0.126","-107.700","12913.1","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.865","0.128","-152.400","12863.9","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.871","0.130","-79.200","12808.7","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.654","0.133","-130.800","12760.2","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.547","0.135","-92.700","12714.4","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.383","0.137","-101.100","12662.0","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","9.215","0.140","-92.100","12620.0","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","9.132","0.142","-88.500","12563.5","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.857","0.144","-102.900","12516.2","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.848","0.146","-58.200","12459.4","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.583","0.149","-105.300","12400.0","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.501","0.151","-65.100","12344.0","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.344","0.153","-80.100","12273.7","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.181","0.155","-77.400","12213.6","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","8.097","0.158","-68.100","12141.2","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.890","0.160","-84.600","12071.4","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.840","0.163","-60.000","12003.9","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.669","0.165","-80.700","11926.3","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.555","0.167","-68.400","11860.1","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.461","0.170","-60.600","11783.9","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.325","0.172","-78.600","11711.1","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.230","0.174","-66.600","11643.6","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.119","0.177","-61.800","11566.5","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.992","0.179","-78.300","11502.6","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.920","0.181","-54.600","11433.1","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.804","0.183","-69.900","11365.4","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.697","0.185","-66.900","11307.7","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.634","0.188","-53.400","11240.9","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.491","0.190","-75.600","11182.0","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.435","0.193","-48.300","11123.8","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.327","0.195","-69.300","11057.2","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.220","0.198","-64.200","11000.4","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.189","0.201","-57.300","10935.9","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.060","0.204","-91.800","10867.3","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","6.032","0.208","-61.500","10806.5","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.989","0.211","-83.400","10734.3","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.912","0.215","-96.600","10663.2","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.893","0.219","-76.800","10596.8","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.869","0.223","-96.300","10519.7","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.797","0.227","-106.500","10447.5","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.806","0.231","-86.700","10378.0","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.772","0.235","-116.700","10299.0","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.716","0.239","-109.200","10228.3","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.756","0.243","-98.400","10157.6","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.714","0.248","-126.900","10079.2","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.701","0.252","-108.600","10009.5","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.720","0.256","-113.100","9939.0","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.707","0.261","-129.600","9861.0","8.000","9.000","6.496","4.393","0.156"
