"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.919","0.000","-324.300","13993.8","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.276","0.000","-284.100","14001.1","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.683","0.010","-260.100","13992.4","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","8.195","0.018","-333.900","14000.7","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.505","0.023","-271.200","13993.6","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.997","0.028","-318.000","14000.8","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.343","0.033","-276.600","13995.4","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.734","0.037","-242.100","14000.1","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.847","0.041","-110.700","13997.4","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","10.218","0.044","-169.800","13999.0","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.415","0.048","-177.300","13999.0","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.543","0.051","-187.800","13998.0","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.670","0.055","-135.900","14000.9","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.842","0.058","-178.500","13995.9","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.904","0.060","-138.900","14002.4","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","11.009","0.063","-167.100","13987.9","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","11.021","0.066","-145.200","13961.4","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.992","0.069","-128.100","13900.8","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","11.060","0.072","-154.500","13850.5","6.000","6.000","12.188","6.500","0.036"
