"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.433","0.000","-333.900","13992.3","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.695","0.000","-291.600","14000.4","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.248","0.010","-251.100","13992.6","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.580","0.018","-340.200","14000.7","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","7.973","0.023","-268.200","13992.8","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.408","0.028","-322.500","14000.0","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.720","0.033","-283.500","13995.1","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.024","0.037","-227.400","14000.0","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.183","0.041","-130.500","13997.4","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.519","0.045","-152.100","13998.3","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.676","0.049","-171.900","13999.1","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.806","0.052","-191.700","13996.2","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","9.980","0.056","-127.800","14000.5","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.190","0.059","-177.600","13995.9","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.253","0.062","-132.600","14002.9","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.438","0.065","-162.900","13987.8","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.402","0.068","-143.100","13960.9","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.565","0.071","-109.200","13900.3","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.588","0.075","-175.200","13848.7","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.555","0.079","-116.700","13781.8","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.563","0.083","-139.200","13722.9","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.576","0.087","-112.200","13653.5","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.598","0.091","-200.400","13585.9","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.510","0.094","-151.800","13514.5","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.531","0.098","-174.600","13435.8","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.400","0.101","-132.300","13361.8","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.401","0.104","-158.700","13275.2","6.000","7.000","12.167","6.367","0.052"
