"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.471","0.000","-300.900","14000.2","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.930","0.000","-273.900","13992.2","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.244","0.010","-320.700","14000.3","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.681","0.018","-251.400","13992.8","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.183","0.023","-307.200","13999.1","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.501","0.028","-303.900","13995.6","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.945","0.033","-285.300","14000.0","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.147","0.037","-217.500","13997.7","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.430","0.041","-129.000","13997.1","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.780","0.045","-122.400","13998.6","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.936","0.048","-218.100","13995.7","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.999","0.052","-154.500","14001.3","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.325","0.055","-129.300","13995.9","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.372","0.058","-194.400","14002.7","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.530","0.061","-124.500","13995.6","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.601","0.064","-166.200","13995.5","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.678","0.067","-127.200","13953.3","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.724","0.069","-150.600","13906.0","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.757","0.073","-123.000","13842.6","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.725","0.077","-159.300","13785.2","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.689","0.081","-105.900","13718.5","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.689","0.084","-150.600","13652.3","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.608","0.088","-155.400","13583.4","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.620","0.091","-182.100","13507.7","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.435","0.095","-154.800","13436.3","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.469","0.098","-124.500","13350.3","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.274","0.101","-165.600","13276.9","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.202","0.104","-114.900","13191.6","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.044","0.107","-149.400","13121.7","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.915","0.110","-112.200","13046.2","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.766","0.113","-130.200","12979.2","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.605","0.115","-105.000","12919.2","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.490","0.118","-128.400","12858.1","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.266","0.121","-95.400","12812.1","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.232","0.124","-100.500","12755.6","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.953","0.127","-120.000","12714.0","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.902","0.129","-78.000","12663.1","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.696","0.132","-114.900","12615.5","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.567","0.135","-78.000","12569.2","7.000","7.000","10.833","5.833","0.076"
