"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.793","0.000","-333.900","13999.0","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.146","0.000","-283.500","13995.1","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.609","0.010","-270.900","13998.2","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","8.023","0.018","-300.600","13996.6","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.385","0.023","-318.300","13996.0","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.838","0.028","-263.100","13998.5","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.178","0.032","-328.200","13995.0","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.365","0.037","-199.200","14000.7","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.682","0.041","-132.300","13995.1","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.932","0.045","-139.800","14002.6","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.076","0.048","-196.200","13994.7","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.130","0.052","-176.700","14002.8","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.412","0.055","-134.700","13994.7","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.413","0.058","-190.800","14002.4","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.567","0.061","-135.900","13996.3","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.556","0.064","-171.300","13994.5","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.634","0.067","-127.500","13956.3","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.642","0.070","-156.300","13905.7","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.654","0.074","-127.500","13849.9","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.577","0.078","-167.100","13788.4","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.557","0.082","-101.700","13728.3","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.549","0.086","-156.000","13657.9","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.480","0.090","-158.700","13596.5","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.459","0.094","-196.800","13518.7","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.308","0.098","-153.300","13451.7","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.349","0.102","-136.500","13367.2","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.128","0.105","-178.500","13291.8","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.108","0.109","-115.800","13209.2","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.939","0.112","-163.800","13132.3","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.845","0.115","-113.400","13061.1","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.712","0.118","-144.900","12986.5","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.591","0.122","-108.300","12926.6","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.506","0.125","-132.600","12859.9","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.282","0.128","-114.300","12811.1","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.293","0.131","-93.900","12756.9","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.007","0.134","-148.800","12709.5","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.997","0.138","-72.000","12663.6","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.808","0.141","-133.800","12611.7","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.668","0.144","-93.900","12569.6","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.581","0.147","-104.700","12513.2","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.378","0.150","-108.300","12465.6","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.365","0.153","-79.500","12408.6","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.117","0.156","-125.400","12348.5","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.113","0.160","-62.700","12292.6","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.943","0.163","-117.900","12221.3","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.828","0.166","-87.000","12161.0","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.778","0.169","-83.700","12088.5","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.585","0.172","-116.100","12018.0","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.567","0.175","-66.000","11950.8","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.404","0.178","-114.600","11872.6","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.319","0.181","-80.400","11806.4","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.253","0.184","-81.000","11730.5","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.111","0.187","-108.000","11656.7","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.052","0.190","-64.800","11589.8","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.965","0.193","-93.000","11512.9","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.839","0.195","-93.000","11448.7","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.815","0.198","-60.000","11381.0","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.689","0.201","-103.500","11312.8","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.613","0.203","-64.800","11255.7","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.580","0.206","-70.800","11189.8","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.429","0.209","-97.200","11129.4","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.408","0.212","-46.800","11072.4","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.325","0.215","-91.500","11005.3","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.234","0.219","-84.600","10947.3","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.235","0.222","-67.800","10883.3","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","6.117","0.226","-111.300","10813.5","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","6.103","0.229","-74.100","10752.0","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","6.081","0.233","-89.400","10680.1","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.994","0.237","-120.600","10607.3","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","6.009","0.241","-75.300","10540.9","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","6.010","0.245","-109.200","10464.1","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.928","0.249","-126.600","10390.1","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.961","0.253","-82.800","10321.8","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.939","0.258","-130.500","10243.7","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.873","0.262","-121.800","10170.5","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.912","0.266","-95.700","10101.6","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.880","0.270","-136.200","10023.9","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.841","0.275","-120.600","9951.6","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.878","0.279","-104.700","9883.3","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.882","0.284","-137.100","9805.9","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.827","0.288","-130.200","9732.5","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.893","0.293","-104.100","9663.3","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.896","0.297","-140.100","9585.2","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.840","0.302","-135.300","9509.3","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.893","0.306","-110.400","9438.7","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.894","0.311","-136.800","9359.6","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.843","0.315","-145.500","9280.2","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.865","0.320","-120.000","9207.9","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.901","0.324","-131.400","9128.8","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.828","0.329","-150.300","9046.6","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.873","0.333","-114.300","8971.5","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.903","0.338","-132.000","8893.3","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.851","0.342","-145.200","8808.9","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.867","0.347","-128.700","8729.0","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.893","0.351","-128.100","8652.3","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.879","0.356","-140.100","8567.8","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.864","0.360","-137.100","8482.7","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.872","0.365","-138.000","8404.3","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.879","0.369","-130.200","8321.1","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.874","0.374","-135.300","8232.6","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.846","0.378","-149.100","8147.5","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.857","0.383","-122.700","8065.6","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.862","0.387","-134.400","7977.0","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.841","0.392","-147.600","7885.8","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.812","0.397","-138.000","7799.4","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.830","0.401","-128.100","7713.6","8.000","9.000","6.465","4.329","0.210"
