"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.355","0.000","-284.700","13992.7","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.783","0.000","-279.300","13999.5","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.222","0.010","-268.200","13994.5","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.702","0.018","-327.300","13999.5","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","7.987","0.023","-284.700","13996.5","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.441","0.028","-308.400","13997.9","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.781","0.032","-287.400","13998.2","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.108","0.037","-232.800","13995.7","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.250","0.041","-117.000","14000.1","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.590","0.044","-141.000","13994.9","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.845","0.048","-205.200","14002.3","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.895","0.051","-154.500","13995.9","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.121","0.055","-152.700","14003.8","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.251","0.058","-154.800","13995.6","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.399","0.061","-156.000","14003.1","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.443","0.064","-143.100","13987.2","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.555","0.067","-140.100","13959.0","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.581","0.069","-135.300","13901.0","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.661","0.073","-149.400","13844.3","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.585","0.077","-128.700","13780.9","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.605","0.081","-129.000","13715.3","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.566","0.085","-137.400","13651.7","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.535","0.088","-164.700","13578.1","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.494","0.092","-175.800","13511.9","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.404","0.095","-156.600","13429.2","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.321","0.099","-135.300","13356.1","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.220","0.102","-146.100","13270.2","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.118","0.105","-141.300","13197.2","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.951","0.108","-123.600","13120.2","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.869","0.110","-145.500","13049.9","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.629","0.113","-105.300","12986.0","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.567","0.116","-126.600","12920.1","7.000","7.000","11.611","6.144","0.062"
