"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.771","0.000","-319.800","13996.6","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.095","0.000","-278.100","13997.0","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.533","0.010","-301.500","13994.8","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.899","0.018","-282.600","13997.9","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.362","0.023","-314.400","13993.6","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.675","0.028","-296.400","13999.7","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.101","0.033","-291.300","13993.7","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.306","0.037","-235.200","14001.7","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.492","0.041","-115.200","13994.0","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.784","0.045","-160.800","14001.9","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.975","0.048","-191.100","13994.6","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.039","0.052","-186.900","14002.1","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.180","0.055","-130.800","13996.6","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.350","0.059","-189.000","14001.7","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.381","0.062","-128.100","13998.4","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.533","0.065","-163.200","13992.3","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.541","0.068","-128.700","13958.1","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.659","0.071","-140.100","13902.7","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.650","0.075","-132.600","13849.1","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.690","0.079","-144.000","13783.7","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.637","0.083","-119.700","13726.6","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.688","0.087","-126.900","13654.1","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.664","0.091","-184.200","13592.4","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.652","0.095","-162.000","13514.5","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.576","0.099","-181.500","13445.5","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.514","0.102","-112.800","13362.7","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.514","0.105","-186.600","13284.2","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.298","0.109","-112.500","13205.2","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.320","0.112","-153.300","13125.9","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.083","0.115","-127.500","13058.1","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.054","0.117","-112.500","12983.3","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.859","0.120","-133.800","12926.4","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.765","0.123","-97.200","12862.4","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.593","0.126","-134.700","12811.9","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.440","0.128","-71.400","12760.9","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.395","0.131","-139.500","12709.7","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.088","0.134","-77.400","12667.9","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","9.116","0.137","-92.700","12613.3","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.838","0.139","-111.900","12571.1","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.776","0.142","-69.600","12516.4","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.600","0.145","-113.100","12465.1","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.466","0.148","-63.600","12411.0","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.406","0.150","-108.600","12347.9","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.151","0.153","-70.800","12292.5","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.177","0.156","-77.700","12221.8","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.935","0.159","-103.200","12158.7","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.883","0.161","-59.400","12089.2","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.778","0.164","-104.100","12015.4","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.609","0.167","-70.500","11950.3","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.580","0.169","-75.300","11872.4","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.398","0.172","-87.000","11803.9","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.356","0.175","-68.100","11731.2","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.241","0.177","-86.700","11655.2","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.120","0.180","-69.900","11589.7","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","7.072","0.182","-76.200","11514.5","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.940","0.185","-83.100","11447.1","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.856","0.187","-57.300","11383.3","7.000","8.000","8.780","5.084","0.112"
