"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.702","0.000","-287.700","13991.8","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.073","0.000","-288.600","14000.6","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.522","0.010","-280.800","13992.8","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.884","0.018","-320.100","13999.4","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.247","0.023","-283.200","13994.3","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.647","0.028","-306.900","13999.4","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.004","0.033","-282.600","13997.1","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.240","0.037","-232.800","13998.9","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.437","0.041","-114.600","13998.6","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.846","0.045","-133.500","13996.7","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.933","0.048","-201.600","14000.2","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.074","0.052","-165.000","13995.3","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.253","0.055","-138.600","14002.1","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.441","0.058","-174.600","13995.9","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.475","0.062","-155.400","14003.9","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.595","0.065","-146.700","13987.1","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.625","0.068","-148.200","13960.3","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.691","0.070","-133.800","13899.5","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.672","0.074","-155.400","13846.0","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.623","0.078","-136.800","13780.4","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.620","0.083","-123.900","13718.8","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.552","0.086","-138.300","13651.4","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.548","0.090","-176.100","13580.4","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.452","0.094","-177.000","13511.6","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.393","0.098","-165.600","13431.6","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.275","0.101","-135.600","13358.7","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.223","0.105","-164.100","13271.6","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.041","0.108","-132.000","13200.3","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.980","0.111","-142.500","13119.6","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.790","0.115","-138.300","13051.8","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.677","0.118","-114.900","12984.3","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.557","0.121","-137.100","12921.6","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.361","0.124","-115.200","12870.8","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.268","0.127","-122.100","12812.7","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.084","0.130","-98.400","12769.4","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.000","0.134","-126.000","12715.9","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.767","0.137","-101.100","12672.0","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.720","0.140","-96.600","12623.0","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.530","0.143","-126.600","12570.9","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.394","0.147","-81.600","12524.7","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.315","0.150","-117.300","12463.9","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.128","0.153","-87.600","12413.1","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.069","0.156","-110.100","12349.4","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.877","0.160","-97.500","12286.5","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.847","0.163","-85.800","12224.1","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.670","0.166","-121.800","12150.4","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.587","0.170","-69.600","12087.7","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.519","0.173","-116.700","12012.5","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.360","0.176","-86.400","11942.5","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.345","0.179","-87.900","11873.0","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.179","0.183","-111.600","11795.4","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.145","0.186","-70.800","11729.4","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.044","0.189","-112.500","11654.0","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.924","0.192","-90.000","11583.1","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.889","0.195","-83.100","11518.0","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.763","0.198","-99.900","11444.1","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.696","0.201","-80.700","11384.2","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.625","0.204","-85.500","11318.9","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.516","0.206","-97.800","11254.0","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.451","0.209","-64.500","11198.6","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.385","0.212","-99.000","11133.3","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.274","0.216","-73.200","11073.1","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.264","0.219","-69.300","11014.9","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.159","0.223","-102.900","10945.6","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.098","0.226","-78.300","10885.6","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","6.085","0.230","-93.000","10818.8","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.987","0.234","-110.400","10746.4","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.995","0.238","-78.600","10682.5","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.964","0.242","-115.800","10609.1","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.906","0.246","-106.800","10534.1","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.924","0.250","-91.800","10466.9","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.896","0.255","-127.800","10390.2","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.857","0.259","-115.500","10315.3","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.889","0.263","-105.600","10247.2","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.854","0.268","-139.500","10170.0","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.847","0.272","-110.400","10096.1","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.882","0.277","-121.200","10028.1","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.830","0.281","-139.200","9951.2","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.846","0.286","-114.300","9877.6","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.848","0.290","-129.900","9809.6","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.830","0.295","-135.600","9732.5","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.828","0.300","-121.800","9657.5","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.843","0.304","-129.000","9588.1","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.828","0.309","-138.000","9510.0","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.827","0.313","-127.200","9432.1","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.847","0.318","-138.600","9360.9","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.824","0.323","-138.600","9281.9","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.824","0.327","-138.300","9200.8","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.813","0.332","-138.300","9127.3","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.813","0.336","-138.900","9049.0","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.795","0.341","-139.800","8965.5","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.790","0.346","-135.900","8888.1","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.789","0.350","-139.200","8811.4","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.779","0.355","-139.200","8727.2","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.775","0.360","-139.800","8644.6","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.767","0.365","-137.100","8567.5","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.768","0.369","-142.200","8483.9","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.763","0.374","-141.000","8397.1","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.753","0.379","-143.100","8315.2","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.751","0.384","-141.900","8233.7","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.750","0.389","-142.500","8145.4","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.747","0.394","-140.400","8056.7","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.756","0.398","-147.300","7973.4","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.748","0.403","-140.400","7886.5","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.773","0.408","-140.700","7794.6","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.766","0.413","-149.100","7704.5","8.000","9.000","6.465","4.329","0.210"
"106","2","6.000","5.756","0.418","-146.700","7618.3","8.000","9.000","6.464","4.327","0.212"
"107","2","6.000","5.756","0.423","-141.600","7528.5","8.000","9.000","6.462","4.325","0.214"
"108","2","6.000","5.779","0.428","-141.000","7435.4","8.000","9.000","6.461","4.322","0.216"
"109","2","6.000","5.762","0.433","-155.700","7344.7","8.000","9.000","6.460","4.320","0.218"
"110","2","6.000","5.762","0.437","-141.900","7258.1","8.000","9.000","6.459","4.318","0.220"
"111","2","6.000","5.771","0.442","-145.500","7168.0","8.000","9.000","6.458","4.315","0.222"
"112","2","6.000","5.783","0.447","-144.000","7074.7","8.000","9.000","6.456","4.313","0.224"
"113","2","6.000","5.774","0.452","-149.100","6982.5","8.000","9.000","6.455","4.311","0.226"
"114","2","6.000","5.761","0.457","-149.700","6894.7","8.000","9.000","6.454","4.308","0.228"
"115","2","6.000","5.764","0.462","-145.200","6805.5","8.000","9.000","6.453","4.306","0.230"
"116","2","6.000","5.767","0.467","-144.900","6712.6","8.000","9.000","6.452","4.304","0.232"
"117","2","6.000","5.775","0.472","-151.200","6619.0","8.000","9.000","6.451","4.301","0.234"
