"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.798","0.000","-312.000","13997.6","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.152","0.000","-237.000","13996.7","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.691","0.010","-325.200","13996.7","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.995","0.018","-290.100","13998.1","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.416","0.023","-280.500","13993.8","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.824","0.028","-324.900","13999.7","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.186","0.032","-264.000","13994.8","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.574","0.037","-259.800","14002.4","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.634","0.041","-99.300","13994.9","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","10.029","0.044","-140.700","14003.0","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.248","0.048","-208.500","13995.2","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.341","0.051","-160.800","14002.8","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.455","0.055","-135.900","13995.9","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.703","0.058","-174.600","14001.6","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.742","0.061","-145.500","13997.2","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.858","0.064","-152.700","13993.0","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.875","0.066","-133.500","13957.7","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.949","0.069","-144.900","13904.0","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.928","0.073","-142.800","13850.9","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.900","0.077","-138.300","13787.1","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.851","0.081","-123.300","13729.0","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.798","0.084","-140.100","13657.0","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.745","0.088","-168.000","13596.2","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.655","0.091","-166.200","13519.4","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.612","0.095","-166.500","13451.6","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.424","0.098","-129.300","13368.4","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.399","0.101","-153.000","13291.1","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.184","0.104","-125.400","13210.6","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.122","0.107","-148.500","13131.4","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.903","0.110","-117.600","13062.4","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.772","0.113","-118.800","12985.7","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.632","0.116","-129.300","12926.2","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.425","0.119","-105.300","12860.1","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.319","0.122","-115.500","12810.0","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.094","0.125","-92.700","12757.6","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.038","0.128","-124.800","12707.8","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.759","0.132","-83.400","12664.4","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.717","0.135","-104.400","12611.2","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.530","0.138","-110.400","12569.0","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.360","0.141","-84.900","12513.7","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.282","0.144","-103.800","12464.5","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.091","0.148","-89.100","12409.4","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.044","0.151","-109.800","12347.7","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.823","0.154","-79.500","12292.5","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.806","0.158","-103.200","12221.5","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.647","0.161","-101.100","12159.6","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.521","0.164","-83.400","12089.4","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.471","0.168","-103.500","12016.7","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.308","0.171","-89.400","11951.1","7.000","7.000","9.722","5.389","0.096"
