"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.637","0.000","-282.000","13992.4","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.100","0.000","-284.100","14000.4","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.475","0.010","-315.300","13991.9","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.878","0.018","-274.800","13999.6","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.299","0.023","-314.100","13992.3","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.671","0.028","-305.100","14000.1","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.992","0.032","-279.600","13994.7","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.356","0.037","-232.800","14000.5","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.467","0.041","-121.200","13997.4","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.867","0.044","-125.400","13999.0","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.105","0.048","-212.700","13998.7","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.189","0.051","-166.200","13997.5","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.344","0.055","-126.000","14000.9","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.568","0.058","-188.700","13996.0","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.594","0.061","-141.600","14002.8","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.695","0.064","-153.900","13987.9","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.764","0.067","-131.400","13961.5","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.829","0.069","-144.900","13900.7","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.840","0.073","-132.900","13850.3","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.824","0.077","-134.700","13784.1","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.821","0.081","-125.700","13724.9","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.771","0.085","-130.200","13655.3","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.782","0.088","-168.300","13589.2","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.711","0.092","-165.600","13519.4","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.655","0.095","-171.600","13443.7","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.525","0.098","-116.700","13369.3","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.508","0.101","-162.600","13283.3","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.311","0.104","-125.400","13210.6","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.224","0.107","-138.900","13127.0","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.033","0.109","-127.200","13059.6","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.889","0.112","-102.300","12985.8","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.779","0.115","-144.000","12922.4","7.000","7.000","11.611","6.144","0.062"
