"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.505","0.000","-271.500","13998.5","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.957","0.000","-274.800","13995.2","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.361","0.010","-323.700","13998.2","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.723","0.018","-250.500","13997.2","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.266","0.023","-328.800","13996.5","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.558","0.028","-285.300","13999.0","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.048","0.032","-298.800","13994.7","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.237","0.037","-236.400","14000.2","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.461","0.041","-109.500","13994.7","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.799","0.044","-149.100","14002.5","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.998","0.048","-198.600","13995.1","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.108","0.051","-156.300","14002.7","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.310","0.055","-136.500","13994.3","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.544","0.058","-168.900","14001.9","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.604","0.061","-149.100","13995.8","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.727","0.064","-152.400","13994.2","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.772","0.066","-126.600","13956.4","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.883","0.069","-148.800","13905.4","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.866","0.072","-132.300","13849.9","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.886","0.076","-145.500","13788.2","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.836","0.080","-104.100","13728.1","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.867","0.084","-153.300","13657.6","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.792","0.087","-147.000","13596.3","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.799","0.090","-179.100","13519.0","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.679","0.093","-145.500","13451.3","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.600","0.096","-129.300","13366.6","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.533","0.099","-148.500","13291.4","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.374","0.102","-117.000","13208.8","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.300","0.105","-142.500","13131.8","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.104","0.107","-99.300","13060.6","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.034","0.110","-127.800","12985.8","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.824","0.112","-93.300","12926.0","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.755","0.115","-115.500","12859.0","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.525","0.117","-90.000","12810.7","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.425","0.120","-82.800","12756.5","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.298","0.122","-117.600","12709.2","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.080","0.124","-61.500","12663.9","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","9.036","0.127","-108.000","12612.1","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.792","0.129","-66.600","12570.1","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.756","0.132","-96.900","12513.9","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.509","0.134","-74.100","12466.5","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.466","0.137","-68.100","12409.6","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.303","0.140","-110.700","12349.6","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.127","0.142","-38.400","12293.4","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.123","0.145","-106.200","12222.6","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.875","0.147","-61.200","12161.6","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.866","0.150","-73.800","12090.0","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.683","0.152","-87.600","12018.8","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.612","0.155","-46.500","11951.9","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.540","0.157","-103.200","11873.5","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.360","0.160","-46.500","11807.3","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.365","0.162","-79.200","11731.2","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.184","0.165","-87.300","11657.3","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.116","0.167","-43.500","11590.9","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","7.047","0.169","-93.000","11513.6","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.887","0.171","-63.300","11449.6","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.854","0.173","-54.600","11381.9","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.741","0.176","-90.300","11313.7","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.620","0.178","-38.400","11257.0","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.589","0.180","-71.400","11191.2","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.449","0.182","-70.500","11131.0","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.368","0.185","-29.400","11074.5","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.344","0.188","-84.600","11007.0","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.183","0.191","-62.100","10949.7","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.193","0.194","-59.400","10885.9","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","6.099","0.197","-99.300","10816.0","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","6.012","0.200","-52.800","10754.7","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","6.031","0.204","-90.900","10683.3","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.925","0.207","-99.000","10610.2","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.898","0.211","-57.600","10544.0","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.928","0.215","-116.100","10467.5","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.821","0.218","-105.300","10393.4","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.824","0.222","-64.500","10325.1","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.869","0.226","-135.900","10247.1","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.748","0.230","-101.700","10173.8","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.807","0.235","-78.300","10105.2","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.824","0.239","-148.800","10027.7","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.721","0.243","-102.000","9955.5","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.784","0.247","-93.300","9887.4","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.795","0.251","-150.600","9809.7","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.706","0.256","-110.100","9736.5","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.753","0.260","-97.200","9667.7","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.787","0.264","-154.800","9589.7","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.688","0.269","-111.600","9514.0","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.756","0.273","-98.400","9443.7","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.792","0.277","-156.600","9364.2","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.689","0.282","-119.700","9285.6","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.728","0.286","-105.000","9213.5","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.802","0.290","-152.400","9134.0","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.693","0.295","-137.100","9051.7","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.706","0.299","-96.600","8977.0","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.798","0.304","-148.200","8898.6","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.690","0.308","-144.300","8814.6","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.690","0.313","-106.500","8735.4","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.763","0.317","-135.900","8658.9","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.713","0.321","-148.800","8574.3","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.660","0.326","-117.600","8489.9","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.723","0.330","-133.200","8411.4","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.714","0.335","-139.500","8328.3","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.667","0.339","-131.400","8240.0","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.671","0.344","-137.400","8155.6","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.686","0.349","-124.200","8073.8","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.690","0.353","-141.300","7985.5","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.663","0.358","-144.000","7894.8","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.660","0.362","-124.800","7808.6","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.698","0.367","-130.200","7723.3","8.000","9.000","6.465","4.329","0.210"
"106","2","6.000","5.700","0.372","-152.700","7631.4","8.000","9.000","6.464","4.327","0.212"
"107","2","6.000","5.652","0.376","-144.600","7538.9","8.000","9.000","6.462","4.325","0.214"
