"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.861","0.000","-294.600","13999.2","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.256","0.000","-276.300","13994.4","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.705","0.010","-294.300","13999.3","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","8.125","0.018","-285.000","13996.4","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.521","0.023","-326.400","13998.1","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.882","0.028","-269.100","13998.4","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.344","0.032","-318.900","13995.5","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.525","0.037","-221.100","13999.6","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.744","0.041","-129.600","13994.7","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","10.045","0.044","-133.800","14001.9","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.288","0.048","-218.100","13995.9","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.266","0.051","-161.100","14003.6","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.506","0.055","-141.300","13995.3","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.629","0.058","-179.400","14002.8","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.693","0.061","-146.100","13995.8","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.754","0.064","-166.800","13994.7","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.779","0.066","-121.800","13955.4","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.820","0.069","-164.400","13905.0","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.776","0.073","-124.500","13847.0","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.769","0.077","-159.000","13786.7","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.645","0.081","-109.500","13724.8","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.655","0.085","-155.100","13655.2","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.521","0.089","-159.000","13591.5","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.525","0.093","-183.900","13515.3","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.353","0.096","-163.800","13448.3","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.308","0.100","-130.500","13363.3","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.187","0.103","-167.100","13289.1","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.029","0.107","-117.600","13206.2","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.947","0.110","-160.800","13131.2","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.736","0.113","-113.100","13058.1","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.686","0.117","-144.000","12985.9","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.442","0.120","-113.400","12926.9","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.400","0.123","-130.800","12861.8","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.128","0.127","-117.900","12814.9","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.071","0.130","-99.600","12759.5","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.888","0.133","-141.300","12713.6","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.685","0.137","-82.500","12666.8","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.655","0.140","-129.300","12615.9","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.388","0.143","-98.100","12573.2","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.371","0.147","-111.900","12516.1","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.116","0.150","-106.200","12469.6","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.091","0.154","-95.400","12410.8","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","7.913","0.157","-129.600","12351.7","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.754","0.161","-77.100","12293.4","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.735","0.165","-125.400","12222.8","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.491","0.168","-97.200","12162.2","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.484","0.172","-100.200","12088.5","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.296","0.175","-114.000","12019.4","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.232","0.179","-86.100","11950.6","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.143","0.183","-123.900","11872.7","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","6.990","0.186","-87.600","11806.3","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","6.973","0.190","-104.700","11729.5","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.821","0.193","-113.400","11657.3","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.752","0.197","-87.600","11589.7","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.687","0.200","-111.900","11512.7","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.557","0.204","-100.200","11449.4","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.505","0.207","-92.400","11380.5","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.424","0.210","-114.600","11313.1","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.300","0.214","-83.100","11256.3","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.284","0.217","-103.200","11189.5","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.140","0.221","-105.900","11130.8","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.089","0.225","-69.300","11072.4","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.057","0.229","-120.300","11005.4","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","5.920","0.233","-93.000","10948.2","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","5.925","0.237","-96.300","10883.1","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.832","0.241","-135.000","10813.5","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.777","0.246","-85.800","10751.8","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.791","0.250","-127.200","10679.1","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.695","0.255","-134.100","10607.0","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.684","0.260","-97.200","10540.3","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.706","0.265","-150.300","10463.3","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.604","0.270","-135.300","10390.3","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.621","0.275","-103.500","10321.5","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.640","0.280","-169.500","10242.5","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.527","0.285","-132.600","10170.6","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.600","0.290","-119.400","10100.7","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.590","0.296","-179.400","10022.5","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.515","0.301","-129.300","9951.0","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.594","0.306","-129.900","9881.8","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.588","0.312","-184.800","9803.7","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.508","0.317","-137.700","9731.7","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.590","0.323","-131.100","9662.3","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.611","0.328","-195.600","9583.6","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.500","0.333","-145.800","9508.7","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.597","0.339","-133.500","9438.3","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.615","0.344","-192.600","9358.3","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.513","0.350","-153.900","9279.9","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.581","0.355","-131.400","9207.6","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.647","0.361","-188.400","9127.3","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.538","0.366","-166.800","9045.4","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.578","0.372","-130.500","8971.2","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.671","0.377","-178.200","8891.6","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.579","0.383","-174.600","8807.5","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.584","0.388","-138.900","8728.6","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.666","0.394","-169.800","8651.3","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.629","0.399","-178.500","8566.1","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.585","0.405","-154.800","8481.6","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.633","0.410","-163.800","8403.2","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.642","0.416","-165.900","8319.2","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.624","0.421","-171.000","8230.6","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.600","0.427","-167.700","8146.3","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.621","0.432","-152.700","8064.3","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.649","0.438","-165.600","7975.1","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.613","0.443","-185.700","7884.3","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.594","0.449","-153.300","7798.4","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.643","0.454","-153.000","7712.2","8.000","9.000","6.465","4.329","0.210"
"106","2","6.000","5.674","0.460","-178.200","7619.6","8.000","9.000","6.464","4.327","0.212"
"107","2","6.000","5.613","0.466","-178.800","7527.1","8.000","9.000","6.462","4.325","0.214"
"108","2","6.000","5.606","0.471","-149.100","7443.5","8.000","9.000","6.461","4.322","0.216"
"109","2","6.000","5.668","0.477","-161.700","7389.5","8.000","9.000","6.460","4.320","0.218"
"110","2","6.000","5.676","0.482","-185.100","7335.5","8.000","9.000","6.459","4.318","0.220"
"111","2","6.000","5.600","0.488","-175.800","7262.9","8.000","9.000","6.458","4.315","0.222"
