"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.760","0.000","-304.200","13998.8","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.154","0.000","-280.500","13994.7","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.585","0.010","-312.600","13999.7","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.959","0.018","-264.000","13996.6","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.406","0.023","-318.000","13996.9","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.803","0.028","-270.300","13997.3","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.210","0.032","-322.500","13995.1","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.328","0.037","-206.700","13999.7","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.644","0.041","-120.000","13995.5","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.947","0.044","-149.400","14002.4","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.106","0.048","-210.600","13995.1","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.133","0.052","-158.400","14003.1","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.425","0.055","-128.100","13995.1","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.482","0.058","-201.900","14002.8","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.541","0.061","-131.700","13995.7","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.650","0.064","-162.000","13994.8","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.683","0.067","-133.200","13955.9","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.735","0.070","-154.200","13905.7","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.711","0.073","-123.600","13848.1","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.724","0.078","-156.000","13787.6","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.652","0.082","-110.400","13727.0","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.691","0.086","-145.200","13657.1","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.613","0.089","-156.000","13594.0","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.637","0.093","-185.700","13516.7","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.470","0.097","-154.200","13450.1","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.503","0.100","-127.200","13365.1","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.354","0.103","-170.100","13291.2","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.261","0.107","-115.200","13208.0","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.155","0.110","-154.200","13133.0","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.998","0.113","-113.100","13060.1","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.914","0.116","-139.800","12987.5","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.722","0.119","-103.200","12929.1","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.672","0.121","-124.200","12863.9","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.402","0.124","-111.900","12816.5","7.000","7.000","11.389","6.056","0.066"
