"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.377","0.000","-312.600","13994.0","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.870","0.000","-247.200","13998.0","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.234","0.010","-325.200","13993.6","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.581","0.018","-276.900","13999.6","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.105","0.023","-278.100","13993.8","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.385","0.028","-320.400","14001.7","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.815","0.032","-278.700","13993.0","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","8.964","0.037","-239.100","14001.4","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.242","0.041","-112.500","13993.9","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.556","0.044","-144.900","14001.5","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.692","0.048","-192.900","13996.0","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.785","0.052","-168.300","14000.8","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.008","0.055","-135.000","13997.6","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.165","0.058","-171.000","13999.3","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.222","0.061","-153.900","13999.3","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.328","0.064","-151.500","13989.9","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.393","0.067","-127.200","13959.1","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.431","0.070","-162.600","13901.7","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.421","0.074","-124.800","13850.7","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.482","0.078","-135.000","13783.3","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.473","0.082","-115.500","13726.2","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.513","0.086","-135.000","13653.8","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.492","0.090","-161.100","13591.5","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.533","0.094","-169.200","13516.0","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.418","0.097","-172.500","13445.0","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.429","0.101","-123.600","13364.9","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.322","0.104","-169.500","13283.3","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.229","0.107","-120.600","13207.8","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.141","0.110","-156.000","13125.6","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.961","0.113","-120.900","13059.2","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.927","0.115","-118.800","12983.0","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.679","0.118","-132.000","12924.0","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.627","0.121","-98.400","12860.2","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.388","0.123","-127.200","12806.5","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.309","0.126","-82.500","12758.0","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.103","0.129","-131.400","12704.8","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.926","0.131","-78.300","12663.6","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.876","0.134","-99.000","12609.3","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.594","0.137","-106.200","12565.7","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.589","0.139","-72.600","12513.0","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.325","0.142","-111.600","12458.7","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.282","0.145","-63.600","12408.0","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.102","0.148","-112.800","12342.7","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.948","0.151","-69.600","12287.9","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.910","0.154","-86.400","12218.5","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.655","0.156","-103.500","12152.5","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.645","0.159","-59.400","12086.1","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.453","0.162","-108.300","12010.3","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.371","0.165","-70.500","11945.1","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.280","0.168","-92.100","11868.5","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.115","0.171","-84.900","11796.5","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.095","0.174","-66.300","11726.6","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.925","0.177","-107.700","11648.4","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.841","0.180","-66.300","11583.1","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.789","0.182","-80.700","11509.2","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.617","0.185","-104.700","11438.5","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.580","0.188","-53.400","11376.5","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.501","0.191","-95.100","11305.6","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.342","0.193","-82.200","11246.6","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.343","0.196","-58.500","11185.4","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.190","0.199","-102.600","11119.8","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.105","0.203","-60.900","11065.0","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.100","0.206","-73.500","11000.3","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","5.918","0.209","-113.100","10936.4","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","5.939","0.213","-55.200","10877.8","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.877","0.217","-110.100","10807.2","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.763","0.221","-103.200","10741.3","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.817","0.225","-69.600","10675.6","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.731","0.229","-131.400","10599.1","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.665","0.234","-100.500","10531.3","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.740","0.238","-91.800","10459.1","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.636","0.242","-152.400","10380.7","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.622","0.247","-94.500","10312.2","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.699","0.252","-117.900","10237.8","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.570","0.256","-151.500","10159.7","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.621","0.261","-92.400","10091.8","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.656","0.266","-142.800","10017.8","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.545","0.270","-149.700","9940.5","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.613","0.275","-99.000","9873.0","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.640","0.280","-153.000","9798.8","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.529","0.285","-153.900","9721.0","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.593","0.290","-102.900","9652.1","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.631","0.295","-157.800","9577.8","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.501","0.300","-156.900","9498.2","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.569","0.305","-105.900","9426.5","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.611","0.309","-154.800","9351.7","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.515","0.314","-162.000","9270.1","8.000","9.000","6.487","4.374","0.172"
