"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.640","0.000","-282.000","13992.3","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.029","0.000","-303.000","14000.9","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.384","0.010","-282.000","13993.8","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.815","0.018","-307.200","13999.4","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.139","0.023","-300.300","13994.0","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.526","0.028","-317.400","13998.3","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.874","0.033","-269.100","13996.9","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.162","0.037","-242.700","13998.2","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.312","0.041","-105.000","13999.3","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.722","0.045","-149.100","13995.6","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.866","0.049","-188.400","14000.8","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.996","0.052","-178.200","13995.5","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.135","0.056","-142.800","14003.0","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.326","0.059","-165.600","13995.7","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.361","0.062","-170.100","14003.4","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.466","0.065","-135.000","13987.3","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.515","0.068","-162.000","13960.6","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.575","0.071","-111.300","13901.7","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.622","0.075","-169.200","13848.2","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.563","0.079","-113.700","13783.4","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.624","0.083","-143.400","13720.9","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.575","0.087","-108.900","13655.3","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.681","0.091","-179.700","13584.7","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.572","0.095","-176.400","13517.9","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.594","0.099","-148.800","13437.0","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.516","0.102","-144.600","13364.4","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.523","0.105","-142.800","13277.6","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.360","0.108","-153.900","13205.8","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.302","0.111","-109.500","13126.3","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.211","0.114","-162.300","13057.4","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.006","0.117","-93.000","12990.2","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","10.015","0.120","-134.100","12925.4","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.755","0.122","-111.300","12873.1","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.708","0.125","-100.500","12813.7","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.496","0.127","-109.200","12771.1","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.428","0.130","-89.100","12717.9","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.208","0.132","-120.000","12673.7","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","9.076","0.135","-60.000","12625.8","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","9.001","0.137","-120.600","12573.5","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.723","0.140","-75.300","12528.4","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.715","0.142","-80.400","12468.1","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.468","0.145","-97.500","12418.0","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.413","0.148","-63.900","12355.5","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.230","0.150","-101.100","12292.8","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.106","0.153","-60.000","12231.5","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","8.024","0.155","-93.600","12158.0","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.818","0.158","-71.700","12095.5","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.792","0.161","-72.900","12021.0","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.595","0.163","-89.100","11950.6","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.524","0.166","-63.900","11882.1","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.420","0.168","-83.100","11804.1","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.298","0.171","-68.100","11738.2","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.248","0.173","-65.100","11662.9","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.118","0.176","-87.600","11590.9","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","7.035","0.178","-57.000","11526.1","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.966","0.181","-70.200","11451.7","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.851","0.183","-82.500","11390.8","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.791","0.185","-47.100","11325.9","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.723","0.187","-82.200","11259.9","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.604","0.190","-51.900","11205.0","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.600","0.192","-60.300","11139.8","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.467","0.195","-75.000","11079.3","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.423","0.198","-41.100","11022.2","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.396","0.200","-80.100","10953.1","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.270","0.203","-75.900","10893.6","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","6.270","0.207","-60.300","10827.9","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","6.207","0.210","-93.300","10755.6","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","6.147","0.213","-75.300","10692.2","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","6.142","0.217","-76.200","10619.4","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","6.100","0.220","-102.600","10544.2","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","6.054","0.224","-77.400","10477.6","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","6.066","0.227","-92.100","10401.1","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","6.021","0.231","-108.600","10326.0","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","6.010","0.235","-82.200","10257.8","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","6.024","0.239","-113.700","10180.7","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.972","0.242","-104.700","10106.9","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.994","0.246","-94.500","10039.1","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.973","0.250","-116.700","9962.4","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.974","0.254","-105.600","9888.8","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.971","0.258","-106.200","9820.8","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.968","0.262","-114.300","9743.7","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.968","0.266","-109.500","9668.8","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.956","0.270","-110.400","9599.5","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.956","0.274","-117.300","9521.5","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.948","0.278","-112.800","9444.0","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.954","0.282","-121.500","9372.7","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.942","0.286","-114.600","9294.3","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.950","0.290","-120.000","9213.2","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.925","0.294","-118.200","9140.0","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.938","0.298","-115.500","9062.0","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.922","0.302","-121.500","8978.5","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.913","0.306","-116.700","8901.1","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.923","0.310","-120.000","8824.5","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.904","0.314","-122.700","8740.6","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.890","0.318","-119.400","8658.2","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.892","0.322","-119.700","8581.2","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.882","0.327","-129.000","8497.7","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.871","0.331","-114.000","8411.2","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.873","0.335","-126.300","8329.7","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.845","0.339","-127.800","8248.2","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.846","0.343","-118.800","8160.1","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.841","0.347","-125.700","8071.6","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.835","0.352","-131.700","7988.6","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.803","0.356","-123.600","7901.7","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.805","0.360","-119.700","7809.8","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.813","0.364","-130.200","7720.3","8.000","9.000","6.465","4.329","0.210"
"106","2","6.000","5.782","0.369","-132.300","7634.5","8.000","9.000","6.464","4.327","0.212"
"107","2","6.000","5.767","0.373","-122.400","7544.4","8.000","9.000","6.462","4.325","0.214"
"108","2","6.000","5.778","0.377","-119.400","7451.3","8.000","9.000","6.461","4.322","0.216"
"109","2","6.000","5.791","0.382","-140.100","7360.9","8.000","9.000","6.460","4.320","0.218"
"110","2","6.000","5.756","0.386","-132.900","7274.6","8.000","9.000","6.459","4.318","0.220"
