"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.778","0.000","-294.600","13999.0","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.269","0.000","-278.700","13993.1","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.617","0.010","-302.400","14000.2","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","8.069","0.018","-288.900","13992.5","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.438","0.023","-303.300","14001.3","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.831","0.028","-306.600","13993.6","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.138","0.032","-306.000","14000.9","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.356","0.037","-213.300","13994.7","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.569","0.041","-141.300","13999.7","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.922","0.044","-120.600","13997.0","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.022","0.048","-230.700","13999.5","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.133","0.051","-123.600","13999.3","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.374","0.055","-179.100","13998.3","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.455","0.058","-134.100","14001.0","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.587","0.061","-179.400","13996.5","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.633","0.064","-127.500","13994.3","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.764","0.067","-148.500","13953.4","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.747","0.070","-134.100","13906.5","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.853","0.073","-135.000","13841.0","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.763","0.078","-144.300","13786.0","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.853","0.082","-99.600","13716.0","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.787","0.086","-165.600","13654.2","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.850","0.089","-120.000","13581.0","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.800","0.093","-219.000","13510.5","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.704","0.096","-114.900","13434.4","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.749","0.100","-163.200","13351.9","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.584","0.103","-126.900","13276.9","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.569","0.105","-146.700","13192.3","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.355","0.108","-126.900","13124.2","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.357","0.111","-115.800","13046.4","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.112","0.114","-142.800","12984.7","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","10.088","0.116","-81.000","12921.0","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.858","0.119","-152.700","12865.2","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.700","0.121","-63.300","12816.6","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.640","0.124","-125.100","12762.0","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.343","0.126","-93.600","12720.6","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.328","0.129","-82.500","12667.0","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","9.039","0.131","-112.200","12623.5","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","9.027","0.133","-56.100","12571.8","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.772","0.136","-122.400","12518.4","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.670","0.139","-46.200","12468.7","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.581","0.141","-107.100","12405.1","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.318","0.144","-78.600","12351.3","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.339","0.146","-61.200","12283.5","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.068","0.149","-110.400","12218.7","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","8.031","0.151","-48.000","12152.9","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.862","0.154","-102.300","12078.3","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.717","0.157","-66.600","12014.0","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.675","0.159","-70.200","11937.4","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.461","0.162","-96.900","11866.9","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.435","0.164","-46.200","11796.8","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.303","0.167","-90.900","11719.2","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.167","0.170","-77.100","11653.7","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.113","0.172","-56.100","11579.1","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.955","0.174","-96.600","11509.1","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.873","0.177","-54.000","11445.8","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.815","0.179","-74.400","11374.1","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.636","0.182","-91.200","11315.8","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.618","0.184","-34.200","11252.7","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.505","0.187","-97.200","11188.3","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.364","0.189","-54.900","11133.5","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.363","0.192","-54.600","11067.9","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.190","0.195","-94.800","11006.5","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.166","0.198","-48.600","10947.6","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.106","0.202","-93.000","10876.9","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.966","0.205","-94.500","10814.4","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.985","0.209","-57.000","10747.2","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.914","0.213","-121.800","10672.3","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.805","0.217","-90.000","10606.8","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.865","0.221","-73.800","10533.3","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.782","0.225","-137.400","10456.8","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.703","0.229","-90.000","10389.3","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.791","0.234","-94.500","10313.0","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.685","0.238","-146.100","10237.2","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.668","0.242","-89.400","10168.8","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.734","0.247","-116.700","10092.8","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.639","0.251","-145.800","10017.7","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.646","0.256","-100.500","9950.1","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.711","0.261","-127.200","9874.1","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.635","0.265","-151.800","9798.9","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.630","0.270","-107.700","9730.7","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.722","0.275","-133.800","9654.3","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.622","0.280","-161.100","9577.2","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.624","0.284","-113.100","9507.4","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.701","0.289","-137.700","9430.5","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.612","0.294","-162.600","9350.7","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.575","0.299","-124.500","9278.4","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.677","0.304","-127.800","9201.3","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.599","0.308","-167.400","9118.8","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.539","0.313","-128.400","9042.7","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.643","0.318","-129.000","8966.6","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.575","0.323","-170.400","8883.1","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.525","0.328","-137.400","8802.3","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.578","0.333","-133.500","8726.0","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.575","0.338","-156.900","8643.1","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.522","0.343","-150.600","8557.9","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.544","0.348","-140.400","8478.7","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.560","0.353","-148.200","8397.3","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.549","0.358","-153.000","8309.4","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.520","0.364","-156.900","8223.7","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.517","0.369","-144.900","8142.3","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.564","0.374","-145.200","8055.2","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.542","0.379","-163.200","7964.4","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.506","0.384","-155.700","7878.0","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.539","0.390","-142.200","7793.5","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.572","0.395","-153.900","7703.4","8.000","9.000","6.465","4.329","0.210"
"106","2","6.000","5.520","0.400","-172.500","7611.1","8.000","9.000","6.464","4.327","0.212"
"107","2","6.000","5.501","0.405","-149.100","7523.0","8.000","9.000","6.462","4.325","0.214"
"108","2","6.000","5.541","0.411","-146.700","7436.8","8.000","9.000","6.461","4.322","0.216"
"109","2","6.000","5.580","0.416","-154.800","7347.1","8.000","9.000","6.460","4.320","0.218"
"110","2","6.000","5.529","0.421","-178.200","7255.7","8.000","9.000","6.459","4.318","0.220"
"111","2","6.000","5.491","0.427","-150.000","7172.4","8.000","9.000","6.458","4.315","0.222"
"112","2","6.000","5.548","0.432","-145.200","7093.2","8.000","9.000","6.456","4.313","0.224"
