"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.738","0.000","-321.000","14001.4","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.013","0.000","-282.300","13993.0","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.505","0.010","-258.600","14000.8","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.951","0.018","-309.900","13993.9","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.364","0.023","-314.400","14000.5","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.742","0.028","-256.500","13995.6","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.249","0.033","-339.900","14000.2","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.496","0.037","-194.100","13997.9","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.741","0.041","-148.500","13998.7","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.998","0.045","-117.900","13999.0","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.339","0.048","-225.600","13996.5","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.366","0.052","-150.600","14001.2","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.544","0.055","-152.700","13995.9","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.754","0.058","-168.000","14002.8","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.807","0.061","-150.300","13995.9","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.935","0.064","-159.900","13996.0","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.933","0.066","-134.700","13953.8","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","11.003","0.069","-154.200","13907.4","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.957","0.072","-127.500","13844.8","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.971","0.076","-168.300","13788.7","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.815","0.080","-97.500","13721.5","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.844","0.084","-162.000","13656.5","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.703","0.087","-138.000","13588.4","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.708","0.090","-200.400","13515.3","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.541","0.094","-128.400","13444.2","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.477","0.097","-145.500","13359.1","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.376","0.100","-150.300","13285.5","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.173","0.103","-115.500","13200.0","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.115","0.106","-142.800","13130.1","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.896","0.109","-114.300","13053.7","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.803","0.112","-138.900","12986.2","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.554","0.115","-84.300","12923.4","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.532","0.118","-145.500","12862.1","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.248","0.121","-86.700","12815.7","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.153","0.124","-100.800","12759.4","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.020","0.127","-121.500","12718.2","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.781","0.130","-74.400","12667.3","7.000","7.000","11.056","5.922","0.072"
