"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.668","0.000","-263.700","14000.6","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.076","0.000","-300.600","13992.4","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.537","0.010","-282.300","14000.7","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.866","0.018","-318.000","13993.4","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.241","0.023","-276.600","13999.8","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.681","0.028","-304.200","13994.7","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.091","0.032","-313.500","13999.4","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.325","0.037","-201.900","13997.1","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.542","0.041","-140.100","13998.8","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.778","0.045","-130.500","13999.1","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.092","0.048","-227.100","13996.4","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.059","0.052","-142.800","14001.0","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.252","0.055","-153.000","13996.2","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.429","0.058","-165.000","14002.8","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.490","0.061","-150.300","13995.6","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.583","0.064","-145.800","13995.7","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.630","0.067","-139.800","13953.6","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.696","0.070","-144.300","13907.6","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.679","0.073","-131.700","13844.7","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.711","0.078","-144.300","13788.3","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.625","0.082","-116.400","13720.5","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.647","0.086","-148.800","13656.2","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.561","0.090","-146.100","13587.8","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.600","0.093","-199.500","13514.2","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.457","0.097","-144.900","13442.3","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.391","0.100","-147.300","13356.7","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.316","0.103","-149.400","13283.0","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.171","0.107","-134.100","13197.0","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.084","0.110","-140.700","13127.6","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.900","0.113","-127.200","13050.6","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.818","0.116","-131.100","12983.8","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.599","0.119","-102.000","12920.3","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.561","0.122","-141.000","12858.4","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.295","0.125","-89.100","12811.4","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.225","0.128","-115.500","12754.9","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.060","0.130","-109.200","12713.5","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.870","0.133","-88.800","12661.6","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.810","0.137","-113.400","12615.8","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.574","0.140","-81.900","12568.6","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.547","0.143","-120.300","12513.3","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.282","0.146","-69.000","12466.6","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.268","0.149","-110.100","12404.4","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.088","0.152","-96.600","12349.8","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.937","0.155","-72.900","12285.9","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.913","0.158","-116.700","12218.4","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.669","0.161","-67.200","12156.3","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.675","0.164","-111.600","12080.3","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.472","0.168","-80.100","12015.7","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.428","0.171","-91.200","11941.7","7.000","7.000","9.722","5.389","0.096"
