"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.676","0.000","-284.400","13992.4","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.031","0.000","-334.800","13998.9","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.382","0.010","-240.300","13995.1","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.854","0.018","-340.800","13998.8","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.178","0.023","-263.100","13996.7","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.659","0.028","-321.600","13996.5","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.929","0.033","-292.800","13999.1","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.234","0.037","-227.400","13995.1","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.394","0.041","-107.400","14001.0","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.763","0.045","-156.600","13995.4","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.946","0.049","-198.600","14002.9","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.040","0.052","-144.000","13994.9","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.257","0.055","-153.300","14002.7","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.407","0.059","-156.600","13994.3","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.530","0.062","-160.800","14002.0","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.601","0.065","-136.800","13988.2","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.703","0.068","-156.600","13959.0","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.717","0.071","-121.200","13902.0","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.814","0.074","-161.400","13844.9","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.744","0.078","-114.000","13783.6","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.776","0.083","-145.800","13717.1","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.712","0.086","-114.000","13653.5","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.759","0.090","-176.400","13579.1","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.680","0.094","-174.900","13513.9","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.635","0.097","-161.100","13432.0","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.550","0.100","-137.100","13359.2","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.492","0.103","-142.800","13273.6","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.377","0.106","-155.400","13199.5","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.212","0.109","-111.900","13122.6","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.146","0.112","-156.900","13049.9","6.000","7.000","11.833","6.233","0.058"
