"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.812","0.000","-304.800","13998.3","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.173","0.000","-279.900","13993.9","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.609","0.010","-295.800","13998.8","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.999","0.018","-284.700","13996.5","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.411","0.023","-318.600","13997.8","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.761","0.028","-284.400","13998.5","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.219","0.033","-315.900","13995.7","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.320","0.037","-222.300","14000.1","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.612","0.041","-117.900","13994.9","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.918","0.045","-144.900","14001.9","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.070","0.048","-213.000","13995.4","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.125","0.052","-147.600","14003.8","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.362","0.055","-155.400","13995.3","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.437","0.058","-178.500","14003.0","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.533","0.061","-136.800","13995.9","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.624","0.064","-168.300","13994.7","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.632","0.067","-128.100","13955.5","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.704","0.070","-154.200","13905.4","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.684","0.074","-117.300","13847.6","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.700","0.078","-169.800","13786.8","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.601","0.083","-100.500","13726.3","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.657","0.087","-155.400","13656.4","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.553","0.090","-155.700","13593.6","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.572","0.094","-195.600","13516.1","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.409","0.098","-152.700","13449.1","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.432","0.101","-134.100","13364.3","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.289","0.105","-170.700","13290.1","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.169","0.108","-117.900","13206.8","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.089","0.111","-162.000","13131.3","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.893","0.115","-116.100","13059.3","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.828","0.118","-145.800","12986.2","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.621","0.121","-105.900","12927.9","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.547","0.124","-138.900","12862.4","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.302","0.127","-106.200","12814.7","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.257","0.130","-104.700","12759.5","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.061","0.133","-132.900","12713.5","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.900","0.136","-80.400","12666.8","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.813","0.139","-127.500","12615.1","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.608","0.142","-82.800","12572.9","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.540","0.146","-120.600","12515.5","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.307","0.149","-88.800","12468.6","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.286","0.152","-96.900","12409.8","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.045","0.155","-121.800","12350.7","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.982","0.158","-56.400","12292.6","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.870","0.162","-134.400","12222.0","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.680","0.165","-69.900","12161.2","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.665","0.168","-102.000","12087.9","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.446","0.171","-104.100","12018.2","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.429","0.175","-68.100","11949.9","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.264","0.178","-128.400","11872.0","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.174","0.181","-67.800","11805.7","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.122","0.184","-102.900","11728.7","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.951","0.188","-101.100","11656.3","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.938","0.191","-69.600","11588.4","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.802","0.194","-111.600","11511.7","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.713","0.197","-78.300","11448.3","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.667","0.200","-87.000","11379.7","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.534","0.203","-107.400","11311.8","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.478","0.206","-60.600","11255.0","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.431","0.209","-100.500","11188.5","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.276","0.212","-90.900","11129.1","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.258","0.215","-54.300","11071.3","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.171","0.219","-114.600","11004.3","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.068","0.223","-79.200","10946.8","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.075","0.226","-85.800","10882.1","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.953","0.230","-125.100","10812.6","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.934","0.234","-71.700","10751.1","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.915","0.239","-117.000","10678.4","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.818","0.243","-117.000","10606.0","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.839","0.247","-90.000","10539.4","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.813","0.252","-131.400","10462.2","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.759","0.256","-116.700","10388.9","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.790","0.261","-100.200","10319.7","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.763","0.266","-144.600","10240.9","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.729","0.270","-116.700","10168.3","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.780","0.275","-124.800","10098.9","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.724","0.280","-147.600","10020.7","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.734","0.285","-119.100","9949.0","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.748","0.290","-139.800","9879.9","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.720","0.294","-141.000","9801.6","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.736","0.299","-131.100","9729.4","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.737","0.304","-139.500","9659.5","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.729","0.309","-144.900","9580.8","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.734","0.314","-135.000","9505.6","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.750","0.319","-148.200","9434.7","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.726","0.324","-141.300","9354.9","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.742","0.329","-138.600","9276.0","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.739","0.334","-149.700","9203.6","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.741","0.338","-141.000","9123.6","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.739","0.343","-148.200","9041.2","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.753","0.348","-144.300","8966.5","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.740","0.353","-148.200","8887.5","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.738","0.358","-140.700","8802.6","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.769","0.363","-146.700","8723.3","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.749","0.368","-153.600","8645.9","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.750","0.373","-141.000","8560.9","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.769","0.378","-144.900","8475.7","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.765","0.383","-157.200","8396.9","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.747","0.388","-145.200","8313.1","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.777","0.393","-141.600","8224.0","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.771","0.398","-157.200","8139.0","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.761","0.403","-145.800","8056.3","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.763","0.408","-145.200","7967.3","8.000","9.000","6.468","4.336","0.204"
"103","2","6.000","5.775","0.413","-149.700","7876.1","8.000","9.000","6.467","4.334","0.206"
"104","2","6.000","5.783","0.418","-150.300","7789.5","8.000","9.000","6.466","4.332","0.208"
"105","2","6.000","5.758","0.423","-157.800","7702.9","8.000","9.000","6.465","4.329","0.210"
"106","2","6.000","5.757","0.428","-137.400","7610.4","8.000","9.000","6.464","4.327","0.212"
"107","2","6.000","5.793","0.433","-151.200","7517.7","8.000","9.000","6.462","4.325","0.214"
"108","2","6.000","5.780","0.438","-160.200","7437.0","8.000","9.000","6.461","4.322","0.216"
"109","2","6.000","5.737","0.443","-150.000","7387.2","8.000","9.000","6.460","4.320","0.218"
"110","2","6.000","5.753","0.448","-138.300","7321.2","8.000","9.000","6.459","4.318","0.220"
