"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.586","0.000","-256.800","13998.6","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.047","0.000","-292.200","13992.6","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.391","0.010","-296.700","14000.8","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.894","0.018","-272.700","13992.5","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.266","0.023","-311.700","14000.9","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.718","0.028","-287.100","13993.5","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.076","0.032","-298.800","14000.1","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.241","0.037","-230.700","13995.6","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.518","0.041","-124.500","14000.6","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.877","0.044","-126.600","13997.9","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.907","0.048","-243.300","13999.8","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.086","0.051","-120.300","13999.3","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.307","0.055","-177.000","13997.7","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.374","0.058","-147.000","14000.9","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.503","0.061","-162.000","13996.0","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.538","0.064","-143.400","13994.3","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.632","0.067","-141.900","13953.9","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.649","0.069","-132.900","13907.7","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.689","0.073","-147.300","13843.2","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.586","0.077","-141.900","13788.2","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.637","0.081","-108.300","13719.1","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.555","0.085","-165.000","13657.6","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.573","0.089","-139.200","13586.0","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.459","0.092","-208.200","13515.7","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.393","0.096","-129.900","13440.3","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.329","0.099","-167.400","13357.3","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.178","0.103","-134.100","13282.5","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.106","0.106","-150.900","13196.9","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.918","0.109","-129.900","13128.0","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.841","0.112","-129.000","13050.1","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.605","0.115","-138.600","12987.3","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.572","0.118","-100.200","12922.4","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.295","0.121","-155.700","12864.3","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.212","0.124","-78.300","12814.4","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.046","0.127","-132.600","12759.0","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.849","0.131","-103.200","12717.7","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.772","0.134","-102.300","12663.9","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.518","0.137","-116.700","12620.3","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.506","0.140","-81.300","12569.7","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.226","0.143","-134.400","12516.8","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.195","0.147","-67.200","12468.0","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.037","0.150","-120.300","12405.2","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","7.871","0.153","-94.800","12352.0","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.846","0.157","-87.300","12285.7","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.610","0.160","-117.600","12220.7","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.620","0.164","-75.900","12156.2","7.000","7.000","10.056","5.522","0.090"
