"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.606","0.000","-294.000","13998.8","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.000","0.000","-272.100","13994.3","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.458","0.010","-322.500","13998.6","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.799","0.018","-268.200","13995.9","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.278","0.023","-328.200","13997.7","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.611","0.028","-276.000","13998.1","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.061","0.033","-302.400","13995.3","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.372","0.037","-227.700","13999.9","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.520","0.041","-116.100","13995.4","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.877","0.045","-140.700","14002.4","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.131","0.048","-213.900","13994.8","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.210","0.051","-154.500","14003.2","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.336","0.055","-146.100","13994.9","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.574","0.058","-177.600","14002.9","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.587","0.061","-139.500","13996.0","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.733","0.064","-162.900","13994.6","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.743","0.066","-128.100","13955.3","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.841","0.069","-153.600","13905.0","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.797","0.073","-128.400","13846.4","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.822","0.077","-151.200","13785.6","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.738","0.081","-110.700","13724.3","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.752","0.084","-150.900","13654.3","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.670","0.088","-150.600","13590.9","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.623","0.091","-179.700","13512.5","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.549","0.095","-159.000","13444.6","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.401","0.098","-129.000","13358.9","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.378","0.101","-154.500","13284.2","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.166","0.104","-119.700","13201.2","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.114","0.107","-153.000","13125.9","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.878","0.110","-102.000","13053.7","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.823","0.113","-135.600","12981.4","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.617","0.115","-105.600","12923.8","7.000","7.000","11.611","6.144","0.062"
