"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.446","0.000","-310.200","13997.5","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.863","0.000","-276.000","13993.1","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.259","0.010","-280.500","13999.5","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.654","0.018","-320.100","13992.8","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","7.990","0.023","-279.000","14000.9","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.424","0.028","-306.600","13993.4","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.748","0.033","-281.100","14002.0","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","8.864","0.037","-246.000","13994.5","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.163","0.041","-110.100","14000.8","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.520","0.045","-129.900","13995.2","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.533","0.048","-219.000","14000.6","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.750","0.052","-140.100","13997.6","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","9.907","0.055","-164.400","14000.0","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.060","0.059","-145.500","13999.7","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.103","0.062","-180.300","13998.6","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.203","0.065","-132.300","13993.0","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.295","0.068","-147.600","13954.1","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.344","0.071","-132.000","13905.7","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.367","0.075","-150.900","13840.2","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.355","0.080","-128.100","13785.1","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.423","0.084","-126.600","13713.6","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.364","0.088","-141.000","13652.6","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.456","0.092","-155.400","13577.1","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.360","0.096","-202.500","13508.5","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.339","0.100","-150.000","13428.9","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.273","0.103","-154.800","13348.4","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.205","0.107","-147.300","13271.0","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.060","0.110","-160.800","13189.0","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.966","0.113","-126.300","13120.7","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.858","0.116","-148.200","13042.9","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.691","0.119","-122.400","12983.7","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.626","0.122","-126.600","12919.2","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.368","0.125","-137.400","12866.8","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.350","0.128","-91.500","12816.6","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.120","0.131","-136.800","12764.1","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.013","0.134","-91.800","12722.5","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.863","0.137","-117.000","12668.2","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.718","0.140","-92.700","12626.0","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.632","0.143","-103.800","12572.3","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.385","0.146","-114.600","12521.2","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.416","0.149","-66.300","12468.9","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.154","0.152","-128.700","12405.8","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.102","0.155","-74.100","12351.6","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.971","0.158","-100.200","12281.8","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.824","0.161","-95.700","12219.0","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.771","0.165","-85.200","12150.5","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.562","0.168","-109.200","12077.0","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.564","0.171","-65.700","12012.6","7.000","7.000","9.833","5.433","0.094"
