"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.794","0.000","-301.200","13995.8","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.122","0.000","-276.600","13998.5","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.604","0.010","-299.400","13993.4","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.976","0.018","-306.600","14000.1","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.381","0.023","-295.800","13994.3","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.766","0.028","-303.900","14002.4","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.197","0.033","-294.300","13993.9","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.410","0.037","-237.900","14002.1","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.606","0.041","-101.700","13994.5","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","10.047","0.045","-158.700","14001.2","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.148","0.048","-210.600","13996.2","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.255","0.052","-147.600","14001.0","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.453","0.055","-148.500","13998.1","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.623","0.058","-186.000","14000.2","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.637","0.061","-139.200","13999.8","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.793","0.064","-152.100","13990.3","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.817","0.067","-142.500","13959.4","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.869","0.070","-148.800","13901.4","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.834","0.073","-136.800","13851.0","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.846","0.077","-137.100","13783.4","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.798","0.081","-132.000","13726.5","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.757","0.085","-135.300","13654.3","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.728","0.089","-159.300","13592.3","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.685","0.092","-178.200","13517.4","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.568","0.096","-167.100","13447.0","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.469","0.099","-119.100","13367.4","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.448","0.102","-167.100","13286.0","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.235","0.105","-120.600","13210.7","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.196","0.109","-138.600","13128.9","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.997","0.111","-120.300","13062.6","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.933","0.114","-118.500","12986.8","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.761","0.117","-121.200","12928.5","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.625","0.120","-105.300","12865.4","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.487","0.123","-124.200","12811.2","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.311","0.126","-86.400","12763.1","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.235","0.129","-126.300","12710.1","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.961","0.132","-82.200","12668.9","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.958","0.135","-103.500","12614.7","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.723","0.137","-104.100","12571.4","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.624","0.140","-77.100","12518.9","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.499","0.143","-108.300","12464.9","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.343","0.146","-75.000","12414.0","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.256","0.149","-111.000","12349.2","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.043","0.152","-67.800","12294.2","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.047","0.155","-99.900","12225.4","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.804","0.158","-99.000","12159.3","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.743","0.161","-63.600","12093.0","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.642","0.164","-112.200","12017.5","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.469","0.167","-69.900","11952.8","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.435","0.170","-95.100","11876.2","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.263","0.173","-84.600","11804.9","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.209","0.176","-74.700","11734.8","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.081","0.178","-102.300","11656.7","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.977","0.181","-69.300","11591.2","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.902","0.184","-88.200","11517.0","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.772","0.187","-89.700","11446.8","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.700","0.190","-64.800","11385.2","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.623","0.192","-93.300","11314.1","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.497","0.195","-73.200","11255.9","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.446","0.198","-71.100","11194.1","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.347","0.201","-89.700","11129.0","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.232","0.204","-59.100","11074.0","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.207","0.207","-86.400","11008.9","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.076","0.211","-93.300","10944.9","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.038","0.214","-66.600","10886.2","7.000","8.000","7.820","4.796","0.128"
