"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.605","0.000","-256.800","13999.0","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.934","0.000","-342.000","13994.1","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.280","0.010","-276.600","14001.3","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.800","0.018","-266.400","13993.0","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.154","0.023","-309.000","14000.6","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.613","0.028","-282.600","13992.8","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.914","0.033","-317.400","14000.2","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.137","0.037","-200.700","13994.3","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.433","0.041","-119.100","14000.3","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.781","0.045","-136.200","13996.5","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.837","0.049","-225.000","13999.8","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.003","0.052","-130.800","13999.0","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.300","0.055","-151.800","13998.1","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.315","0.059","-183.300","14000.3","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.498","0.062","-136.500","13996.2","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.583","0.065","-146.400","13993.6","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.661","0.068","-152.400","13953.3","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.641","0.070","-144.300","13906.5","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.752","0.074","-128.400","13841.4","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.640","0.078","-160.500","13787.1","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.670","0.082","-112.200","13715.9","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.597","0.086","-154.500","13654.0","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.620","0.090","-149.400","13581.2","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.521","0.094","-202.800","13512.3","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.418","0.097","-146.400","13436.7","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.389","0.100","-153.900","13354.6","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.209","0.104","-150.900","13278.7","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.117","0.107","-149.400","13194.0","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.904","0.110","-141.300","13125.3","6.000","7.000","11.944","6.278","0.056"
