"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.730","0.000","-282.300","13998.6","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.146","0.000","-296.100","13993.1","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.437","0.010","-309.300","13999.9","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.916","0.018","-266.700","13995.5","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.304","0.023","-310.200","13999.6","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.648","0.028","-302.700","13996.7","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.083","0.033","-278.100","13997.5","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.231","0.037","-226.800","13998.6","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.491","0.041","-131.100","13995.8","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.838","0.045","-117.000","14000.9","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.953","0.048","-223.500","13995.7","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.026","0.052","-147.300","14002.7","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.306","0.055","-150.900","13995.4","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.372","0.058","-170.100","14003.4","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.493","0.062","-156.600","13995.4","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.537","0.065","-147.600","13995.6","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.620","0.068","-141.000","13953.9","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.639","0.070","-144.600","13905.6","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.684","0.074","-133.800","13844.5","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.620","0.079","-158.400","13785.8","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.608","0.083","-108.600","13721.6","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.590","0.087","-156.000","13653.5","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.550","0.091","-153.600","13587.4","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.538","0.094","-203.100","13511.2","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.380","0.098","-147.900","13442.1","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.415","0.102","-142.500","13355.8","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.237","0.105","-158.400","13282.2","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.185","0.108","-135.000","13197.7","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.021","0.112","-148.500","13125.8","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.927","0.115","-117.300","13051.1","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.789","0.118","-141.300","12981.4","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.655","0.121","-107.100","12922.4","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.553","0.124","-135.900","12859.5","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.343","0.127","-98.400","12813.4","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.316","0.130","-110.700","12757.2","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.067","0.133","-120.300","12714.2","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.016","0.136","-88.800","12665.3","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.826","0.139","-121.200","12616.0","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.720","0.142","-78.900","12571.9","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.592","0.145","-118.800","12514.9","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.423","0.148","-79.500","12468.2","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.394","0.151","-100.800","12407.4","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.149","0.154","-103.500","12350.3","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.150","0.157","-70.200","12289.2","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.958","0.160","-115.800","12219.4","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.866","0.163","-71.400","12158.5","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.782","0.166","-99.000","12083.2","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.631","0.169","-85.500","12016.5","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.617","0.172","-83.100","11945.5","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.436","0.175","-102.000","11869.0","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.416","0.178","-60.000","11802.5","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.306","0.181","-105.300","11724.4","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.193","0.184","-77.700","11654.4","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.158","0.186","-72.000","11584.3","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","7.018","0.189","-101.400","11508.8","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.955","0.192","-61.500","11446.5","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.891","0.194","-82.200","11376.3","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.753","0.196","-92.100","11311.2","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.720","0.199","-48.600","11253.8","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.629","0.201","-93.000","11186.9","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.506","0.204","-61.800","11130.5","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.498","0.207","-57.600","11070.3","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.361","0.210","-93.000","11004.1","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.313","0.213","-51.600","10947.7","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.281","0.216","-90.300","10880.6","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","6.140","0.219","-92.700","10812.8","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","6.177","0.223","-59.400","10750.7","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","6.099","0.226","-114.900","10676.6","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","6.035","0.230","-83.400","10605.9","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","6.070","0.234","-74.400","10538.2","8.000","8.000","7.220","4.616","0.138"
