"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.795","0.000","-282.900","13993.1","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.144","0.000","-295.500","14000.6","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.618","0.010","-272.400","13992.0","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","8.034","0.018","-309.900","13999.7","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.411","0.023","-288.000","13994.2","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.861","0.028","-311.700","14000.3","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.211","0.033","-273.900","13996.2","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.500","0.037","-238.200","13998.8","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.673","0.041","-113.400","13997.7","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","10.089","0.044","-147.300","13996.6","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.196","0.048","-196.500","13999.6","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.363","0.051","-162.600","13995.7","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.507","0.055","-153.300","14001.6","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.738","0.058","-150.600","13995.9","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.791","0.061","-166.500","14003.4","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.900","0.064","-139.500","13987.2","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.934","0.066","-150.900","13960.3","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","11.025","0.069","-120.900","13900.2","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","11.013","0.072","-165.000","13847.8","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.960","0.076","-119.100","13781.3","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.974","0.080","-132.600","13720.0","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.882","0.084","-132.300","13651.9","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.884","0.087","-173.700","13583.5","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.754","0.091","-167.700","13515.1","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.719","0.094","-156.000","13435.1","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.541","0.097","-142.500","13361.7","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.495","0.100","-139.200","13274.8","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.275","0.103","-143.100","13203.0","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.186","0.106","-117.000","13121.9","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.988","0.109","-142.800","13054.2","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.813","0.112","-99.300","12984.3","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.723","0.115","-129.000","12920.2","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.471","0.117","-112.500","12867.0","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.379","0.120","-103.500","12808.8","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.142","0.123","-106.500","12766.2","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.053","0.126","-104.100","12712.2","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.804","0.129","-110.700","12669.2","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.696","0.132","-83.400","12620.0","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.531","0.135","-117.900","12568.8","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.316","0.139","-89.400","12523.0","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.249","0.142","-97.200","12462.9","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.020","0.145","-97.200","12413.3","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","7.952","0.148","-92.700","12349.4","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.757","0.152","-95.400","12288.1","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.690","0.155","-89.700","12225.2","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.544","0.159","-107.100","12152.5","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.416","0.162","-85.800","12089.8","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.343","0.166","-102.300","12014.3","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.195","0.169","-95.700","11945.5","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.137","0.172","-95.700","11874.7","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.000","0.176","-97.800","11797.4","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","6.942","0.179","-91.500","11731.3","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.840","0.183","-106.500","11655.2","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.738","0.186","-91.500","11584.7","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.669","0.190","-100.800","11517.7","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.571","0.193","-96.900","11443.6","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.494","0.196","-96.600","11383.4","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.397","0.199","-96.000","11317.0","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.323","0.202","-94.800","11252.8","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.213","0.206","-93.600","11197.6","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.161","0.209","-87.000","11132.2","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.053","0.213","-98.100","11073.7","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.000","0.217","-85.500","11015.2","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","5.936","0.221","-104.100","10947.3","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","5.851","0.225","-104.700","10888.7","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.813","0.229","-100.500","10822.2","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.761","0.234","-113.700","10751.0","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.724","0.238","-111.000","10687.8","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.688","0.243","-113.700","10613.8","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.680","0.247","-120.900","10540.1","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.648","0.252","-126.300","10473.2","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.640","0.257","-123.000","10395.9","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.636","0.262","-134.700","10322.2","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.613","0.267","-133.500","10254.0","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.616","0.272","-130.800","10176.1","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.635","0.277","-138.000","10103.4","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.617","0.282","-147.000","10035.2","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.615","0.288","-132.900","9958.4","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.665","0.293","-144.900","9886.1","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.605","0.298","-156.900","9818.1","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.630","0.303","-132.600","9740.7","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.666","0.308","-154.200","9667.1","8.000","9.000","6.493","4.386","0.162"
"82","2","6.000","5.623","0.313","-155.700","9597.8","8.000","9.000","6.492","4.384","0.164"
"83","2","6.000","5.661","0.318","-133.800","9519.6","8.000","9.000","6.491","4.381","0.166"
"84","2","6.000","5.703","0.324","-152.700","9442.8","8.000","9.000","6.489","4.379","0.168"
"85","2","6.000","5.668","0.329","-155.100","9372.2","8.000","9.000","6.488","4.376","0.170"
"86","2","6.000","5.698","0.334","-134.100","9293.1","8.000","9.000","6.487","4.374","0.172"
"87","2","6.000","5.765","0.339","-157.200","9213.5","8.000","9.000","6.486","4.372","0.174"
"88","2","6.000","5.718","0.344","-161.400","9140.9","8.000","9.000","6.485","4.369","0.176"
"89","2","6.000","5.750","0.349","-143.100","9062.4","8.000","9.000","6.484","4.367","0.178"
"90","2","6.000","5.802","0.354","-151.800","8979.4","8.000","9.000","6.482","4.365","0.180"
"91","2","6.000","5.782","0.359","-156.000","8903.7","8.000","9.000","6.481","4.362","0.182"
"92","2","6.000","5.779","0.364","-149.100","8826.2","8.000","9.000","6.480","4.360","0.184"
"93","2","6.000","5.816","0.369","-150.300","8742.1","8.000","9.000","6.479","4.358","0.186"
"94","2","6.000","5.825","0.374","-153.300","8661.0","8.000","9.000","6.478","4.355","0.188"
"95","2","6.000","5.814","0.379","-148.200","8584.1","8.000","9.000","6.476","4.353","0.190"
"96","2","6.000","5.824","0.384","-154.800","8500.3","8.000","9.000","6.475","4.351","0.192"
"97","2","6.000","5.837","0.389","-146.700","8414.0","8.000","9.000","6.474","4.348","0.194"
"98","2","6.000","5.838","0.394","-150.600","8333.9","8.000","9.000","6.473","4.346","0.196"
"99","2","6.000","5.818","0.399","-157.800","8251.6","8.000","9.000","6.472","4.344","0.198"
"100","2","6.000","5.825","0.404","-144.300","8163.3","8.000","9.000","6.471","4.341","0.200"
"101","2","6.000","5.847","0.409","-145.800","8075.7","8.000","9.000","6.469","4.339","0.202"
"102","2","6.000","5.824","0.414","-159.900","7993.4","8.000","9.000","6.468","4.336","0.204"
