"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.648","0.000","-269.700","13993.5","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.964","0.000","-315.600","14001.1","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.395","0.010","-264.900","13993.1","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.836","0.018","-296.700","14001.3","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.210","0.023","-294.000","13993.1","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.641","0.028","-304.800","14000.5","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.013","0.033","-285.600","13994.7","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.286","0.037","-241.200","14000.4","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.473","0.041","-101.400","13996.3","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.857","0.045","-168.300","13999.1","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.002","0.048","-179.100","13999.1","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.155","0.052","-182.700","13998.4","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.310","0.055","-126.000","14000.7","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.544","0.058","-183.600","13996.3","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.567","0.061","-145.200","14002.0","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.713","0.064","-154.800","13988.1","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.733","0.067","-144.000","13961.2","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.804","0.070","-130.200","13901.5","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.818","0.073","-157.200","13851.6","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.779","0.078","-119.100","13784.9","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.768","0.082","-146.700","13726.8","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.711","0.085","-115.800","13657.2","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.739","0.089","-187.500","13592.0","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.628","0.092","-157.200","13521.0","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.600","0.096","-173.100","13445.5","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.451","0.099","-120.900","13370.9","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.457","0.102","-160.800","13285.2","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.223","0.105","-131.700","13213.0","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.177","0.108","-124.500","13129.4","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.987","0.111","-143.400","13062.6","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.841","0.114","-94.200","12989.0","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.759","0.117","-143.700","12926.1","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.527","0.119","-89.700","12867.5","7.000","7.000","11.500","6.100","0.064"
