"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.623","0.000","-277.800","13993.8","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.029","0.000","-313.200","13998.2","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.398","0.010","-251.400","13995.1","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.958","0.018","-306.900","13997.8","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.283","0.023","-311.700","13997.8","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.699","0.028","-276.300","13996.2","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.130","0.032","-306.000","13999.6","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.411","0.037","-234.600","13994.6","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.564","0.041","-115.500","14001.0","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.914","0.044","-141.900","13994.7","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.160","0.048","-208.500","14003.2","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.205","0.051","-151.800","13994.9","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.410","0.055","-160.800","14003.2","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.559","0.058","-147.000","13995.4","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.685","0.061","-174.300","14002.1","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.702","0.063","-132.900","13988.5","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.806","0.066","-162.900","13959.2","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.779","0.069","-116.400","13904.0","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.883","0.072","-162.000","13845.6","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.760","0.076","-124.200","13784.5","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.772","0.080","-131.100","13717.6","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.708","0.084","-130.500","13655.8","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.692","0.088","-164.700","13581.3","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.624","0.091","-176.400","13516.5","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.527","0.094","-139.800","13433.8","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.472","0.098","-151.800","13360.8","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.339","0.101","-129.600","13276.1","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.255","0.104","-149.100","13201.6","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.068","0.107","-110.700","13126.1","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.012","0.110","-151.200","13053.4","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.746","0.112","-96.000","12991.8","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.718","0.115","-122.100","12924.1","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.501","0.118","-121.500","12873.8","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.353","0.121","-85.500","12815.5","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.236","0.124","-121.200","12770.6","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.052","0.127","-85.800","12721.0","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.959","0.129","-119.100","12671.9","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.709","0.132","-72.000","12628.3","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.715","0.135","-108.600","12572.7","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.438","0.138","-97.500","12528.0","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.367","0.141","-72.000","12469.4","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.239","0.144","-116.100","12415.2","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.058","0.147","-71.400","12356.4","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.013","0.150","-102.000","12289.5","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.805","0.153","-82.500","12230.4","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.787","0.156","-87.600","12157.0","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.590","0.159","-95.700","12091.9","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.520","0.162","-77.100","12021.3","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.419","0.166","-104.700","11947.1","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.266","0.169","-78.300","11881.6","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.237","0.172","-84.300","11803.6","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.078","0.174","-94.500","11735.3","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.009","0.177","-81.000","11664.1","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.927","0.180","-87.000","11589.3","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.804","0.183","-87.000","11525.7","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.736","0.186","-80.100","11453.4","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.649","0.189","-88.800","11388.7","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.534","0.191","-75.900","11328.3","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.505","0.194","-70.500","11260.2","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.405","0.197","-93.300","11205.1","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.322","0.200","-61.800","11142.9","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.273","0.203","-84.900","11078.8","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.165","0.207","-72.600","11023.2","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.142","0.210","-84.000","10956.0","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.064","0.214","-93.300","10891.8","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","6.000","0.217","-82.500","10830.2","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.994","0.221","-91.800","10756.6","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.929","0.225","-102.900","10690.7","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.904","0.229","-89.700","10621.5","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.900","0.233","-105.900","10544.4","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.868","0.237","-115.500","10477.0","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.848","0.242","-97.800","10403.8","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.863","0.246","-117.600","10326.0","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.827","0.250","-112.500","10258.6","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.843","0.255","-111.600","10183.9","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.859","0.259","-120.600","10107.2","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.857","0.263","-116.700","10040.2","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.860","0.268","-124.200","9965.6","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.887","0.272","-120.300","9889.6","8.000","9.000","6.496","4.393","0.156"
"79","2","6.000","5.893","0.277","-129.000","9821.9","8.000","9.000","6.495","4.391","0.158"
"80","2","6.000","5.886","0.281","-124.200","9747.1","8.000","9.000","6.494","4.388","0.160"
"81","2","6.000","5.934","0.285","-127.200","9669.5","8.000","9.000","6.493","4.386","0.162"
