"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.808","0.000","-317.700","14001.0","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.167","0.000","-300.300","13992.5","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.491","0.010","-303.600","13999.5","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.880","0.018","-294.900","13993.9","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.257","0.023","-295.200","13999.7","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.633","0.028","-291.600","13996.7","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.916","0.033","-320.400","13998.5","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.055","0.037","-212.400","13997.6","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.298","0.041","-134.100","13996.2","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.503","0.045","-158.100","13998.7","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.624","0.049","-195.300","13995.1","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.752","0.053","-144.900","14001.8","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","9.951","0.056","-167.100","13995.6","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.004","0.060","-154.500","14003.5","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.158","0.063","-148.200","13995.6","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.221","0.066","-145.200","13995.5","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.329","0.070","-148.200","13953.5","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.371","0.073","-129.300","13906.6","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.467","0.077","-134.700","13844.4","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.472","0.082","-144.900","13786.6","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.527","0.086","-120.300","13720.9","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.542","0.091","-135.900","13654.6","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.637","0.095","-153.000","13587.2","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.631","0.099","-209.700","13512.5","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.558","0.103","-150.600","13442.0","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.661","0.107","-141.600","13355.5","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.527","0.110","-162.900","13282.2","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.500","0.113","-147.900","13197.2","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.378","0.116","-145.200","13126.5","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.338","0.119","-130.200","13051.3","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.163","0.122","-144.600","12983.3","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","10.073","0.125","-106.800","12922.5","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.905","0.128","-140.700","12859.2","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.755","0.130","-96.000","12812.6","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.687","0.133","-115.500","12756.1","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.410","0.135","-114.300","12714.0","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.388","0.138","-83.400","12663.7","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","9.147","0.141","-117.000","12615.6","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","9.058","0.143","-76.500","12570.4","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.879","0.146","-107.400","12514.0","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.759","0.148","-74.100","12467.3","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.663","0.151","-91.800","12405.9","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.441","0.153","-88.500","12349.8","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.429","0.156","-69.600","12287.6","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.189","0.159","-104.400","12218.9","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","8.137","0.161","-60.000","12157.3","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.998","0.164","-88.200","12081.9","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.866","0.166","-72.300","12015.7","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.807","0.169","-73.200","11943.1","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.623","0.171","-89.100","11867.6","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.589","0.174","-57.600","11800.8","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.438","0.176","-87.000","11722.1","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.346","0.179","-66.900","11653.3","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.261","0.181","-73.200","11582.0","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","7.127","0.183","-76.500","11507.5","7.000","8.000","9.020","5.156","0.108"
