"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.411","0.000","-277.200","13995.9","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.845","0.000","-306.900","13995.3","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.218","0.010","-270.000","13997.7","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.699","0.018","-301.200","13993.6","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.068","0.023","-279.600","13999.0","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.555","0.028","-300.000","13993.9","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.865","0.033","-310.500","14001.3","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.160","0.037","-208.800","13994.0","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.356","0.041","-129.000","14002.4","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.711","0.044","-134.400","13994.1","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.901","0.048","-216.000","14001.8","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.977","0.051","-139.200","13996.0","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.237","0.055","-168.900","14002.2","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.315","0.058","-150.300","13998.5","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.472","0.061","-157.500","14000.9","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.528","0.064","-139.800","13991.4","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.656","0.067","-144.900","13955.9","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.653","0.069","-133.800","13905.3","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.755","0.073","-139.200","13841.8","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.683","0.077","-134.700","13784.9","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.719","0.081","-117.300","13713.1","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.681","0.084","-143.100","13653.6","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.701","0.088","-149.700","13577.0","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.656","0.091","-187.200","13510.1","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.554","0.095","-142.200","13427.3","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.520","0.098","-151.200","13350.4","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.372","0.101","-133.800","13270.4","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.307","0.103","-144.300","13191.6","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.103","0.106","-122.100","13122.3","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.029","0.109","-130.200","13046.6","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.814","0.111","-111.300","12987.7","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.742","0.114","-112.500","12920.9","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.525","0.117","-123.000","12870.6","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.368","0.119","-87.300","12817.2","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.257","0.122","-113.100","12768.2","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.030","0.125","-92.400","12724.5","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.941","0.127","-97.800","12671.4","7.000","7.000","11.056","5.922","0.072"
