"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.711","0.000","-321.300","14000.5","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.053","0.000","-311.400","13992.0","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.559","0.010","-249.900","13999.5","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.954","0.018","-306.000","13993.6","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.285","0.023","-318.900","13999.5","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.773","0.028","-248.400","13996.0","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.051","0.032","-340.500","13999.1","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.255","0.037","-182.400","13998.4","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.501","0.041","-162.600","13997.6","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.804","0.045","-123.000","13999.7","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.909","0.048","-210.000","13995.7","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.013","0.052","-159.600","14001.8","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.280","0.055","-139.200","13996.1","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.302","0.058","-180.000","14003.2","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.492","0.061","-127.500","13995.3","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.503","0.064","-171.300","13994.9","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.607","0.067","-125.400","13953.1","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.623","0.070","-150.900","13906.3","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.671","0.074","-127.500","13843.8","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.570","0.078","-168.600","13785.9","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.624","0.083","-92.700","13720.2","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.579","0.087","-162.000","13654.2","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.570","0.091","-152.400","13587.2","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.509","0.094","-203.100","13512.0","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.387","0.098","-142.200","13441.2","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.409","0.101","-149.700","13354.7","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.189","0.105","-168.000","13281.0","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.157","0.108","-124.500","13195.3","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.953","0.111","-160.800","13125.2","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.892","0.115","-114.000","13049.9","6.000","7.000","11.833","6.233","0.058"
