"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.496","0.000","-274.200","13993.0","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.871","0.000","-292.500","14000.8","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.239","0.010","-297.900","13993.2","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.675","0.018","-276.300","14001.1","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.061","0.023","-312.000","13992.8","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.436","0.028","-306.300","14000.6","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.771","0.033","-300.600","13993.7","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","8.982","0.037","-253.800","13999.7","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.137","0.041","-95.100","13995.3","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.420","0.045","-192.900","13999.8","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.520","0.049","-147.300","13997.7","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.707","0.052","-201.300","13998.9","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","9.777","0.056","-132.300","13999.7","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.021","0.059","-170.700","13996.3","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.034","0.062","-148.800","14001.0","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.170","0.066","-155.700","13988.2","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.178","0.069","-131.700","13960.5","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.305","0.072","-133.500","13900.3","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.333","0.076","-146.700","13849.8","6.000","6.000","12.188","6.500","0.036"
