"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.774","0.000","-300.000","13994.6","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.171","0.000","-258.600","13997.7","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.678","0.010","-312.000","13992.8","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","8.023","0.018","-308.700","13999.4","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.428","0.023","-267.300","13993.1","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.910","0.028","-326.700","14001.0","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.241","0.032","-271.800","13992.9","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.601","0.037","-244.800","14001.6","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.712","0.041","-99.600","13994.3","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","10.156","0.044","-173.700","14001.6","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.251","0.048","-188.700","13996.4","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.413","0.051","-176.100","14001.6","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.526","0.054","-148.800","13998.6","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.701","0.057","-177.000","14000.3","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.757","0.060","-130.800","13999.5","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.931","0.063","-154.800","13990.4","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.941","0.066","-130.200","13958.9","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","11.027","0.069","-137.700","13901.5","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","11.038","0.072","-134.100","13850.4","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","11.028","0.076","-137.100","13782.9","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","11.009","0.080","-122.700","13726.0","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.968","0.083","-127.500","13653.4","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.964","0.087","-166.500","13591.3","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.881","0.090","-165.600","13516.2","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.842","0.093","-159.000","13445.3","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.697","0.096","-117.600","13365.7","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.664","0.099","-163.800","13284.4","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.458","0.102","-103.500","13209.1","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.413","0.104","-150.600","13127.4","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.190","0.107","-104.700","13061.1","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.083","0.109","-113.100","12984.9","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.930","0.112","-119.100","12926.3","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.739","0.114","-93.900","12862.8","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.602","0.117","-121.500","12809.1","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.369","0.120","-65.400","12760.6","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.302","0.122","-138.300","12707.3","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.983","0.125","-59.400","12666.3","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.965","0.127","-101.400","12611.9","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.712","0.130","-105.000","12568.7","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.553","0.133","-58.500","12516.0","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.454","0.136","-122.400","12462.0","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.206","0.138","-47.400","12411.3","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.175","0.141","-118.500","12346.3","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.888","0.144","-65.100","12291.5","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.874","0.147","-83.100","12222.4","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.657","0.150","-111.000","12156.5","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.512","0.153","-49.200","12090.3","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.461","0.156","-123.000","12014.6","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.213","0.159","-68.700","11949.8","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.209","0.163","-89.700","11873.3","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.012","0.166","-104.100","11801.9","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","6.916","0.169","-59.400","11731.8","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.841","0.172","-117.600","11653.2","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.653","0.175","-76.800","11588.3","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.611","0.179","-79.200","11513.9","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.476","0.182","-121.500","11443.7","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.349","0.185","-60.600","11381.7","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.302","0.188","-103.800","11310.9","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.146","0.191","-99.000","11252.4","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.066","0.195","-67.500","11191.0","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.005","0.198","-115.200","11125.6","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","5.827","0.202","-76.500","11071.0","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","5.823","0.206","-83.700","11006.0","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","5.713","0.210","-132.900","10942.1","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","5.600","0.215","-69.000","10883.7","7.000","8.000","7.820","4.796","0.128"
