"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.458","0.000","-270.900","13993.4","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.928","0.000","-264.000","13998.8","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.286","0.010","-322.500","13993.7","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.612","0.018","-295.800","14000.7","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.002","0.023","-298.800","13993.4","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.455","0.028","-272.100","14001.3","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.831","0.033","-286.200","13993.3","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","8.862","0.037","-268.500","14001.0","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.282","0.041","-60.000","13994.3","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.508","0.045","-172.200","14001.6","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.624","0.048","-191.400","13996.7","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.709","0.052","-177.900","14000.8","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","9.995","0.055","-115.800","13997.9","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.092","0.059","-179.700","13998.8","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.128","0.062","-165.900","13999.6","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.276","0.065","-133.500","13989.3","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.359","0.068","-132.300","13959.7","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.391","0.071","-162.300","13901.7","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.368","0.075","-130.200","13851.3","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.448","0.079","-130.800","13784.7","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.400","0.084","-135.000","13728.2","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.431","0.088","-132.300","13655.5","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.412","0.092","-168.600","13594.0","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.431","0.096","-177.600","13520.3","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.294","0.099","-176.700","13448.9","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.347","0.103","-121.800","13370.2","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.193","0.106","-177.300","13288.3","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.105","0.109","-125.700","13212.7","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.013","0.112","-150.600","13129.6","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.840","0.115","-132.900","13062.5","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.810","0.119","-117.900","12985.2","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.571","0.121","-142.800","12925.0","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.512","0.124","-104.700","12862.3","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.279","0.127","-129.300","12807.6","7.000","7.000","11.389","6.056","0.066"
