"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.733","0.000","-296.700","13992.7","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.115","0.000","-288.000","14000.9","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.560","0.010","-277.200","13992.4","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.981","0.018","-313.800","13999.6","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.337","0.023","-282.300","13992.7","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.796","0.028","-314.700","14000.0","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.111","0.032","-294.300","13995.3","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.371","0.037","-243.600","13999.9","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.502","0.041","-117.300","13997.1","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.872","0.044","-164.100","13999.2","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.977","0.048","-187.800","13999.2","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.092","0.052","-183.600","13997.0","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.193","0.055","-144.300","14000.8","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.308","0.058","-196.500","13996.1","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.227","0.061","-156.600","14003.0","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.341","0.064","-138.300","13988.1","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.381","0.067","-143.100","13961.5","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.453","0.070","-130.200","13901.0","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.478","0.074","-136.200","13850.3","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.460","0.079","-120.000","13784.0","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.505","0.083","-130.200","13724.9","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.478","0.087","-120.600","13655.2","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.530","0.092","-178.500","13587.7","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.481","0.095","-167.700","13517.9","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.475","0.099","-180.600","13441.6","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.384","0.103","-120.300","13368.5","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.412","0.106","-171.000","13282.3","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.245","0.110","-132.000","13210.1","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.211","0.113","-144.000","13127.2","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.048","0.116","-143.400","13059.6","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.946","0.119","-103.800","12987.5","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.871","0.122","-153.300","12924.9","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.652","0.125","-95.700","12869.6","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.593","0.127","-129.900","12811.9","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.371","0.130","-87.300","12767.7","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.342","0.133","-127.500","12712.8","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.063","0.136","-99.000","12671.3","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","9.018","0.138","-76.200","12620.5","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.864","0.141","-137.400","12571.1","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.647","0.144","-54.300","12524.1","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.633","0.147","-118.800","12465.5","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.370","0.150","-78.300","12416.0","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.356","0.152","-93.000","12352.2","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.122","0.155","-96.000","12293.1","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.065","0.158","-68.700","12228.9","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.926","0.161","-116.100","12157.8","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.735","0.164","-54.900","12095.2","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.724","0.166","-95.700","12018.9","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.499","0.169","-87.000","11952.0","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.470","0.172","-71.100","11879.7","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.317","0.175","-103.800","11803.7","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.204","0.178","-59.100","11737.2","7.000","8.000","9.380","5.264","0.102"
