"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.803","0.000","-270.000","13999.0","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.190","0.000","-305.100","13993.6","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.632","0.010","-279.000","13999.1","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","8.067","0.018","-285.000","13996.5","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.456","0.023","-318.000","13998.4","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.861","0.028","-274.500","13997.8","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.273","0.032","-322.500","13996.1","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.464","0.037","-206.400","13999.0","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.752","0.041","-137.100","13995.1","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","10.028","0.044","-149.700","14001.6","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.243","0.048","-197.400","13995.9","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.269","0.051","-171.900","14003.6","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.504","0.055","-146.400","13995.3","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.576","0.058","-176.400","14003.3","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.668","0.061","-141.000","13995.6","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.746","0.064","-164.100","13994.8","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.767","0.066","-127.800","13954.6","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.811","0.069","-157.500","13905.0","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.757","0.073","-131.700","13846.6","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.740","0.077","-152.700","13786.4","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.646","0.081","-117.900","13723.9","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.648","0.085","-147.000","13654.5","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.518","0.089","-164.400","13591.8","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.520","0.092","-180.000","13515.4","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.341","0.096","-165.000","13447.3","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.316","0.099","-124.200","13361.0","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.179","0.103","-170.100","13287.2","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.029","0.106","-119.400","13203.5","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.923","0.110","-153.300","13129.1","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.732","0.113","-116.400","13056.1","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.654","0.116","-141.600","12983.5","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.431","0.119","-115.200","12924.4","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.376","0.123","-128.100","12859.2","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.109","0.126","-122.100","12812.9","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.071","0.129","-94.500","12757.8","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.862","0.133","-139.800","12713.0","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.696","0.136","-86.400","12665.6","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.627","0.139","-120.900","12615.3","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.394","0.143","-101.100","12572.6","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.343","0.146","-111.000","12515.5","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.107","0.150","-106.500","12469.0","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.083","0.153","-97.800","12409.7","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","7.877","0.157","-122.700","12351.1","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.767","0.160","-81.600","12292.5","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.696","0.164","-121.200","12222.1","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.498","0.167","-97.200","12161.3","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.480","0.171","-102.300","12087.6","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.296","0.174","-105.000","12018.8","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.253","0.178","-94.200","11949.5","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.124","0.182","-113.400","11872.3","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.030","0.185","-91.800","11806.2","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","6.974","0.189","-109.500","11729.0","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","6.823","0.192","-101.100","11657.4","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.781","0.196","-97.200","11589.2","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.679","0.199","-108.600","11513.0","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.585","0.202","-90.600","11450.2","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.533","0.206","-102.000","11381.0","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.431","0.209","-99.600","11314.7","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.350","0.212","-90.900","11258.2","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.310","0.216","-96.900","11191.7","7.000","8.000","8.420","4.976","0.118"
