"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.594","0.000","-259.200","13993.7","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.046","0.000","-316.800","13998.3","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.442","0.010","-258.600","13995.6","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.883","0.018","-346.200","13996.6","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.189","0.023","-264.900","13996.9","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.605","0.028","-334.200","13995.2","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.926","0.032","-274.200","13999.2","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.265","0.037","-255.600","13994.6","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.397","0.041","-99.300","14001.5","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.725","0.044","-131.100","13995.0","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.056","0.048","-216.000","14003.0","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.054","0.052","-144.000","13994.9","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.262","0.055","-161.400","14002.9","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.417","0.058","-146.400","13995.6","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.553","0.061","-178.200","14002.1","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.571","0.064","-124.200","13988.5","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.708","0.067","-163.200","13958.6","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.683","0.070","-117.000","13903.9","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.762","0.073","-165.600","13845.2","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.683","0.077","-115.200","13785.0","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.694","0.081","-137.400","13717.1","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.662","0.085","-129.000","13655.8","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.628","0.089","-166.200","13581.6","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.604","0.093","-178.200","13516.1","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.496","0.096","-147.600","13433.3","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.451","0.099","-151.200","13359.8","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.328","0.102","-132.600","13275.3","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.265","0.105","-151.500","13200.2","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.059","0.108","-115.500","13125.1","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.999","0.111","-155.700","13051.8","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.752","0.114","-93.600","12989.7","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.695","0.117","-134.100","12921.6","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.498","0.120","-120.000","12871.4","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.299","0.123","-95.100","12813.7","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.221","0.126","-119.100","12768.7","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.979","0.129","-85.200","12719.6","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.925","0.132","-121.200","12669.7","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.652","0.135","-68.400","12627.0","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.655","0.138","-117.000","12570.8","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.419","0.141","-85.800","12526.1","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.307","0.144","-83.700","12467.4","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.237","0.147","-112.800","12412.4","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.003","0.150","-71.700","12353.9","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","7.998","0.153","-112.200","12286.6","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","7.764","0.156","-70.200","12227.1","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.749","0.159","-103.800","12153.4","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.574","0.162","-90.000","12088.0","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.471","0.165","-76.500","12016.9","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.442","0.169","-113.100","11941.7","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.239","0.172","-65.400","11875.7","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.243","0.175","-100.800","11797.3","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.080","0.178","-83.400","11728.5","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.014","0.181","-85.200","11656.7","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","6.948","0.184","-101.700","11581.0","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.796","0.187","-69.300","11517.0","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.777","0.189","-95.700","11444.5","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.660","0.192","-92.100","11379.5","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.544","0.195","-64.200","11319.7","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.515","0.198","-98.400","11251.8","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.374","0.200","-76.800","11196.5","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.303","0.203","-67.500","11135.1","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.256","0.207","-102.600","11071.0","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.095","0.210","-51.000","11015.7","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.111","0.213","-98.700","10949.0","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","5.999","0.217","-100.800","10884.2","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","5.907","0.221","-60.000","10823.1","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","5.936","0.225","-122.700","10749.5","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.811","0.229","-97.500","10682.8","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.787","0.233","-82.500","10614.0","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.798","0.237","-134.100","10536.5","8.000","8.000","7.220","4.616","0.138"
