"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.536","0.000","-278.700","13998.8","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.878","0.000","-327.600","13991.3","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.173","0.010","-301.200","13999.0","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.642","0.018","-287.100","13990.9","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.056","0.023","-282.300","13999.8","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.365","0.028","-339.300","13993.6","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.728","0.033","-256.200","13999.9","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","8.942","0.037","-228.600","13995.3","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.216","0.041","-115.800","13999.7","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.574","0.045","-138.900","13997.8","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.631","0.049","-217.200","13998.6","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.820","0.052","-130.500","13999.5","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.079","0.056","-168.900","13996.5","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.153","0.059","-156.900","14001.8","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.300","0.062","-162.900","13996.5","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.428","0.066","-118.200","13995.5","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.524","0.069","-168.600","13953.4","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.559","0.072","-119.700","13907.5","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.679","0.075","-145.800","13842.9","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.652","0.080","-126.000","13787.8","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.724","0.084","-131.400","13717.8","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.707","0.088","-133.200","13655.0","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.826","0.092","-146.400","13584.5","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.738","0.095","-208.500","13512.7","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.713","0.099","-135.600","13437.8","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.727","0.102","-147.300","13354.0","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.633","0.105","-138.900","13279.9","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.552","0.107","-153.300","13194.7","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.431","0.110","-111.300","13126.5","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.379","0.113","-132.900","13049.2","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.171","0.115","-124.200","12985.3","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","10.136","0.118","-103.800","12920.8","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.911","0.120","-128.400","12862.0","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.802","0.122","-79.500","12814.7","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.661","0.124","-117.900","12759.5","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.459","0.127","-84.600","12718.6","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.383","0.129","-87.900","12665.7","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","9.131","0.131","-97.500","12621.8","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","9.086","0.133","-72.300","12572.0","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.831","0.136","-101.700","12517.8","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.782","0.138","-50.400","12469.8","7.000","7.000","10.611","5.744","0.080"
