"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.599","0.000","-281.700","13995.2","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.012","0.000","-316.200","13997.1","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.326","0.010","-253.500","13998.2","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.846","0.018","-297.900","13995.5","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.250","0.023","-331.500","13999.3","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.523","0.028","-261.600","13993.9","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.047","0.033","-297.300","14000.4","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.329","0.037","-243.900","13993.6","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.483","0.041","-102.300","14002.6","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.782","0.045","-150.300","13994.9","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.080","0.048","-208.500","14002.8","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.108","0.052","-146.400","13995.5","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.322","0.055","-169.200","14001.9","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.448","0.058","-144.900","13996.6","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.612","0.061","-163.200","14001.3","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.653","0.064","-137.400","13990.5","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.774","0.067","-154.500","13956.8","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.765","0.070","-120.000","13903.8","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.851","0.073","-157.800","13842.0","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.807","0.077","-126.300","13784.4","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.768","0.081","-129.000","13713.5","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.765","0.085","-137.700","13651.9","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.698","0.088","-158.100","13575.3","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.711","0.092","-186.000","13509.7","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.561","0.095","-131.400","13426.7","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.559","0.098","-155.100","13351.6","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.409","0.101","-124.500","13269.8","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.357","0.104","-146.100","13192.2","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.165","0.107","-112.500","13120.8","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.108","0.110","-142.200","13045.1","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.906","0.113","-115.800","12985.5","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.761","0.115","-100.200","12918.3","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.681","0.118","-130.500","12870.2","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.413","0.121","-81.900","12815.7","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.378","0.123","-114.900","12768.2","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.128","0.126","-85.800","12722.4","7.000","7.000","11.167","5.967","0.070"
