"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.563","0.000","-302.100","13997.5","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.029","0.000","-270.300","13992.9","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.357","0.010","-329.100","14001.0","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.694","0.018","-258.300","13994.3","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.258","0.023","-276.000","14001.7","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.537","0.028","-324.600","13993.2","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.989","0.033","-261.000","14001.3","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.210","0.037","-246.600","13994.4","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.406","0.041","-102.300","14000.9","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.732","0.045","-149.100","13996.3","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.944","0.048","-206.400","14000.4","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.957","0.052","-148.200","13998.6","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.223","0.055","-153.900","13998.6","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.338","0.058","-165.600","14000.5","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.446","0.061","-157.800","13997.2","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.511","0.064","-126.300","13993.9","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.623","0.067","-167.400","13954.1","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.616","0.070","-117.900","13907.4","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.688","0.074","-143.400","13842.5","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.668","0.078","-133.500","13787.8","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.622","0.082","-130.500","13716.9","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.613","0.086","-123.600","13656.5","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.596","0.089","-162.900","13583.6","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.614","0.093","-185.700","13513.6","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.479","0.097","-139.200","13436.6","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.497","0.100","-144.000","13355.3","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.390","0.103","-136.800","13279.1","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.319","0.106","-147.600","13195.2","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.192","0.109","-118.200","13127.3","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.096","0.112","-141.300","13049.2","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.934","0.115","-110.700","12988.0","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.832","0.117","-114.900","12921.6","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.715","0.120","-124.500","12865.8","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.509","0.123","-83.400","12815.1","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.460","0.125","-122.700","12761.9","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.234","0.128","-83.400","12720.7","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.164","0.131","-106.500","12666.6","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.968","0.133","-82.800","12624.7","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.874","0.136","-94.200","12572.5","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.712","0.138","-100.200","12521.1","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.553","0.141","-59.100","12471.0","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.504","0.144","-121.800","12408.7","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.247","0.146","-57.900","12355.6","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.247","0.149","-91.500","12287.6","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.035","0.152","-84.600","12224.5","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.960","0.154","-67.800","12157.7","7.000","7.000","10.056","5.522","0.090"
"46","2","6.800","7.833","0.157","-97.500","12084.0","7.000","7.000","9.944","5.478","0.092"
"47","2","6.700","7.688","0.159","-51.300","12019.7","7.000","7.000","9.833","5.433","0.094"
"48","2","6.600","7.658","0.162","-101.100","11942.5","7.000","7.000","9.722","5.389","0.096"
"49","2","6.500","7.452","0.165","-66.600","11873.4","7.000","7.000","9.611","5.344","0.098"
"50","2","6.400","7.437","0.167","-69.900","11801.8","7.000","8.000","9.500","5.300","0.100"
"51","2","6.300","7.294","0.170","-91.500","11724.4","7.000","8.000","9.380","5.264","0.102"
"52","2","6.200","7.183","0.172","-53.400","11658.8","7.000","8.000","9.260","5.228","0.104"
"53","2","6.100","7.127","0.175","-91.800","11582.4","7.000","8.000","9.140","5.192","0.106"
"54","2","6.000","6.982","0.177","-65.700","11513.5","7.000","8.000","9.020","5.156","0.108"
"55","2","6.000","6.920","0.179","-63.000","11448.4","7.000","8.000","8.900","5.120","0.110"
"56","2","6.000","6.815","0.182","-89.400","11376.3","7.000","8.000","8.780","5.084","0.112"
"57","2","6.000","6.702","0.184","-54.600","11318.2","7.000","8.000","8.660","5.048","0.114"
"58","2","6.000","6.651","0.186","-69.300","11254.3","7.000","8.000","8.540","5.012","0.116"
"59","2","6.000","6.532","0.189","-77.100","11190.5","7.000","8.000","8.420","4.976","0.118"
"60","2","6.000","6.439","0.191","-41.400","11136.1","7.000","8.000","8.300","4.940","0.120"
"61","2","6.000","6.399","0.194","-80.400","11070.5","7.000","8.000","8.180","4.904","0.122"
"62","2","6.000","6.259","0.197","-61.200","11010.6","7.000","8.000","8.060","4.868","0.124"
"63","2","6.000","6.232","0.200","-56.700","10951.2","7.000","8.000","7.940","4.832","0.126"
"64","2","6.000","6.151","0.203","-100.800","10881.3","7.000","8.000","7.820","4.796","0.128"
"65","2","6.000","6.042","0.206","-60.000","10820.3","8.000","8.000","7.700","4.760","0.130"
"66","2","6.000","6.072","0.210","-84.300","10752.4","8.000","8.000","7.580","4.724","0.132"
"67","2","6.000","5.962","0.213","-101.100","10678.7","8.000","8.000","7.460","4.688","0.134"
"68","2","6.000","5.928","0.217","-65.100","10613.8","8.000","8.000","7.340","4.652","0.136"
"69","2","6.000","5.933","0.221","-105.600","10539.0","8.000","8.000","7.220","4.616","0.138"
"70","2","6.000","5.857","0.225","-103.200","10463.3","8.000","8.000","7.100","4.580","0.140"
"71","2","6.000","5.853","0.229","-73.800","10395.7","8.000","8.000","6.980","4.544","0.142"
"72","2","6.000","5.873","0.233","-124.200","10318.7","8.000","8.000","6.860","4.508","0.144"
"73","2","6.000","5.808","0.237","-105.000","10243.2","8.000","8.000","6.740","4.472","0.146"
"74","2","6.000","5.839","0.241","-88.200","10175.2","8.000","8.000","6.620","4.436","0.148"
"75","2","6.000","5.849","0.246","-139.500","10098.1","8.000","9.000","6.500","4.400","0.150"
"76","2","6.000","5.781","0.250","-102.300","10023.8","8.000","9.000","6.499","4.398","0.152"
"77","2","6.000","5.836","0.254","-107.100","9956.2","8.000","9.000","6.498","4.395","0.154"
"78","2","6.000","5.821","0.258","-141.300","9879.6","8.000","9.000","6.496","4.393","0.156"
