"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.478","0.000","-276.300","13992.6","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.758","0.000","-313.800","13999.8","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.235","0.010","-265.500","13992.1","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.549","0.018","-317.700","13999.5","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","7.973","0.023","-290.400","13993.9","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.351","0.028","-291.000","14000.0","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.609","0.033","-325.800","13995.9","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","8.767","0.037","-210.300","13999.0","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.060","0.041","-112.500","13997.4","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.319","0.045","-176.700","13996.4","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.405","0.049","-171.600","13999.1","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.479","0.053","-209.100","13995.5","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","9.750","0.056","-105.900","14001.2","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","9.851","0.060","-187.200","13995.9","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","9.921","0.063","-149.100","14003.4","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.095","0.066","-132.300","13987.5","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.103","0.070","-154.800","13960.8","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.267","0.073","-123.600","13900.4","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.248","0.077","-152.700","13848.6","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.319","0.082","-121.500","13782.1","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.333","0.086","-137.700","13721.0","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.426","0.090","-114.900","13653.2","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.450","0.095","-191.400","13585.2","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.467","0.099","-166.200","13516.0","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.453","0.102","-179.700","13436.2","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.471","0.106","-128.100","13362.2","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.440","0.109","-169.800","13275.9","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.322","0.113","-138.000","13204.0","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","10.340","0.116","-130.500","13122.8","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","10.133","0.119","-157.500","13055.4","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","10.140","0.121","-105.000","12985.1","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.957","0.124","-147.600","12921.0","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.855","0.127","-105.300","12867.3","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.697","0.129","-126.300","12809.3","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.567","0.132","-94.800","12766.5","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","9.447","0.134","-111.300","12712.2","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","9.203","0.136","-107.700","12669.0","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","9.193","0.139","-70.800","12619.3","7.000","7.000","10.944","5.878","0.074"
"38","2","7.600","8.912","0.141","-123.600","12568.4","7.000","7.000","10.833","5.833","0.076"
"39","2","7.500","8.852","0.144","-65.700","12522.2","7.000","7.000","10.722","5.789","0.078"
"40","2","7.400","8.667","0.146","-101.400","12462.1","7.000","7.000","10.611","5.744","0.080"
"41","2","7.300","8.537","0.149","-75.900","12412.4","7.000","7.000","10.500","5.700","0.082"
"42","2","7.200","8.433","0.151","-84.900","12348.2","7.000","7.000","10.389","5.656","0.084"
"43","2","7.100","8.232","0.154","-84.900","12286.9","7.000","7.000","10.278","5.611","0.086"
"44","2","7.000","8.198","0.156","-64.200","12223.5","7.000","7.000","10.167","5.567","0.088"
"45","2","6.900","7.955","0.159","-103.800","12150.7","7.000","7.000","10.056","5.522","0.090"
