"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.738","0.000","-262.200","13998.9","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.103","0.000","-329.100","13992.6","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.420","0.010","-279.600","13999.8","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.906","0.018","-290.400","13991.7","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.240","0.023","-303.900","14000.3","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.592","0.028","-318.000","13992.9","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.991","0.033","-272.700","14000.7","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.171","0.037","-243.000","13995.0","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.324","0.041","-129.000","14000.5","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.720","0.045","-115.800","13996.8","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.788","0.049","-244.800","13999.3","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.856","0.052","-125.100","13999.2","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.092","0.056","-181.200","13998.5","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.153","0.059","-141.600","14001.1","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.305","0.062","-170.100","13996.8","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.353","0.065","-130.500","13994.7","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.479","0.069","-150.600","13953.7","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.477","0.072","-129.300","13906.7","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.583","0.075","-139.500","13841.5","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.514","0.080","-150.000","13787.1","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.583","0.085","-108.600","13716.8","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.528","0.089","-159.000","13654.9","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.585","0.093","-139.800","13582.0","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.539","0.097","-223.800","13512.2","6.000","7.000","12.500","6.500","0.046"
