"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.577","0.000","-285.900","13994.3","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.954","0.000","-307.500","13996.6","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.333","0.010","-271.200","13996.9","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.775","0.018","-301.800","13995.6","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.173","0.023","-274.500","13998.5","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.600","0.028","-313.800","13994.7","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.915","0.033","-279.000","14000.6","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.197","0.037","-219.000","13994.5","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.368","0.041","-131.100","14002.5","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.780","0.045","-127.500","13994.9","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.831","0.048","-218.400","14003.2","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.005","0.052","-136.500","13995.2","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.199","0.055","-162.600","14002.0","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.318","0.058","-152.100","13996.2","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.423","0.061","-159.000","14001.3","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.527","0.064","-137.100","13989.9","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.568","0.067","-158.700","13957.0","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.595","0.070","-123.300","13903.7","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.642","0.074","-165.000","13842.9","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.552","0.078","-125.400","13784.2","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.613","0.082","-130.500","13714.3","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.508","0.086","-139.500","13654.3","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.576","0.090","-159.900","13578.1","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.431","0.094","-191.400","13512.1","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.416","0.097","-141.300","13428.2","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.319","0.101","-158.400","13353.2","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.249","0.104","-136.500","13270.7","6.000","7.000","12.167","6.367","0.052"
"27","2","8.700","10.091","0.107","-159.600","13193.8","6.000","7.000","12.056","6.322","0.054"
"28","2","8.600","9.981","0.110","-115.500","13121.6","6.000","7.000","11.944","6.278","0.056"
"29","2","8.500","9.872","0.114","-151.800","13047.2","6.000","7.000","11.833","6.233","0.058"
"30","2","8.400","9.656","0.117","-116.700","12987.4","7.000","7.000","11.722","6.189","0.060"
"31","2","8.300","9.639","0.120","-117.000","12919.5","7.000","7.000","11.611","6.144","0.062"
"32","2","8.200","9.338","0.123","-138.000","12870.0","7.000","7.000","11.500","6.100","0.064"
"33","2","8.100","9.314","0.126","-90.000","12813.8","7.000","7.000","11.389","6.056","0.066"
"34","2","8.000","9.095","0.129","-131.100","12766.9","7.000","7.000","11.278","6.011","0.068"
"35","2","7.900","8.976","0.132","-93.000","12720.0","7.000","7.000","11.167","5.967","0.070"
"36","2","7.800","8.819","0.135","-120.600","12668.9","7.000","7.000","11.056","5.922","0.072"
"37","2","7.700","8.646","0.138","-87.000","12626.9","7.000","7.000","10.944","5.878","0.074"
